keywords,level1_category,level2_category,level3_category,
ranches,Agriculture,,,
poultry,Agriculture,Poultry & Eggs,Poultry & eggs,
livestock,Agriculture,Livestock,Livestock,
dairy,Agriculture,Dairy,"Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",
arborist,Agriculture,Agricultural Services & Products,Florists & nursery services,
farming,Agriculture,,,
foods,Agriculture,,,
safeway,Agriculture,Food Processing & Sales,Food stores,
farm bureau,Agriculture,Farm Bureau,Farm Bureau/affiliated organizations & PACs,one person who is a rancher and involved with the farm bureau has level2 classification as livestock
albertsons,Agriculture,Food Processing & Sales,Food stores,
trader joes,Agriculture,Food Processing & Sales,Food stores,
land o lakes,Agriculture,Dairy,"Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",
growers,Agriculture,Crop Production & Basic Processing,,
dole packaged foods,Agriculture,Food Processing & Sales,Food & kindred products manufacturing,
paramount,Communications & Electronics,TV & Movie Production/Distribution,Motion picture production & distribution,
ibm,Communications & Electronics,Electronics Manufacturing & Services,Electronics manufacturing & services,
apple,Communications & Electronics,Computer Equipment & Services,Computer manufacture & services,
google,Communications & Electronics,Computer Equipment & Services,Search Engine/Email Services,"One google employee has level2 as ""Electronics Manufacturing & Services"" and not sure why - they're an electronics engineer, other engineers not classified this way"
intel corporation,Communications & Electronics,Computer Equipment & Services,Computer manufacture & services,
oracle,Communications & Electronics,Computer Equipment & Services,Computer software,
samsung,Communications & Electronics,Electronics Manufacturing & Services,Electronics manufacturing & services,
intuit,Communications & Electronics,Computer Equipment & Services,Computer software,
netflix,Communications & Electronics,TV & Movie Production/Distribution,Motion picture production & distribution,
comcast,Communications & Electronics,Telecom Services & Equipment,Telecommunications,
linkedin,Communications & Electronics,Computer Equipment & Services,Internet & Online Services,
facebook,Communications & Electronics,Computer Equipment & Services,Social Media,
at&t,Communications & Electronics,Telecom Services & Equipment,Telecommunications,
fox corporation,Communications & Electronics,TV & Movie Production/Distribution,Broadcasting & motion pictures,
tiktok,Communications & Electronics,Computer Equipment & Services,Social Media,
microsoft,Communications & Electronics,Computer Equipment & Services,Computer software,
adobe,Communications & Electronics,Computer Equipment & Services,Computer software,
lexisnexis,Communications & Electronics,Printing & Publishing,"Book, newspaper & periodical publishing",
salesforce,Communications & Electronics,Computer Equipment & Services,Computer software,
tmobile,Communications & Electronics,Telecom Services & Equipment,Paging & cellular phones and services,
hewlett packard,Communications & Electronics,Electronics Manufacturing & Services,Electronics manufacturing & services,
sony pictures,Communications & Electronics,TV & Movie Production/Distribution,Commercial television & radio stations,
yelp,Communications & Electronics,Computer Equipment & Services,Social Media,
landscape,Construction,Special Trade Contractors,Landscaping & excavation services,
northrop grumman,Defense,Defense Aerospace,Defense aerospace contractors,
northrup grumman,Defense,Defense Aerospace,Defense aerospace contractors,
general atomics,Defense,Defense Electronics,Defense electronic contractors,
lockheed martin,Defense,Defense Aerospace,Defense aerospace contractors,
ratheon,Defense,Defense Aerospace,Defense aerospace contractors,
raytheon,Defense,Defense Aerospace,Defense aerospace contractors,
southern california edison,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,
san diego gas & electric,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,
petroleum,Energy & Natural Resources,Oil & Gas,,
phillips 66,Energy & Natural Resources,Oil & Gas,Major (multinational) oil & gas producers,
bnsf,Energy & Natural Resources,Railroads,Railroads,
chevron,Energy & Natural Resources,Oil & Gas,Major (multinational) oil & gas producers,
