entity_name,canonical_name,entity_id,Contributor.ID,review_group_id,to_add_status,confirmed_link,flag,entity_status,same_recipient_variant,city,conflicting_contributor_ids,confirmed,is_conflict,link_methods,n_contributions,total_amount,max_single_recipient,state,zip,
PLUMBERS AND PIPEFITTERS LOCAL 364,NA,7f0502a8-6c16-4528-8e76-eb3d7915bc4c,NA,org_rg_27_a,don't add,no,,merge_conflict,FALSE,Colton,TRUE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,21,3288.91,41700,CA,92324,
PLUMBERS AND STEAMFITTERS LOCAL UNION 403 STATE & LOCAL POLITICAL ACTION FUND,NA,99784f8f-6571-4575-83a7-9f2bf5c69496,880500,org_rg_27_b,don't add,no,,merge_conflict,TRUE,San Luis Obispo,TRUE,TRUE,FALSE,map1_bridge,1,2500,41700,CA,93401-7108,
SPRINKLER FITTERS LOCAL #709 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS),SPRINKLER FITTERS UNITED ASSOCIATION 709,33b3b8db-4411-4661-aadd-97f80ac13802,NA,org_rg_27_c,add to map,no,,adding_to_existing,FALSE,Whittier,TRUE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,12,11504.11,41700,CA,90606,
SPRINKLER FITTERS LOCAL 483 (REPRESENTS UNITEMIZED MEMBER DUES),NA,ecaa49db-2fdc-4dca-ba50-37055aae8138,NA,org_rg_27_d,add to map,no,more than one canonical name,merge_conflict,FALSE,Hayward,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,5,102002,41700,CA,94545,
STEAMFITTERS LOCAL 342 POLITICAL ACTION COMMITTEE,NA,436586f2-6596-4994-a305-1a5a37db0169,890268,org_rg_27_e,add to map,no,more than one canonical name,merge_conflict,TRUE,Concord,TRUE,FALSE,TRUE,same_contributor_id,1,39200,41700,CA,94518-2501,
UA JOURNEYMEN & APPRENTICES LOCAL #250 - PAC,NA,cbcbd425-5659-49ea-a74a-7c2686d1205a,743959,org_rg_27_f,add to map,no,more than one canonical name,merge_conflict,FALSE,Gardena,TRUE,FALSE,TRUE,map1_bridge | same_contributor_id | same_contributor_id,2,11800,41700,CA,90248-4217,
UNITED ASSOCIATION LOCAL UNION 345,NA,9b606af3-77d1-4119-85ac-600d634e613e,NA,org_rg_27_g,don't add,no,,merge_conflict,FALSE,Duarte,TRUE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,4,2350.53,41700,CA,91010,
CA CORRECTIONAL PEACE OFFICERS ASSN PAC,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,830349,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento,TRUE,TRUE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,2,3000,7400,CA,95814,
CA CORRECTIONAL PEACE OFFICERS ASSOCIATION PAC,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,830349,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento,TRUE,TRUE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,2,11800,7400,CA,95814,
CALIFORNIA CORRECTIONAL PEACE OFFICERS  ASSOCIATION PAC,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,830349,org_rg_85,add to map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento,TRUE,TRUE,FALSE,same_contributor_id,1,3000,7400,CA,95814,
