entity_name,canonical_name,entity_id,Contributor.ID,original_group_id,to_add_status,confirmed_link,flag,review_group_id,entity_status,city,n_contributions,conflicting_contributor_ids,confirmed,is_conflict,link_methods,total_amount,max_single_recipient,same_recipient_variant,state,zip,
INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,1349650,org_rg_1,add to map,yes,,org_rg_1_a,adding_to_existing,Long Beach,1,TRUE,FALSE,FALSE,same_contributor_id,2000,10500,FALSE,CA,90802,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,1349650,org_rg_1,add to map,yes,,org_rg_1_a,adding_to_existing,San Pedro,2,TRUE,FALSE,FALSE,same_contributor_id,3900,10500,FALSE,CA,90731-2270,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND (I.L.W.U. PAC) SMALL CONTRIBUTOR COMMITTEE,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_1,add to map,yes,,org_rg_1_b,adding_to_existing,San Pedro,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,9600,10500,FALSE,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC SMALL CONTRIBUTOR COMMITTEE,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_1,add to map,yes,,org_rg_1_b,adding_to_existing,San Pedro,4,TRUE,FALSE,FALSE,map1_bridge | name_v4_cross | name_v5_cross | same_contributor_id | same_contributor_id,22000,10500,TRUE,CA,90731,
INTERNATIONAL LONGSHOREMEN AND WAREHOUSEMEN'S UNION ILWU LOCAL 13 PAC FUND,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_1,add to map,yes,,org_rg_1_b,adding_to_existing,San Pedro,1,TRUE,FALSE,FALSE,same_contributor_id,250,10500,FALSE,CA,90731,
MARINE CLERKS ILWU LOCAL 63 PAC,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,b7b2065e-b860-43d3-b082-d9c7cda36118,1223277,org_rg_1,add to map,no,,org_rg_1_c,new_entity,San Pedro,3,TRUE,FALSE,FALSE,name_v5_cross | same_contributor_id | same_contributor_id,3950,10500,TRUE,CA,90731 | 90731-2752,
NORTHERN CALIFORNIA DISTRICT COUNCIL ILWU,NA,59c489af-b3ef-4612-b7c8-55778ce0dca2,NA,org_rg_1,don't add,no,,org_rg_1_d,new_entity,San Francisco,1,TRUE,FALSE,FALSE,map1_bridge,500,10500,FALSE,CA,94109,
CALIFORNIA YIMBY,CA YIMBY VICTORY FUND,e5c2f0d4-7cad-45a3-b769-5d496d552c37,NA,org_rg_102,in existing map,,,org_rg_102,adding_to_existing,Sacramento,19,TRUE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,36585.9,15500,FALSE,CA,95814,
CALIFORNIA YIMBY VICTORY FUND,CA YIMBY VICTORY FUND,e5c2f0d4-7cad-45a3-b769-5d496d552c37,1401346,org_rg_102,in existing map,,,org_rg_102,adding_to_existing,Sacramento,8,TRUE,TRUE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,43500,15500,TRUE,CA,95814,
YIMBY ACTION,NA,b019e5f4-b057-41c4-ae60-4d47ed6619c4,1408224,org_rg_102,,uncertain,,org_rg_102,adding_to_existing,San Francisco,1,TRUE,FALSE,FALSE,map1_bridge,3500,15500,TRUE,CA,94114,
CA FEDERATION OF TEACHERS - COPE PROP/BALLOT COMMITTEE,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,1240104,org_rg_12,add to map,yes,,org_rg_12_a,adding_to_existing,Sacramento,1,TRUE,FALSE,FALSE,same_contributor_id,1.00E+05,28600,FALSE,CA,95814,
CFT COPE PROP/BALLOT,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,1240104,org_rg_12,add to map,yes,,org_rg_12_a,adding_to_existing,Sacramento,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,600,28600,FALSE,CA,95814,
CALIFORNIA FEDERATION OF TEACHERS COPE PROP/BALLOT COMMITTEE,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,1240104,org_rg_12,in existing map,yes,,org_rg_12_a,adding_to_existing,Sacramento,1,TRUE,TRUE,FALSE,same_contributor_id,1.00E+06,28600,FALSE,CA,95814-3617,
