"rowid","TargetCandidateName","TargetCandidateOffice","TargetPropositionName","ExpenderPosition","ExpenderName","ExpenderID","Amount","ExpenditureDscr","PayeeName","DateStart","DateEnd","DateRange"
1,"Dejute, David","Supreme Court Justice","","S","DE JUTE FOR JUDGE 2026; DAVID A.",1482039,60000,"Digital Advertising for Campaign.",NA,"2029-05-06T00:00:00Z","2029-05-06T00:00:00Z","2029-05-06"
2,"Dejute, David","Supreme Court Justice","","S","DE JUTE FOR JUDGE 2026; DAVID A.",1482039,2500,"Campaign Services for August 2026",NA,"2026-08-01T00:00:00Z","2026-08-01T00:00:00Z","2026-08-01"
3,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Yuba County Republican Party",1439496,11559.69,"Yard Signs",NA,"2026-07-24T00:00:00Z","2026-07-24T00:00:00Z","2026-07-24"
4,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Grove's Ballot Measure Committee For A Safer And Smarter California; Senator",1452218,4000,"Slate Mailer",NA,"2026-07-21T00:00:00Z","2026-07-21T00:00:00Z","2026-07-21"
5,"","","Prop 43 - ACA 22 (WICKS) LOCAL TAXES: LIMITATION. (RES. CH. 132, 2026)","S","Grove's Ballot Measure Committee For A Safer And Smarter California; Senator",1452218,2500,"Slate Mailer",NA,"2026-07-21T00:00:00Z","2026-07-21T00:00:00Z","2026-07-21"
6,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,30000,"POLLING",NA,"2026-07-16T00:00:00Z","2026-07-16T00:00:00Z","2026-07-16"
7,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,11347.72,"TEXT MESSAGING",NA,"2026-07-16T00:00:00Z","2026-07-16T00:00:00Z","2026-07-16"
8,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,6000,"EVENTS",NA,"2026-07-16T00:00:00Z","2026-07-16T00:00:00Z","2026-07-16"
9,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,1000,"SIGNAGE",NA,"2026-07-16T00:00:00Z","2026-07-16T00:00:00Z","2026-07-16"
10,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Grove's Ballot Measure Committee For A Safer And Smarter California; Senator",1452218,8000,"Slate Mailer",NA,"2026-07-14T00:00:00Z","2026-07-14T00:00:00Z","2026-07-14"
11,"","","Prop 43 - ACA 22 (WICKS) LOCAL TAXES: LIMITATION. (RES. CH. 132, 2026)","S","Grove's Ballot Measure Committee For A Safer And Smarter California; Senator",1452218,8000,"Slate Mailer",NA,"2026-07-14T00:00:00Z","2026-07-14T00:00:00Z","2026-07-14"
12,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,465,"PHONES",NA,"2026-07-14T00:00:00Z","2026-07-14T00:00:00Z","2026-07-14"
13,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Assemblywoman Macedo's Ballot Measure Committee for the Valley",1480346,9000,"Slate Mailer Appearance",NA,"2026-07-13T00:00:00Z","2026-07-13T00:00:00Z","2026-07-13"
14,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Assemblywoman Macedo's Ballot Measure Committee for the Valley",1480346,1000,"Slate Mailer Appearance",NA,"2026-07-13T00:00:00Z","2026-07-13T00:00:00Z","2026-07-13"
15,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,3356,"PHONES",NA,"2026-07-13T00:00:00Z","2026-07-13T00:00:00Z","2026-07-13"
16,"","","Prop 4 - SB 42 (UMBERG) POLITICAL REFORM ACT OF 1974: PUBLIC CAMPAIGN FINANCING: CALIFORNIA FAIR ELECTIONS ACT OF 2026. (CH. 245, 2025)","O","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,2500,"CAMPAIGN MANAGEMENT",NA,"2026-07-01T00:00:00Z","2026-07-01T00:00:00Z","2026-07-01"
17,"","","Prop 4 - SB 42 (UMBERG) POLITICAL REFORM ACT OF 1974: PUBLIC CAMPAIGN FINANCING: CALIFORNIA FAIR ELECTIONS ACT OF 2026. (CH. 245, 2025)","O","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,5000,"SLATE MAILER",NA,"2026-07-01T00:00:00Z","2026-07-01T00:00:00Z","2026-07-01"
18,"","","Prop 2 - ACA 20 (GABRIEL) SAVE FOR CALIFORNIA'S FUTURE ACT. (RES. CH. 130, 2026)","O","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,2500,"CAMPAIGN MANAGEMENT",NA,"2026-07-01T00:00:00Z","2026-07-01T00:00:00Z","2026-07-01"
19,"","","Prop 2 - ACA 20 (GABRIEL) SAVE FOR CALIFORNIA'S FUTURE ACT. (RES. CH. 130, 2026)","O","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,5000,"SLATE MAILER",NA,"2026-07-01T00:00:00Z","2026-07-01T00:00:00Z","2026-07-01"
20,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,25000,"CAMPAIGN MANAGEMENT",NA,"2026-07-01T00:00:00Z","2026-07-01T00:00:00Z","2026-07-01"
21,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,25000,"SLATE MAILER",NA,"2026-07-01T00:00:00Z","2026-07-01T00:00:00Z","2026-07-01"
22,"","","Prop 39 - ESTABLISHES ADDITIONAL VOTER IDENTIFICATION AND CITIZENSHIP VERIFICATION REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT.","S","Reform California with Carl DeMaio - Ballot Measure Committee",1268914,5000,"SLATE MAILER",NA,"2026-07-01T00:00:00Z","2026-07-01T00:00:00Z","2026-07-01"
