entity_name,Contributor.ID,review_group_id,canonical_name,to_add_status,confirmed_link,entity_id,flag,entity_status,confirmed,conflicting_contributor_ids,is_conflict,n_contributions,link_methods,total_amount,max_single_recipient,city,state,zip,notes
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC,1463224,org_rg_101_b,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,add to map,yes,eb7803f1-b59c-40b3-bf19-85951dbcb441,,adding_to_existing,FALSE,TRUE,FALSE,6,same_contributor_id,68600,45000,Sacramento,CA,95814,
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC SMALL CONTRIBUTOR COMMITTEE,1463224,org_rg_101_b,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,add to map,yes,eb7803f1-b59c-40b3-bf19-85951dbcb441,,adding_to_existing,FALSE,TRUE,FALSE,3,map1_bridge | same_contributor_id | same_contributor_id,35400,45000,Sacramento,CA,95814,
CALIFORNIA REAL ESTATE INDEPENDENT EXPENDITURE COMMITTEE - CALIFORNIA ASSOCIATION OF REALTORS,963026,org_rg_107,CALIFORNIA ASSOCIATION OF REALTORS,add to map,yes,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,4,exact_name_v1 | exact_name_v1 | map1_bridge,1550005,2023273.02,Los Angeles,CA,90071,
CA TEAMSTERS PUBLIC AFFAIRS COUNCIL,742500,org_rg_11_a,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,add to map,yes,29f633c8-20b6-4547-b80f-1d596c11cd7b,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,2000,39200,Sacramento,CA,95814,
CALIFORNIA TEAMSTERS PAC,742500,org_rg_11_a,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,add to map,yes,29f633c8-20b6-4547-b80f-1d596c11cd7b,,adding_to_existing,FALSE,TRUE,FALSE,12,same_contributor_id,2528.6,39200,Sacramento,CA,95814,
CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL PUBLIC AFFAIRS FUND,742500,org_rg_11_a,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,add to map,yes,29f633c8-20b6-4547-b80f-1d596c11cd7b,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,1500,39200,Sacramento,CA,95814,
TEAMSTERS CALIFORNIA PAC,742500,org_rg_11_a,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,add to map,yes,29f633c8-20b6-4547-b80f-1d596c11cd7b,,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,40700,39200,Sacramento | SACRAMENTO,CA,95814 | 95814-3810,
TEAMSTERS CALIFORNIA PAC SMALL CONTRIBUTOR COMMITTEE,742500,org_rg_11_a,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,add to map,yes,29f633c8-20b6-4547-b80f-1d596c11cd7b,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,5900,39200,Sacramento,CA,95814,
"D.R.I.V.E. DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDU (THE PAC OF INT'L BROTHERHOOD OF TEAMSTERS)",880969,org_rg_11_c,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,add to map,yes,bdebac24-46cb-4f53-bd7b-3e97b1473034,,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,5000,39200,WASHINGTON,DC,20001,
NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC,1243030,org_rg_116_b,NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,add to map,yes,fbe92020-c26f-45c7-a407-23115251c6bb,,merge_conflict,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,44200,196000,Pleasanton | Sacramento,CA,94588 | 95814-4503,
