"entity_name","review_group_id","entity_id","canonical_name","entity_status","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","city","state","zip"
"DREYER BABICH BUCCOLA WOOD & CAMPORA, LLP","org_rg_103","323fdaee-f2c5-4592-88c9-29ed3ac37007","DREYER BABICH BUCCOLA WOOD & CAMPORA","adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,0,"Sacramento","CA","95826"
"DREYER BABICH BUCCOLA WOOD CAMPORA, LLP (ROGER DREYER)","org_rg_103","83305c4c-9a93-49e9-b235-e1b80a08de82",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge",NA,1,39200,"Sacramento","CA","95826-2802"
"CALIFORNIA CREDIT UNION LEAGUE PAC","org_rg_11","fe54faa9-1d46-4c96-8fc1-bfd68a665271","CALIFORNIA CREDIT UNION LEAGUE","adding_to_existing",TRUE,FALSE,"same_contributor_id","760225",4,10000,"Ontario","CA","91761"
"CALIFORNIA'S CREDIT UNIONS LEAGUE PAC, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE","org_rg_11","fe54faa9-1d46-4c96-8fc1-bfd68a665271",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","760225",1,2500,"Sacramento","CA","95814"
"CALIFORNIA'S CREDIT UNIONS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE","org_rg_11","fe54faa9-1d46-4c96-8fc1-bfd68a665271",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","760225",1,1500,"Sacramento","CA","95814-3992"
"FANDUEL GROUP, INC.","org_rg_112","18a0929b-98b7-4387-9399-73d9310d5107",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge",NA,1,1500,"New York","NY","10010"
"FANDUEL INC.","org_rg_112","26572759-8d64-47f0-8067-390dfc9be4ff","FANDUEL","adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,5900,"New York","NY","10010"
"HIMS, INC","org_rg_125","6069841d-2c6a-4089-b599-2175117f3ec1",NA,"new_entity",FALSE,FALSE,"exact_name_v1",NA,1,39200,"San Francisco","CA","94123-2600"
"HIMS, INC.","org_rg_125","6069841d-2c6a-4089-b599-2175117f3ec1",NA,"new_entity",FALSE,FALSE,"exact_name_v1",NA,1,1500,"San Francisco","CA","94123"
"SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO. 16 POLITICAL ACTION COMMITTEE","org_rg_13","8e9784d5-fcb2-420b-8201-ceddfe86b09d",NA,"new_entity",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","760715",3,48300,"Los Angeles","CA","90020-1748"
"SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO.16","org_rg_13","8e9784d5-fcb2-420b-8201-ceddfe86b09d",NA,"new_entity",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","760715",2,18200,"Los Angeles","CA","90020"
"IBEW LOCAL 18 WATER & POWER DEFENSE LEAGUE","org_rg_130","56eca98c-74f0-4335-acb0-3110d5d1df61","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 18","adding_to_existing",TRUE,FALSE,"map1_bridge","744817",1,15000,"Los Angeles","CA","90004"
"IBEW LOCAL 6 POLITICAL ACCOUNT","org_rg_130","7c43a162-9e67-4186-81b7-05258a0b9cd8",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge","921730",1,10000,"San Francisco","CA","94117-3515"
"IBEW LOCAL 684 PAC","org_rg_130","368979cb-5b9f-46cf-9310-7d57c9c8c71f",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge","1309647",1,1000,"Long Beach","CA","90802-5054"
"IBEW PAC EDUCATIONAL FUND (FEC ID #C00027342)","org_rg_130","7ddd7af0-63ec-4f34-9fa5-f136cda1897d",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge",NA,1,-9100,"Washington","DC","20001"
