"entity_name","review_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"PLUMBERS AND PIPEFITTERS LOCAL 364","org_rg_27","7f0502a8-6c16-4528-8e76-eb3d7915bc4c",NA,"merge_conflict",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,21,3288.91,41700,FALSE,"Colton","CA","92324"
"PLUMBERS AND STEAMFITTERS LOCAL UNION 403 STATE & LOCAL POLITICAL ACTION FUND","org_rg_27","99784f8f-6571-4575-83a7-9f2bf5c69496",NA,"merge_conflict",TRUE,TRUE,FALSE,"map1_bridge","880500",1,2500,41700,TRUE,"San Luis Obispo","CA","93401-7108"
"SPRINKLER FITTERS LOCAL #709 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)","org_rg_27","860d2c76-542d-400e-82d6-84aef7234f08",NA,"merge_conflict",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,12,11504.11,41700,FALSE,"Whittier","CA","90606"
"SPRINKLER FITTERS LOCAL 483 (REPRESENTS UNITEMIZED MEMBER DUES)","org_rg_27","ecaa49db-2fdc-4dca-ba50-37055aae8138",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,5,102002,41700,FALSE,"Hayward","CA","94545"
"STEAMFITTERS LOCAL 342 POLITICAL ACTION COMMITTEE","org_rg_27","436586f2-6596-4994-a305-1a5a37db0169",NA,"merge_conflict",TRUE,FALSE,TRUE,"same_contributor_id","890268",1,39200,41700,TRUE,"Concord","CA","94518-2501"
"UA JOURNEYMEN & APPRENTICES LOCAL #250 - PAC","org_rg_27","cbcbd425-5659-49ea-a74a-7c2686d1205a",NA,"merge_conflict",TRUE,FALSE,TRUE,"map1_bridge | same_contributor_id | same_contributor_id","743959",2,11800,41700,FALSE,"Gardena","CA","90248-4217"
"UNITED ASSOCIATION LOCAL UNION 345","org_rg_27","9b606af3-77d1-4119-85ac-600d634e613e",NA,"merge_conflict",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,4,2350.53,41700,FALSE,"Duarte","CA","91010"
"CA CORRECTIONAL PEACE OFFICERS ASSN PAC","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","830349",2,3000,7400,FALSE,"Sacramento","CA","95814"
"CA CORRECTIONAL PEACE OFFICERS ASSOCIATION PAC","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","830349",2,11800,7400,FALSE,"Sacramento","CA","95814"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS  ASSOCIATION PAC","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0",NA,"adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","830349",1,3000,7400,FALSE,"Sacramento","CA","95814"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOC PAC","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"name_v5_cross | same_contributor_id","830349",1,1500,7400,TRUE,"Sacramento","CA","95814"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (CCPOA) LOCAL POLITICAL ACTION COMMITTEE","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","960532",2,5900,7400,TRUE,"Sacramento","CA","95814"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (CCPOA) POLITICAL ACTION COMMITTEE","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | name_v4_cross | name_v5_cross | same_contributor_id | same_contributor_id","830349",5,11800,7400,FALSE,"Sacramento","CA","95814"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (INTERMEDIARY FOR MEMBERS UNDER $100)","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,18,2913863,7400,FALSE,"West Sacramento","CA","95605-"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (INTERMIDIARY FOR MEMBERS UNDER $100)","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0",NA,"adding_to_existing",TRUE,FALSE,FALSE,"name_v4_cross | name_v5_cross",NA,1,5e+05,7400,FALSE,"Sacramento","CA","95605-"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION LOCAL PAC","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","960532",2,350000,7400,FALSE,"Sacramento","CA","95814"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION PAC","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | name_v5_cross | same_contributor_id | same_contributor_id","830349",38,388900,7400,FALSE,"Sacramento","CA","95814 | 95814-3926 | 95814-3970"
"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION POLITICAL ACTION COMMITTEE","org_rg_85","87ec774e-605e-4528-83d6-60921b8b41c0","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION","adding_to_existing",TRUE,TRUE,FALSE,"name_v4_cross | name_v5_cross | same_contributor_id | same_contributor_id","830349",4,17700,7400,FALSE,"Sacramento | SACRAMENTO","CA","95814 | 95814-3970"
"SEMPRA","org_rg_95","d079c4a3-869d-479e-8088-9748f35874f2","SEMPRA ENERGY","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,44,310675,185400,TRUE,"San Diego | SAN DIEGO","CA","92101"
"SEMPRA ENERGY","org_rg_95","d079c4a3-869d-479e-8088-9748f35874f2","SEMPRA ENERGY","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1","488235",2,20000,185400,TRUE,"San Diego","CA","92101"
"SEMPRA ENERGY","org_rg_95","d079c4a3-869d-479e-8088-9748f35874f2","SEMPRA ENERGY","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,27,184450,185400,TRUE,"Sacramento | San Diego","CA","92101 | 92101-7123 | 95814"
"SEMPRA ENERGY (RESTRICTED USE ACCOUNT)","org_rg_95","d079c4a3-869d-479e-8088-9748f35874f2",NA,"adding_to_existing",TRUE,FALSE,FALSE,"name_v4_cross | name_v5_cross",NA,1,200,185400,TRUE,"San Diego","CA","92101"
"SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE - STATE COMMITTEE","org_rg_95","d079c4a3-869d-479e-8088-9748f35874f2","SEMPRA ENERGY","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","842008",4,36100,185400,TRUE,"San Diego","CA","92101"
"SEMPRA ENERGY EMPLOYEES STATE PAC","org_rg_95","d079c4a3-869d-479e-8088-9748f35874f2","SEMPRA ENERGY","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","842008",2,2900,185400,TRUE,"San Diego","CA","92101"
"LABORER'S UNION LOCAL NO. 777 PAC","org_rg_101","70168044-9b63-402b-8214-d396b7c5a860",NA,"adding_to_existing",FALSE,FALSE,FALSE,"internal_fuzzy",NA,1,20000,25000,TRUE,"Riverside","CA","92501-3510"
"LABORERS LOCAL UNION NO. 783-PAC","org_rg_101","213ef61c-72a4-4e40-bfc6-444e3c70016d",NA,"adding_to_existing",FALSE,TRUE,FALSE,"internal_fuzzy | map1_bridge","981333",1,5000,25000,TRUE,"San Bernardino","CA","92408-2110"
"LABORERS' INTERNATIONAL UNION OF NORTH AMERICA","org_rg_101","c6d1fbc8-a71e-4d01-9257-3071849e45ba",NA,"adding_to_existing",FALSE,TRUE,FALSE,"internal_fuzzy+map1_bridge | map1_bridge",NA,1,5000,25000,FALSE,"Stockton","CA","95215"
"BAY CITIES PAVING & GRADING, INC.","org_rg_1155","1622c48a-b029-4f34-87fd-1f7395f06908",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,4,19600,21607,TRUE,"Concord","CA","94520"
"BAY CITIES PAVING & GRADING, INC. (RESTRICTED USE ACCOUNT)","org_rg_1155","1622c48a-b029-4f34-87fd-1f7395f06908",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,2007,21607,TRUE,"Concord","CA","94520"
"BLACH CONSTRUCTION COMPANY","org_rg_1304","3077a74e-6336-4d7c-abd4-7d1e38527d97",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,4,8318.7,8318.69999999999,TRUE,"San Jose","CA","95131"
"BLACH CONSTRUCTION COMPANY (RUA)","org_rg_1304","3077a74e-6336-4d7c-abd4-7d1e38527d97",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,0,8318.69999999999,TRUE,"San Jose","CA","95131"
"BLUE SHIELD OF CALIFORNIA","org_rg_1322","4234d4ef-263c-4213-a1da-eaf2f1a71b3d","BLUE SHEILD OF CALIFORNIA","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,28,264200,20800,TRUE,"Oakland | OAKLAND","CA","94607 | 94607-3613 | 94607-3885"
"BLUE SHIELD OF CALIFORNIA (RUA)","org_rg_1322","4234d4ef-263c-4213-a1da-eaf2f1a71b3d",NA,"adding_to_existing",FALSE,FALSE,FALSE,"name_v4_cross | name_v5_cross",NA,1,1900,20800,TRUE,"Oakland","CA","94607"
"CALAVERAS TELEPHONE COMPANY","org_rg_1539","dd9665d8-72bf-4b8a-8b71-ffa07ea5244f",NA,"new_entity",FALSE,FALSE,FALSE,"name_v4_cross | name_v5_cross",NA,1,9800,10825,TRUE,"Copperopolis","CA","95228"
"CALAVERAS TELEPHONE COMPANY (RESTRICTED USE ACCOUNT)","org_rg_1539","dd9665d8-72bf-4b8a-8b71-ffa07ea5244f",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,1025,10825,TRUE,"Copperopolis","CA","95228"
"CALIFORNIA BEER & BEVERAGE DISTRIBUTORS (ADMIN)","org_rg_1568","9318f945-664b-4df0-aead-a30844f36c4a",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,18,3192.25,14100.03,FALSE,"Sacramento","CA","95814"
"CALIFORNIA BEER AND BEVERAGE DISTRIBUTORS","org_rg_1568","9318f945-664b-4df0-aead-a30844f36c4a",NA,"new_entity",FALSE,FALSE,FALSE,"name_v4_cross | name_v5_cross",NA,1,9800,14100.03,TRUE,"Sacramento","CA","95814"
"CALIFORNIA BEER AND BEVERAGE DISTRIBUTORS (ADMIN)","org_rg_1568","9318f945-664b-4df0-aead-a30844f36c4a",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1",NA,17,4300.03,14100.03,TRUE,"Sacramento","CA","95814"
"CALIFORNIA DAIRIES INC.","org_rg_1584","2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9",NA,"adding_to_existing",FALSE,FALSE,FALSE,"name_v5_cross",NA,1,1500,1824000,FALSE,"Visalia","CA","93291"
"CALIFORNIA DAIRIES, INC","org_rg_1584","2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9","CALIFORNIA DAIRIES","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,4,44200,1824000,FALSE,"Visalia","CA","93291 | 93291-9358"
"CALIFORNIA DAIRIES, INC.","org_rg_1584","2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9","CALIFORNIA DAIRIES","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1",NA,14,341256.97,1824000,TRUE,"Visalia","CA","93291"
"CALIFORNIA DAIRIES, INC. (RESTRICTED USE ACCOUNT)","org_rg_1584","2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,1494400,1824000,TRUE,"Visalia","CA","93291"
"CALIFORNIA ENGINEERING CONTRACTORS, INC.","org_rg_1588","9ff7fe7b-b74c-40b8-9c7a-af5f344eb018",NA,"new_entity",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,4,19468,20395,TRUE,"Pleasanton","CA","94566"
"CALIFORNIA ENGINEERING CONTRACTORS, INC. (RESTRICTED USE ACCOUNT)","org_rg_1588","9ff7fe7b-b74c-40b8-9c7a-af5f344eb018",NA,"new_entity",FALSE,FALSE,FALSE,"name_v4_cross | name_v5_cross",NA,1,927,20395,TRUE,"Pleasanton","CA","94566"
"CALIFORNIA RESOURCE CORPORATION","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,FALSE,"map1_bridge",NA,1,5900,30000,FALSE,"Sacramento","CA","95814"
"CALIFORNIA RESOURCES CORPORATION","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,FALSE,"name_v5_cross",NA,1,5900,30000,FALSE,"Sacramento","CA","95814"
"CALIFORNIA RESOURCES CORPORATION (CRC) SERVICES, LLC","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,FALSE,"name_v4_cross | name_v5_cross",NA,1,5900,30000,FALSE,"Long Beach","CA","90831"
"CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,FALSE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,8888,30000,FALSE,"San Francisco","CA","94105"
"CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(CLIO C. CRESPY)","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,FALSE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,5900,30000,FALSE,"Long Beach","CA","90831"
"CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(JAS SAJJAN)","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e",NA,"merge_conflict",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,2,15000,30000,TRUE,"Long Beach","CA","90831"
"CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(MATTHEW ALVAREZ)","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,5,70900,30000,TRUE,"Long Beach","CA","90831"
"CALIFORNIA RESOURCES CORPORATION SERVICES (CRC), LLC","org_rg_1614","77c1301d-f478-4d0f-aa89-26b964a1fa2e","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,2,11800,30000,FALSE,"Long Beach","CA","90831"
"CRC SERVICES, LLC(LEON J. FRANCISCO)","org_rg_1614","ed5eb213-6b34-4f9a-94c7-c81bf213dcf4","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,TRUE,"exact_name_v4 | map1_bridge | name_v4_cross | name_v5_cross",NA,1,2000,30000,FALSE,"Long Beach","CA","90831"
"CRC SERVICES, LLC(MARIA SPERBER)","org_rg_1614","ed5eb213-6b34-4f9a-94c7-c81bf213dcf4","CALIFORNIA RESOURCES CORPORATION","merge_conflict",FALSE,TRUE,TRUE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,9800,30000,FALSE,"Long Beach","CA","90831"
"CEMEX","org_rg_1773","b47f15a4-9526-4302-8117-9cf6c16a409d","CEMEX","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v5_cross",NA,3,8672.08,6000,TRUE,"Folsom | Friant | West Palm Beach","CA | FL","33401 | 93626 | 95630"
"CEMEX MATERIALS LLC","org_rg_1773","b47f15a4-9526-4302-8117-9cf6c16a409d","CEMEX","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,2,7400,6000,FALSE,"West Palm Beach","FL","33401"
"CEMEX MATERIALS LLC(DEBORAH WELLS)","org_rg_1773","b47f15a4-9526-4302-8117-9cf6c16a409d",NA,"adding_to_existing",FALSE,FALSE,FALSE,"name_v4_cross | name_v5_cross",NA,1,1000,6000,FALSE,"West Palm Beach","FL","33401"
