"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC","org_rg_1","org_rg_1","2b6a60ae-177d-4603-9f64-1cd14b01ba6d",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","1349650",1,2000,10500,FALSE,"Long Beach","CA","90802"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE","org_rg_1","org_rg_1","2b6a60ae-177d-4603-9f64-1cd14b01ba6d",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","1349650",2,3900,10500,FALSE,"San Pedro","CA","90731-2270"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND (I.L.W.U. PAC) SMALL CONTRIBUTOR COMMITTEE","org_rg_1","org_rg_1","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","1226530",1,9600,10500,FALSE,"San Pedro","CA","90731"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_1","org_rg_1","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge | name_v4_cross | name_v5_cross | same_contributor_id | same_contributor_id","1226530",4,22000,10500,TRUE,"San Pedro","CA","90731"
"INTERNATIONAL LONGSHOREMEN AND WAREHOUSEMEN'S UNION ILWU LOCAL 13 PAC FUND","org_rg_1","org_rg_1","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"new_entity",TRUE,FALSE,FALSE,"same_contributor_id","1226530",1,250,10500,FALSE,"San Pedro","CA","90731"
"MARINE CLERKS ILWU LOCAL 63 PAC","org_rg_1","org_rg_1","b7b2065e-b860-43d3-b082-d9c7cda36118",NA,"new_entity",TRUE,FALSE,FALSE,"name_v5_cross | same_contributor_id | same_contributor_id","1223277",3,3950,10500,TRUE,"San Pedro","CA","90731 | 90731-2752"
"NORTHERN CALIFORNIA DISTRICT COUNCIL ILWU","org_rg_1","org_rg_1","59c489af-b3ef-4612-b7c8-55778ce0dca2",NA,"new_entity",TRUE,FALSE,FALSE,"map1_bridge",NA,1,500,10500,FALSE,"San Francisco","CA","94109"
"CALIFORNIA YIMBY","org_rg_102","org_rg_102","e5c2f0d4-7cad-45a3-b769-5d496d552c37","CA YIMBY VICTORY FUND","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,19,36585.9,15500,FALSE,"Sacramento","CA","95814"
"CALIFORNIA YIMBY VICTORY FUND","org_rg_102","org_rg_102","e5c2f0d4-7cad-45a3-b769-5d496d552c37","CA YIMBY VICTORY FUND","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1401346",8,43500,15500,TRUE,"Sacramento","CA","95814"
"YIMBY ACTION","org_rg_102","org_rg_102","b019e5f4-b057-41c4-ae60-4d47ed6619c4",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge","1408224",1,3500,15500,TRUE,"San Francisco","CA","94114"
"CA FEDERATION OF TEACHERS - COPE PROP/BALLOT COMMITTEE","org_rg_12","org_rg_12","fbf0d247-e846-45d4-8fbe-eb79e6cd0240",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","1240104",1,1e+05,28600,FALSE,"Sacramento","CA","95814"
"CALIFORNIA FEDERATION OF TEACHERS (CFT) (UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_12","org_rg_12","6fe5178a-4332-4682-b49f-a41a7fbec01b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,66.78,28600,TRUE,"Burbank","CA","91505"
"CALIFORNIA FEDERATION OF TEACHERS (COPE) SMALL CONTRIBUTOR COMMITTEE","org_rg_12","org_rg_12","fbf0d247-e846-45d4-8fbe-eb79e6cd0240",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","741857",1,500,28600,FALSE,"Sacramento","CA","95814"
"CALIFORNIA FEDERATION OF TEACHERS COPE","org_rg_12","org_rg_12","fbf0d247-e846-45d4-8fbe-eb79e6cd0240","CALIFORNIA FEDERATION OF TEACHERS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","741857",13,205650,28600,FALSE,"Burbank | Sacramento | SACRAMENTO","CA","91505-5008 | 95814 | 95814-1910"
"CALIFORNIA FEDERATION OF TEACHERS COPE - SMALL CONTRIBUTOR COMMITTEE","org_rg_12","org_rg_12","fbf0d247-e846-45d4-8fbe-eb79e6cd0240",NA,"adding_to_existing",TRUE,FALSE,FALSE,"name_v5_cross | same_contributor_id | same_contributor_id","741857",6,227500,28600,FALSE,"Burbank","CA","91505-5008"
