"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"CALIFORNIA CONFERENCE OF CARPENTERS","org_rg_1","org_rg_1","b658f640-1888-4aa3-a2d8-c560dc7fb59c",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy | map1_bridge",NA,18,16891.14,1200000,FALSE,"Oakland","CA","94621"
"CALIFORNIA CONFERENCE OF CARPENTERS - BUILDING COMMUNITIES FUND","org_rg_1","org_rg_1","df7f7035-c405-41d0-b854-61161e807efa",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v5 | same_contributor_id","1430404",2,25000,1200000,FALSE,"Sacramento","CA","95814"
"CALIFORNIA CONFERENCE OF CARPENTERS-BUILDING COMMUNITIES FUND","org_rg_1","org_rg_1","df7f7035-c405-41d0-b854-61161e807efa",NA,"new_entity",TRUE,FALSE,"exact_name_v5 | internal_fuzzy | same_contributor_id","1430404",1,1600000,1200000,FALSE,"Sacramento","CA","95814-2328"
"NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS POWER PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_1","org_rg_1","9e62cbc2-f7d4-4056-b452-bbb52b5369ef",NA,"new_entity",TRUE,FALSE,"same_contributor_id","972104",1,11800,1200000,FALSE,"Sacramento","CA","95814"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL ISSUES PAC (NCCRC)","org_rg_1","org_rg_1","9e62cbc2-f7d4-4056-b452-bbb52b5369ef",NA,"new_entity",TRUE,FALSE,"exact_name_v4 | same_contributor_id","1219354",1,4e+05,1200000,TRUE,"Sacramento","CA","95814"
"UNITED BROTHERHOOD OF CARPENTERS","org_rg_1","org_rg_1","c603cc05-566f-4493-8a19-99688b610ade",NA,"new_entity",TRUE,FALSE,"internal_fuzzy | map1_bridge",NA,1,50000,1200000,TRUE,"Washington","DC","20001"
"UNITED BROTHERHOOD OF CARPENTERS & JOINERS OF AMERICA","org_rg_1","org_rg_1","939f4aa0-2cb3-4be6-8ab4-a5f2be8975cd",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy",NA,2,750000,1200000,TRUE,"Washington","DC","20001"
"LABORER'S INTERNATIONAL UNION OF NORTH AMERICA LOCAL NO. 220 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS)","org_rg_10","org_rg_10","511e8d32-9518-4dd7-b2dd-56a1eb0b316c",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v4",NA,2,497.25,102485,TRUE,"Bakersfield","CA","93302"
"LABORERS 1309","org_rg_10","org_rg_10","4d023a60-692e-45c6-a835-dabf7baf9a5b",NA,"new_entity",TRUE,FALSE,"internal_fuzzy",NA,1,151.77,102485,TRUE,"Lakewood","CA","90712-4116"
"LABORERS INT'L UNION OF NORTH AMERICA, LOCAL 777 (LIUNA! LOCAL 777)","org_rg_10","org_rg_10","daffc6cb-0bff-4651-882c-db05ebf20105",NA,"new_entity",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | internal_fuzzy+map1_bridge | map1_bridge",NA,3,456.24,102485,TRUE,"Phoenix","AZ","85034-1105"
