"entity_name","canonical_name_r1","to_add_status_r1","entity_status_r1","entity_id_r1","Contributor.ID_r1","city_r1","state_r1","review_group_id_r1","confirmed_link_r1","confirmed_r1","is_conflict_r1","notes_r1","link_methods_r1","n_contributions_r1","total_amount_r1","zip_r1","Contributor.ID_r2","review_group_id_r2","canonical_name_r2","to_add_status_r2","confirmed_link_r2","entity_id_r2","flag_r2","entity_status_r2","confirmed_r2","conflicting_contributor_ids_r2","is_conflict_r2","n_contributions_r2","link_methods_r2","total_amount_r2","max_single_recipient_r2","city_r2","state_r2","zip_r2","notes_r2","review_source","in_refined_queue"
"DREYER BABICH BUCCOLA WOOD & CAMPORA, LLP","DREYER BABICH BUCCOLA WOOD & CAMPORA","in existing map","adding_to_existing","323fdaee-f2c5-4592-88c9-29ed3ac37007",NA,"Sacramento","CA","org_rg_103","yes",TRUE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,0,"95826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"DREYER BABICH BUCCOLA WOOD CAMPORA, LLP (ROGER DREYER)","DREYER BABICH BUCCOLA WOOD & CAMPORA","add to map","adding_to_existing","323fdaee-f2c5-4592-88c9-29ed3ac37007",NA,"Sacramento","CA","org_rg_103","yes",FALSE,FALSE,"","map1_bridge",1,39200,"95826-2802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"CALIFORNIA CREDIT UNION LEAGUE PAC","CALIFORNIA CREDIT UNION LEAGUE","in existing map","adding_to_existing","fe54faa9-1d46-4c96-8fc1-bfd68a665271",760225,"Ontario","CA","org_rg_11","yes",TRUE,FALSE,"","same_contributor_id",4,10000,"91761",760225,"org_rg_37_d","CALIFORNIA CREDIT UNION LEAGUE","in existing map","yes","fe54faa9-1d46-4c96-8fc1-bfd68a665271","","adding_to_existing",TRUE,FALSE,FALSE,25,"map1_bridge | same_contributor_id | same_contributor_id",62200,316805.51,"Ontario | Sacramento","CA","91761 | 95814","","both",TRUE
"CALIFORNIA'S CREDIT UNIONS LEAGUE PAC, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE","CALIFORNIA CREDIT UNION LEAGUE","add to map","adding_to_existing","fe54faa9-1d46-4c96-8fc1-bfd68a665271",760225,"Sacramento","CA","org_rg_11","yes",FALSE,FALSE,"","same_contributor_id",1,2500,"95814",760225,"org_rg_37_d","CALIFORNIA CREDIT UNION LEAGUE","in existing map","yes","fe54faa9-1d46-4c96-8fc1-bfd68a665271","","adding_to_existing",TRUE,FALSE,FALSE,1,"same_contributor_id",2500,316805.51,"Sacramento","CA","95814","","both",TRUE
"CALIFORNIA'S CREDIT UNIONS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE","CALIFORNIA CREDIT UNION LEAGUE","add to map","adding_to_existing","fe54faa9-1d46-4c96-8fc1-bfd68a665271",760225,"Sacramento","CA","org_rg_11","yes",FALSE,FALSE,"","same_contributor_id",1,1500,"95814-3992",760225,"org_rg_37_d","CALIFORNIA CREDIT UNION LEAGUE","in existing map","yes","fe54faa9-1d46-4c96-8fc1-bfd68a665271","","adding_to_existing",TRUE,FALSE,FALSE,1,"same_contributor_id",1500,316805.51,"Sacramento","CA","95814-3992","","both",TRUE
"FANDUEL GROUP, INC.","FANDUEL","add to map","adding_to_existing","26572759-8d64-47f0-8067-390dfc9be4ff",NA,"New York","NY","org_rg_112","yes",FALSE,FALSE,"","map1_bridge",1,1500,"10010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",TRUE
"FANDUEL INC.","FANDUEL","in existing map","adding_to_existing","26572759-8d64-47f0-8067-390dfc9be4ff",NA,"New York","NY","org_rg_112","yes",TRUE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,5900,"10010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",TRUE
"HIMS, INC","HIMS","add to map","new_entity","6069841d-2c6a-4089-b599-2175117f3ec1",NA,"San Francisco","CA","org_rg_125","yes",FALSE,FALSE,"","exact_name_v1",1,39200,"94123-2600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"HIMS, INC.","HIMS","add to map","new_entity","6069841d-2c6a-4089-b599-2175117f3ec1",NA,"San Francisco","CA","org_rg_125","yes",FALSE,FALSE,"","exact_name_v1",1,1500,"94123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO. 16 POLITICAL ACTION COMMITTEE","SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16","add to map","adding_to_existing","0100889d-c16d-4250-b060-778f1533631d",760715,"Los Angeles","CA","org_rg_13","yes",FALSE,FALSE,"already in name map, but wasn't indicated","map1_bridge | same_contributor_id | same_contributor_id",3,48300,"90020-1748",760715,"org_rg_41","SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16","in existing map","yes","0100889d-c16d-4250-b060-778f1533631d","","adding_to_existing",TRUE,FALSE,FALSE,4,"map1_bridge | same_contributor_id | same_contributor_id",54200,49511.56,"Los Angeles | LOS ANGELES","CA","90020 | 90020-1748","","both",FALSE
"SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO.16","SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16","add to map","adding_to_existing","0100889d-c16d-4250-b060-778f1533631d",760715,"Los Angeles","CA","org_rg_13","yes",FALSE,FALSE,"already in name map, but wasn't indicated","map1_bridge | same_contributor_id | same_contributor_id",2,18200,"90020",760715,"org_rg_41","SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16","in existing map","yes","0100889d-c16d-4250-b060-778f1533631d","","adding_to_existing",TRUE,FALSE,FALSE,2,"map1_bridge | same_contributor_id | same_contributor_id",18200,49511.56,"Los Angeles","CA","90020","","both",FALSE
"IBEW LOCAL 18 WATER & POWER DEFENSE LEAGUE","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 18","in existing map","adding_to_existing","56eca98c-74f0-4335-acb0-3110d5d1df61",744817,"Los Angeles","CA","org_rg_130_a","no",TRUE,FALSE,"","map1_bridge",1,15000,"90004",744817,"org_rg_15_d","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 18","in existing map","yes","56eca98c-74f0-4335-acb0-3110d5d1df61","","adding_to_existing",TRUE,TRUE,FALSE,2,"exact_name_v1 | exact_name_v1 | map1_bridge",20000,369287.9,"Los Angeles","CA","90004","","both",TRUE
"IBEW LOCAL 6 POLITICAL ACCOUNT","IBEW LOCAL 6 POLITICAL ACCOUNT","add to map","adding_to_existing","93326e1e-44b8-4d4f-bf46-57fe85ce7d1b",921730,"San Francisco","CA","org_rg_130_b","no",FALSE,FALSE,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 6 - same entity? ","map1_bridge",1,10000,"94117-3515",921730,"org_rg_15_e","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 6","in existing map","no","93326e1e-44b8-4d4f-bf46-57fe85ce7d1b","","adding_to_existing",TRUE,TRUE,FALSE,1,"map1_bridge",10000,369287.9,"San Francisco","CA","94117-3515","","both",TRUE
"IBEW LOCAL 684 PAC",NA,"","adding_to_existing","368979cb-5b9f-46cf-9310-7d57c9c8c71f",1309647,"Long Beach","CA","org_rg_130_c","yes",FALSE,FALSE,"","map1_bridge",1,1000,"90802-5054",1309647,"org_rg_15_f",NA,"don't add","no","11a64a4b-926a-4447-8563-a3582db7d8d7","","adding_to_existing",FALSE,TRUE,FALSE,1,"map1_bridge",1000,369287.9,"Long Beach","CA","90802-5054","","both",FALSE
"IBEW PAC EDUCATIONAL FUND (FEC ID #C00027342)","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS","add to map","adding_to_existing","955473d1-c58c-48b9-adc7-58720b3cf513",NA,"Washington","DC","org_rg_130","no",FALSE,FALSE,"","map1_bridge",1,-9100,"20001",NA,"org_rg_15_g","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS","in existing map","yes","955473d1-c58c-48b9-adc7-58720b3cf513","","adding_to_existing",TRUE,TRUE,FALSE,1,"map1_bridge",-9100,369287.9,"Washington","DC","20001","","both",FALSE
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL NO. 11","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 11","add to map","adding_to_existing","abe62467-94cf-4b01-a3ce-779164eaf832",822725,"Pasadena","CA","org_rg_130_e","no",FALSE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,15000,"91101",822725,"org_rg_15_i","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 11","in existing map","yes","abe62467-94cf-4b01-a3ce-779164eaf832","","adding_to_existing",TRUE,TRUE,FALSE,2,"map1_bridge | same_contributor_id | same_contributor_id",15000,369287.9,"Pasadena","CA","91101","","both",FALSE
