"","Contributor.Name","name","jw_dist","jaccard","level3_category"
"1","United Nurses Associations of California/ Union of Health Care Professionals","UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS",0.00266666666666668,NA,"Health worker unions"
"2","Northern California Carpenters Regional Council (Intermediary for Unitemized Union Member Contributions)","NORTHERN CAILFORNIA CARPENTERS REGIONAL COUNCIL",0.00425531914893624,NA,"Construction unions"
"3","Northern California Carpenters Regional Council","NORTHERN CAILFORNIA CARPENTERS REGIONAL COUNCIL",0.00425531914893624,NA,"Construction unions"
"4","Fletcher Jones Motor Cars","FLETCHER JONES MOTORCARS",0.00800000000000005,NA,"Auto dealers, new & used"
"5","Populus Financial Group, Inc","POPULOUS FINANCIAL GROUP",0.0083333333333333,NA,"Payday/Title Loans"
"6","OneMain General Service Corp.","ONEMAIN GENERAL SERVICES CORP",0.0083333333333333,NA,"Mortgage bankers & brokers"
"7","Painters & Allied Trades District Council 36 (intermediary for unitemized dues)","PAINTERS & ALLIED TRADES DISTRICT COUNCIL 16",0.00869565217391308,NA,"Construction unions"
"8","Association for Los Angeles Deputy Sherrifs","Association For Los Angeles Deputy Sheriffs",0.00930232558139537,NA,"Police unions & associations"
"9","California Association of Hospitals and Health Systems (CAHHS) NM","CALIFORNIA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS",0.0105263157894737,NA,"Hospitals"
"10","Southern California Pipe Trades District Council No. 16","SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16",0.0111111111111111,NA,"Construction unions"
"11","Southwest Airline Company","SOUTHWEST AIRLINES",0.0111111111111111,NA,"Airlines"
"12","Taylor Fresh Foods, Inc.","TAYLOR FRESH FOOD",0.0111111111111111,NA,"Vegetables, fruits & tree nuts"
"13","Waste Connections","WASTE CONNECTION INC",0.0117647058823529,NA,"Waste management"
"14","Waste Connections, Inc.","WASTE CONNECTION INC",0.0117647058823529,NA,"Waste management"
"15","California Applicants' Attorneys Association","CALIFORNIA APPLICANTS ATTORNEY ASSOCIATION",0.0117940199335548,NA,"Attorneys & law firms"
"16","In-N-Out Burgers","IN-N-OUT BURGER",0.0125,NA,"Restaurants & drinking establishments"
"17","BEACON PROPERTY MANAGMENT","BEACON PROPERTY MANAGEMENT LLC",0.0156923076923077,NA,"Building operators & managers"
"18","Plumbers and Steamfitters Local No. 467","PLUMBERS & STEAMFITTERS LOCAL 467",0.0157894736842106,NA,"Construction unions"
"19","Plumbers & Pipefitters Local 230 (intermediary for unitemized dues)","PLUMBERS & PIPEFITTER LOCAL 250",0.017825311942959,NA,"Construction unions"
"20","PulteGroup, Inc. and Affiliated Entities","PULTE GROUP",0.0181818181818182,NA,"Construction, unclassified"
"21","Professional Engineers In California Government  PECG","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT",0.0192307692307693,NA,"Other unions"
"22","Highland Fairview Operating Co., & Affiliated Entities","HIGHLAND FAIRVIEW OPERATING CO",0.0200000000000001,NA,"Trucking companies & services"
"23","Painters and Allied Trades District Council No. 36","PAINTERS & ALLIED TRADES DISTRICT COUNCIL 16",0.0206743566992014,NA,"Construction unions"
"24","Operating Engineers Local 12 (intermediary for unitemized dues)","OPERATING ENGINEERS LOCAL 501",0.020935960591133,NA,"Construction unions"
"25","American Federation of State County & Municipal Employees, AFL-CIO","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME",0.0210312075983717,NA,"Federal employee unions"
"26","AFSCME Local 2703 (intermediary for unitemized member dues)","AFSCME LOCAL 2700",0.0235294117647059,NA,"State & local government employee unions"
"27","AFSCME Local 10 (intermediary for unitemized member dues)","AFSCME LOCAL 1902",0.0235294117647059,NA,"State & local government employee unions"
"28","Construction & General Laborers Local Union 304","CONSTRUCTION & GENERAL LABORERS LOCAL 304",0.0244897959183674,NA,"Construction unions"
"29","Shimmick Construction Co., Inc.","SHIMMICK CONSTRUCTION CO",0.025,NA,"Public works, industrial & commercial construction"
"30","International Longshore & Warehouse Union, Local 63","INTERNATIONAL LONGSHORE & WAREHOUSE UNION / ILWU LOCAL 63",0.0271592442645075,NA,"Merchant marine & longshoremen unions"
"31","Unite Here Local 30","UNITE HERE LOCAL 100",0.0305263157894738,NA,"Other unions"
"32","ARCHER DANIELS MIDLAND COMPANY (ADM RICE, INC.)","ARCHER DANIELS MIDLAND / ADM",0.0307692307692308,NA,"Food & kindred products manufacturing"
"33","Ernst & Young CA LLP","ERNST & YOUNG",0.0333333333333333,NA,"Accountants"
"34","LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89","LABORERS INTERNATIONAL UNION OF NORTH AMERICA",0.0333333333333333,NA,"Construction unions"
"35","ERNST & YOUNG U.S. LLP","ERNST & YOUNG",0.0333333333333333,NA,"Accountants"
"36","Majestic Realty Co., Inc.","MAJESTIC REALTY CO",0.0333333333333333,NA,"Real estate agents & managers"
"37","Air BnB","AIRBNB",0.0333333333333334,NA,"Hotels & motels"
"38","Educational Employees Credit Union (Indep Expenditure Account)","EDUCATIONAL EMPLOYEES CREDIT UNION FRESNO",0.0341463414634147,NA,"Credit unions"
"39","Elevator Constructors Local #8 (Intermediary for Unitemized Union Member Contributions)","ELEVATOR CONSTRUCTORS LOCAL 8",0.0342857142857143,NA,"Construction unions"
"40","Pacific Gas & Electric (PG&E)","PACIFIC GAS & ELECTRIC / PG&E",0.0344827586206897,NA,"Gas & electric utilities"
"41","International Longshore and Warehouse Union Local 13","INTERNATIONAL LONGSHORE & WAREHOUSE UNION / ILWU LOCAL 63",0.0347027069937287,NA,"Merchant marine & longshoremen unions"
