"","pac_id","Contributor.Name","name_variants","is_seed","status","unresolvable_reason","is_federal_pac","suspected_federal_pac","suspected_federal_reason","is_major_donor_ie","is_candidate_pac","low_data_sufficiency","unknown_data_sufficiency","data_ok","contributor_is_dc_based","total_received","total_donated_all","data_sufficiency","unitemized_amount","under_5k_amount","over_5k_amount","pct_over_5k","total_direct_over_5k","total_resolvable","pct_resolvable","classification_status"
"1","1486767","BUILDING A BETTER CALIFORNIA","Building a Better California | BUILDING A BETTER CALIFORNIA",TRUE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,156832665.71,168100000,0.932972431350387,25,0,156832640.71,0.999999840594433,156832640.71,156832640.71,0.999999840594433,"classify_by_contributors"
"2","1478478","Youth Save Democracy PAC","Youth Save Democracy | Youth Save Democracy PAC",TRUE,"unresolved","major_donor_ie_committee",FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,32500,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"3","1331005","Planned Parenthood Affiliates of California VOTES PAC","Planned Parenthood Affiliates of California Votes PAC | Planned Parenthood Affiliates of California VOTES PAC | PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA VOTES PAC | Planned Parenthood of CA VOTES PAC | Protecting Choice in California, a Project of Planned Parenthood Affiliates of California",TRUE,"resolved","low_data_sufficieny",FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,85525.68,133831.4,0.639055408521468,8199.04,7326.64,70000,0.818467622823928,70000,19902.0099801819,0,"unresolvable"
"4","1049814","International Brotherhood of Electrical Workers (IBEW) PAC","IBEW PAC Educational Fund | International Brotherhood of Electrical Workers (IBEW) PAC | International Brotherhood of Electrical Workers (IBEW) PAC Educational Fund | International Brotherhood of Electrical Workers PAC | International Brotherhood of Electrical Workers PAC (IBEW PAC) | International Brotherhood of Electrical Workers PAC Educational Fund (IBEW PAC) | International Brotherhood of Electrical Workers Political Action Committee",TRUE,"resolved","suspected_federal_pac",FALSE,TRUE,"dc_based",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,820856,156100,5.2585265855221,808142,4000,0,0,0,0,0,"unresolvable"
"5","1477447","Mike Fong for Assembly 2026","Fong for Assembly 2026, Mike | Mike Fong for Assembly | Mike Fong for Assembly 2026 | Mike Fong For Assembly 2026",TRUE,"resolved",NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1026233.56,379741.49,2.70245308196373,298.88,496834.68,527100,0.513625767607912,527100,390563.271533084,0.380579321078804,"classify_as_candidate"
"6","1042247","California Thoroughbred Breeders Association Local PAC","California Thoroughbred Breeders Association Local PAC | California Thoroughbred Breeders Association PAC | California Thoroughbred Breeders Association Political Action Committee | California Thoroughbred Breeders Association Political Action Committee State PAC",TRUE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30500,20000,1.525,100,9100,21000,0.688524590163934,21000,21000,0.688524590163934,"classify_by_contributors"
"7","1398311","U.A. Local No. 228 Building Corporation PAC Fund","U.A. Local No. 228 Building Corporation PAC Fund | U.A. Local Union 228 Political Action Fund",TRUE,"unresolved","no_contributor_data",FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,6000,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"8","1490064","Garry's List Action","Garry's List Action | GARY'S LIST ACTION",TRUE,"resolved","suspected_federal_pac",FALSE,TRUE,"dc_based",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,403021,74200,5.43154986522911,1449,18272,379600,0.941886402941782,379600,379600,0.941886402941782,"unresolvable"
"9","1483803","Democratic Action, Sponsored by Democratic Governors Association","Democratic Action, Sponsored by Democratic Governors Association | Democratic Action, sponsored by Democratic Governors Association (Fed PAC ID #C00562983) | Democratic Action, Yes on 50, sponsored by Democratic Governors Association (FED PAC ID #C00562983)",TRUE,"federal_pac","federal_pac",TRUE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"10","1058417","CalTravel Association PAC","CalTravel Association PAC | CalTravel Association PAC, Sponsored by California Travel Association | CALTRAVEL ASSOCIATION PAC, SPONSORED BY CALIFORNIA TRAVEL ASSOCIATION | CalTravel PAC | CalTravel PAC, sponsored by California Travel Association | CalTravel PAC, Sponsored by California Travel Association | CALTRAVEL PAC, SPONSORED BY CALIFORNIA TRAVEL ASSOCIATION",TRUE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,489441.35,313400,1.56171458200383,263.56,136846.6,352331.19,0.719863963271595,352331.19,352331.19,0.719863963271595,"classify_by_contributors"
"11","1255069","Duane Morris Government Committee","Duane Morris Government Committee | Duane Morris LLP Government Committee | Duane Morris LLP Government Committee PA ID#7900289 | Duane Morris LLP Government Committee State & Local Fund",TRUE,"federal_pac","federal_pac",TRUE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"12","1406838","Teamsters Local Union 350 PAC","Teamsters Local Union 350 PAC",TRUE,"resolved","low_pct_resolvable",FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,70323.05,38200,1.84091753926702,0,3417.05,66906,0.951409246328195,66906,0,0,"unresolvable"
"13","1365388","California Almond Industry PAC, Sponsored by The Almond Alliance of California","Almond Alliance PAC | CA Almond Industry PAC | CA Almond Industry PAC, Sponsored by The Almon Alliance of California | CA Almond Industry PAC, Sponsored by the Almond Alliance of CA | CA Almond Industry PAC, Sponsored by The Almond Alliance of CA | CA Almond Industry PAC, Sponsored by the Almond Alliance of California | CA Almond Industry PAC, Sponsored by The Almond Alliance of California | CA Almond Industry PAC, Spronsored by the Almond Alliance of California | CA Almond Industy -PAC Sponsored by the Almond Alliance of CA | California Almond Industry PAC, Sponsored by the Almond Alliance of California | California Almond Industry PAC, Sponsored by The Almond Alliance of California | California Almond Industry PAC, Sponsored by The Almond Alliance Of California",TRUE,"resolved","low_pct_resolvable",FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,114270.5,135350,0.844259327669006,650,73700,37100,0.324668221456981,37100,37100,0.324668221456981,"unresolvable"
