_stripped,name,name_norm,naics_code,_parent_code,source
360 MANAGEMENT,"360 MANAGEMENT, INC.",360 MANAGEMENT INC,56,56,h1b_employer
360 MANAGEMENT,360 MANAGEMENT LLC,360 MANAGEMENT LLC,72,72,h1b_employer
DOORDASH,DoorDash,DOORDASH,492210,48-49,edd
DOORDASH,DOORDASH INC,DOORDASH INC,54,54,h1b_employer
DYNASTY SHIPPING,DYNASTY SHIPPING INC,DYNASTY SHIPPING INC,48-49,48-49,h1b_employer
DYNASTY SHIPPING,DYNASTY SHIPPING LLC,DYNASTY SHIPPING LLC,54,54,h1b_employer
HANWHA Q CELLS USA,HANWHA Q CELLS USA CORPORATION,HANWHA Q CELLS USA CORPORATION,23,23,h1b_employer
HANWHA Q CELLS USA,HANWHA Q CELLS USA INC,HANWHA Q CELLS USA INC,31-33,31-33,h1b_employer
INTUIT,Intuit,INTUIT,456120,44-45,edd
INTUIT,INTUIT INC,INTUIT INC,54,54,h1b_employer
JUPITER RESEARCH,"JUPITER RESEARCH, LLC",JUPITER RESEARCH LLC,31-33,31-33,h1b_employer
JUPITER RESEARCH,JUPITER RESEARCH INC.,JUPITER RESEARCH INC,54,54,h1b_employer
LOOKOUT,LOOKOUT INC,LOOKOUT INC,51,51,h1b_employer
LOOKOUT,Lookout,LOOKOUT,722410,72,edd
MAGNA ELECTRONICS,MAGNA ELECTRONICS INC,MAGNA ELECTRONICS INC,31-33,31-33,h1b_employer
MAGNA ELECTRONICS,MAGNA ELECTRONICS LLC,MAGNA ELECTRONICS LLC,54,54,h1b_employer
NATERA,NATERA INC,NATERA INC,54,54,h1b_employer
NATERA,Natera,NATERA,811121,81,edd
NVIDIA,NVIDIA CORPORATION,NVIDIA CORPORATION,31-33,31-33,h1b_employer
NVIDIA,NVIDIA,NVIDIA,541511,54,edd
PRIME GROUP,PRIME GROUP,PRIME GROUP,531210,53,edd
PRIME GROUP,PRIME GROUP LTD,PRIME GROUP LTD,61,61,h1b_employer
QUANTA TECHNOLOGY,QUANTA TECHNOLOGY,QUANTA TECHNOLOGY,31-33,31-33,h1b_employer
QUANTA TECHNOLOGY,QUANTA TECHNOLOGY LLC,QUANTA TECHNOLOGY LLC,54,54,h1b_employer
RIOT GAMES,Riot Games,RIOT GAMES,459120,44-45,edd
RIOT GAMES,RIOT GAMES INC,RIOT GAMES INC,54,54,h1b_employer
ROBLOX,Roblox,ROBLOX,459120,44-45,edd
ROBLOX,ROBLOX CORPORATION,ROBLOX CORPORATION,51,51,h1b_employer
SECURIN,SECURIN INC,SECURIN INC,54,54,h1b_employer
SECURIN,Securin,SECURIN,813311,81,edd
SQUARE FINANCIAL SERVICES,SQUARE FINANCIAL SERVICES,SQUARE FINANCIAL SERVICES,51,51,h1b_employer
SQUARE FINANCIAL SERVICES,SQUARE FINANCIAL SERVICES INC,SQUARE FINANCIAL SERVICES INC,52,52,h1b_employer
STRIPE,STRIPE,STRIPE,236115,23,edd
STRIPE,STRIPE INC,STRIPE INC,52,52,h1b_employer
TATA CONSULTANCY SERVICES,TATA CONSULTANCY SERVICES LIMITED,TATA CONSULTANCY SERVICES LIMITED,51,51,h1b_employer
TATA CONSULTANCY SERVICES,TATA CONSULTANCY SERVICES LTD,TATA CONSULTANCY SERVICES LTD,54,54,h1b_employer
WEBFLOW,WEBFLOW INC,WEBFLOW INC,51,51,h1b_employer
WEBFLOW,Webflow,WEBFLOW,541512,54,edd
