"naics_sector","description"
"11","Agriculture, Forestry, Fishing and Hunting, including: Oilseed and Grain Farming; Vegetable and Melon Farming; Fruit and Tree Nut Farming; Greenhouse, Nursery, and Floriculture Production; Other Crop Farming; Cattle Ranching and Farming; Hog and Pig Farming; Poultry and Egg Production; Sheep and Goat Farming; Aquaculture; Other Animal Production; Timber Tract Operations; Forest Nurseries and Gathering of Forest Products; Logging; Fishing; Hunting and Trapping; Support Activities for Crop Production; Support Activities for Animal Production; Support Activities for Forestry"
"21","Mining, Quarrying, and Oil and Gas Extraction, including: Oil and Gas Extraction; Coal Mining; Metal Ore Mining; Nonmetallic Mineral Mining and Quarrying; Support Activities for Mining"
"22","Utilities, including: Electric Power Generation, Transmission and Distribution; Natural Gas Distribution; Water, Sewage and Other Systems"
"23","Construction, including: Residential Building Construction; Nonresidential Building Construction; Utility System Construction; Land Subdivision; Highway, Street, and Bridge Construction; Other Heavy and Civil Engineering Construction; Foundation, Structure, and Building Exterior Contractors; Building Equipment Contractors; Building Finishing Contractors; Other Specialty Trade Contractors"
"31","Manufacturing, including: Animal Food Manufacturing; Grain and Oilseed Milling; Sugar and Confectionery Product Manufacturing; Fruit and Vegetable Preserving and Specialty Food Manufacturing; Dairy Product Manufacturing; Animal Slaughtering and Processing; Seafood Product Preparation and Packaging; Bakeries and Tortilla Manufacturing; Other Food Manufacturing; Beverage Manufacturing; Tobacco Manufacturing; Fiber, Yarn, and Thread Mills; Fabric Mills; Textile and Fabric Finishing and Fabric Coating Mills; Textile Furnishings Mills; Other Textile Product Mills; Apparel Knitting Mills; Cut and Sew Apparel Manufacturing; Apparel Accessories and Other Apparel Manufacturing; Leather and Hide Tanning and Finishing; Footwear Manufacturing; Other Leather and Allied Product Manufacturing"
"32","Manufacturing, including: Sawmills and Wood Preservation; Veneer, Plywood, and Engineered Wood Product Manufacturing; Other Wood Product Manufacturing; Pulp, Paper, and Paperboard Mills; Converted Paper Product Manufacturing; Printing and Related Support Activities; Petroleum and Coal Products Manufacturing; Basic Chemical Manufacturing; Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing; Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing; Pharmaceutical and Medicine Manufacturing; Paint, Coating, and Adhesive Manufacturing; Soap, Cleaning Compound, and Toilet Preparation Manufacturing; Other Chemical Product and Preparation Manufacturing; Plastics Product Manufacturing; Rubber Product Manufacturing; Clay Product and Refractory Manufacturing; Glass and Glass Product Manufacturing; Cement and Concrete Product Manufacturing; Lime and Gypsum Product Manufacturing; Other Nonmetallic Mineral Product Manufacturing"
"33","Manufacturing, including: Iron and Steel Mills and Ferroalloy Manufacturing; Steel Product Manufacturing from Purchased Steel; Alumina and Aluminum Production and Processing; Nonferrous Metal (except Aluminum) Production and Processing; Foundries; Forging and Stamping; Cutlery and Handtool Manufacturing; Architectural and Structural Metals Manufacturing; Boiler, Tank, and Shipping Container Manufacturing; Hardware Manufacturing; Spring and Wire Product Manufacturing; Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing; Coating, Engraving, Heat Treating, and Allied Activities; Other Fabricated Metal Product Manufacturing; Agriculture, Construction, and Mining Machinery Manufacturing; Industrial Machinery Manufacturing; Commercial and Service Industry Machinery Manufacturing; Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing; Metalworking Machinery Manufacturing; Engine, Turbine, and Power Transmission Equipment Manufacturing; Other General Purpose Machinery Manufacturing; Computer and Peripheral Equipment Manufacturing; Communications Equipment Manufacturing; Audio and Video Equipment Manufacturing; Semiconductor and Other Electronic Component Manufacturing; Navigational, Measuring, Electromedical, and Control Instruments Manufacturing; Manufacturing and Reproducing Magnetic and Optical Media; Electric Lighting Equipment Manufacturing; Household Appliance Manufacturing; Electrical Equipment Manufacturing; Other Electrical Equipment and Component Manufacturing; Motor Vehicle Manufacturing; Motor Vehicle Body and Trailer Manufacturing; Motor Vehicle Parts Manufacturing; Aerospace Product and Parts Manufacturing; Railroad Rolling Stock Manufacturing; Ship and Boat Building; Other Transportation Equipment Manufacturing; Household and Institutional Furniture and Kitchen Cabinet Manufacturing; Office Furniture (including Fixtures) Manufacturing; Other Furniture Related Product Manufacturing; Medical Equipment and Supplies Manufacturing; Other Miscellaneous Manufacturing"
"42","Wholesale Trade, including: Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers; Furniture and Home Furnishing Merchant Wholesalers; Lumber and Other Construction Materials Merchant Wholesalers; Professional and Commercial Equipment and Supplies Merchant Wholesalers; Metal and Mineral (except Petroleum) Merchant Wholesalers; Household Appliances and Electrical and Electronic Goods Merchant Wholesalers; Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers; Machinery, Equipment, and Supplies Merchant Wholesalers; Miscellaneous Durable Goods Merchant Wholesalers; Paper and Paper Product Merchant Wholesalers; Drugs and Druggists' Sundries Merchant Wholesalers; Apparel, Piece Goods, and Notions Merchant Wholesalers; Grocery and Related Product Merchant Wholesalers; Farm Product Raw Material Merchant Wholesalers; Chemical and Allied Products Merchant Wholesalers; Petroleum and Petroleum Products Merchant Wholesalers; Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers; Miscellaneous Nondurable Goods Merchant Wholesalers; Wholesale Trade Agents and Brokers"
"44","Retail Trade, including: Automobile Dealers; Other Motor Vehicle Dealers; Automotive Parts, Accessories, and Tire Retailers; Building Material and Supplies Dealers; Lawn and Garden Equipment and Supplies Retailers; Grocery and Convenience Retailers; Specialty Food Retailers; Beer, Wine, and Liquor Retailers; Furniture and Home Furnishings Retailers; Electronics and Appliance Retailers"
"45","Retail Trade, including: Department Stores; Warehouse Clubs, Supercenters, and Other General Merchandise Retailers; Health and Personal Care Retailers; Gasoline Stations; Fuel Dealers; Clothing and Clothing Accessories Retailers; Shoe Retailers; Jewelry, Luggage, and Leather Goods Retailers; Sporting Goods, Hobby, and Musical Instrument Retailers; Book Retailers and News Dealers; Florists; Office Supplies, Stationery, and Gift Retailers; Used Merchandise Retailers; Other Miscellaneous Retailers"
"48","Transportation and Warehousing, including: Scheduled Air Transportation; Nonscheduled Air Transportation; Rail Transportation; Deep Sea, Coastal, and Great Lakes Water Transportation; Inland Water Transportation; General Freight Trucking; Specialized Freight Trucking; Urban Transit Systems; Interurban and Rural Bus Transportation; Taxi and Limousine Service; School and Employee Bus Transportation; Charter Bus Industry; Other Transit and Ground Passenger Transportation; Pipeline Transportation of Crude Oil; Pipeline Transportation of Natural Gas; Other Pipeline Transportation; Scenic and Sightseeing Transportation, Land; Scenic and Sightseeing Transportation, Water; Scenic and Sightseeing Transportation, Other; Support Activities for Air Transportation; Support Activities for Rail Transportation; Support Activities for Water Transportation; Support Activities for Road Transportation; Freight Transportation Arrangement; Other Support Activities for Transportation"
"49","Transportation and Warehousing, including: Postal Service; Couriers and Express Delivery Services; Local Messengers and Local Delivery; Warehousing and Storage"
