canonical_entity_id,canonical_entity_name,link_tier,raw_name_variants,n_name_variants,code_final,n_contributors,n_from_pipeline,n_from_manual_review,code_sources,roles,rule_code_variants,code_conflict,conflict_type,n_as_direct_contributor,n_as_employer,conflict_resolution_code
dd_-10579,"Sheet Metal, Air, Rail, Transportation Workers' International Union (SMART)",dd_org_concept,SHEET METAL WORKERS,1,40,3,0,3,manual_review,employer,,TRUE,within_manual_review,0,44,NA
dd_-10579,"Sheet Metal, Air, Rail, Transportation Workers' International Union (SMART)",dd_org_concept,SHEET METAL WORKERS,1,77,41,0,41,manual_review,employer,,TRUE,within_manual_review,0,44,NA
dd_-6897,Kaiser Permanente,dd_org_concept,KAISER PERMANENTE | KAISER PERMANENTE FOUNDATION HEALTH PLAN,2,52,3,1,2,manual_review | pre_classified (locked),employer,60,TRUE,manual_vs_pipeline,0,11,NA
dd_-6897,Kaiser Permanente,dd_org_concept,KAISER PERMANENTE | KAISER PERMANENTE FOUNDATION HEALTH PLAN,2,60,8,8,0,pre_classified (locked) | rule (employer_lookup),employer,,TRUE,manual_vs_pipeline,0,11,NA
nem_deaafbda-c611-40d2-9590-30d88ab4760d,COMCAST,names_mapping,"Comcast | Comcast Cable Communications | Comcast Corporation | COMCAST CORPORATION | Comcast Corporation and Affiliated Entities | Comcast Corporation and Affiliated Entities Including NBCUniversal Media LLC | Comcast Corporation and Affiliated Entities including NBCUniversal Media LLC(John Mannion) | COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC | Comcast Financial Agency Corp. | Comcast Financial Agency Corporation",10,100,1,0,1,manual_review,employer,20,TRUE,direct_vs_employer; manual_vs_pipeline,9,1,NA
nem_deaafbda-c611-40d2-9590-30d88ab4760d,COMCAST,names_mapping,"Comcast | Comcast Cable Communications | Comcast Corporation | COMCAST CORPORATION | Comcast Corporation and Affiliated Entities | Comcast Corporation and Affiliated Entities Including NBCUniversal Media LLC | Comcast Corporation and Affiliated Entities including NBCUniversal Media LLC(John Mannion) | COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC | Comcast Financial Agency Corp. | Comcast Financial Agency Corporation",10,20,8,2,6,manual_review | ml+llm agreement,direct_contributor,,TRUE,direct_vs_employer; manual_vs_pipeline,9,1,NA
nem_deaafbda-c611-40d2-9590-30d88ab4760d,COMCAST,names_mapping,"Comcast | Comcast Cable Communications | Comcast Corporation | COMCAST CORPORATION | Comcast Corporation and Affiliated Entities | Comcast Corporation and Affiliated Entities Including NBCUniversal Media LLC | Comcast Corporation and Affiliated Entities including NBCUniversal Media LLC(John Mannion) | COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC | Comcast Financial Agency Corp. | Comcast Financial Agency Corporation",10,99,1,1,0,pre_classified (locked),direct_contributor,,TRUE,direct_vs_employer; manual_vs_pipeline,9,1,NA
dd_-2823,California Resources Corporation,dd_org_concept,"California Resource Corporation | California Resources Corporation | California Resources Corporation (CRC) Services, LLC | California Resources Corporation and Subsidiaries | California Resources Corporation and Subsidiaries(Clio C. Crespy) | California Resources Corporation and Subsidiaries(Jas Sajjan) | California Resources Corporation and Subsidiaries(Matthew Alvarez) | California Resources Corporation Services (CRC), LLC | CRC Services, LLC | CRC Services, LLC(Maria Sperber)",10,21,8,0,8,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,10,0,NA
dd_-2823,California Resources Corporation,dd_org_concept,"California Resource Corporation | California Resources Corporation | California Resources Corporation (CRC) Services, LLC | California Resources Corporation and Subsidiaries | California Resources Corporation and Subsidiaries(Clio C. Crespy) | California Resources Corporation and Subsidiaries(Jas Sajjan) | California Resources Corporation and Subsidiaries(Matthew Alvarez) | California Resources Corporation Services (CRC), LLC | CRC Services, LLC | CRC Services, LLC(Maria Sperber)",10,50,1,1,0,rule+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,10,0,NA
dd_-2823,California Resources Corporation,dd_org_concept,"California Resource Corporation | California Resources Corporation | California Resources Corporation (CRC) Services, LLC | California Resources Corporation and Subsidiaries | California Resources Corporation and Subsidiaries(Clio C. Crespy) | California Resources Corporation and Subsidiaries(Jas Sajjan) | California Resources Corporation and Subsidiaries(Matthew Alvarez) | California Resources Corporation Services (CRC), LLC | CRC Services, LLC | CRC Services, LLC(Maria Sperber)",10,60,1,0,1,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,10,0,NA
