canonical_entity_id,canonical_entity_name,link_tier,raw_name_variants,n_name_variants,code_final,n_contributors,n_from_pipeline,n_from_manual_review,code_sources,roles,rule_code_variants,code_conflict,conflict_type,n_as_direct_contributor,n_as_employer,conflict_resolution_code
dd_-11003,State Farm Insurance,dd_org_concept,STATE FARM,1,52,88,81,7,manual_review | rule+llm agreement,employer,,FALSE,NA,0,88,NA
dd_-10579,"Sheet Metal, Air, Rail, Transportation Workers' International Union (SMART)",dd_org_concept,SHEET METAL WORKERS,1,40,3,0,3,manual_review,employer,,TRUE,within_manual_review,0,44,NA
dd_-10579,"Sheet Metal, Air, Rail, Transportation Workers' International Union (SMART)",dd_org_concept,SHEET METAL WORKERS,1,77,41,0,41,manual_review,employer,,TRUE,within_manual_review,0,44,NA
v5_182,Anthropic PBC,name_v5,Anthropic PBC | ANTHROPIC PBC,2,79,21,21,0,pre_classified (locked) | rule+llm agreement,both,,FALSE,NA,1,20,NA
nem_a4aa5814-a7ab-42f6-b316-08e6c1d48095,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 332,names_mapping,Electrical Workers Local #100 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #11 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #302 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #332 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #440 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #477 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #551 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #569 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #595 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #6 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #617 (Intermediary for Unitemized Union Member Contributions) | Electrical Workers Local #952 (Intermediary for Unitemized Union Member Contributions) | IBEW Local 18 | IBEW LOCAL 332 | International Brotherhood of Electrical Workers Local Union 1245,15,77,15,0,15,manual_review,direct_contributor,,FALSE,NA,15,0,NA
dd_-21,"American Federation of State, County and Municipal Employees (AFSCME)",dd_org_concept,AFSCME Council 57 (Intermediary for Unitemized Union Member Contributions) | AFSCME Local 101 (intermediary for unitemized member dues) | AFSCME Local 146 (intermediary for unitemized member dues) | AFSCME Local 1684 (intermediary for unitemized member dues) | AFSCME Local 2019 (intermediary for unitemized member dues) | AFSCME Local 2428 (intermediary for unitemized member dues) | AFSCME Local 2620 (intermediary for unitemized member dues) | AFSCME Local 2700 (intermediary for unitemized member dues) | AFSCME Local 2703 (intermediary for unitemized member dues) | AFSCME Local 3299 (Intermediary for Unitemized Union Member Contributions) | AFSCME Local 444 (intermediary for unitemized member dues) | AFSCME Local 829 (intermediary for unitemized member dues) | United EMS Workers AFSCME Local 4911 (Intermediary for unitemized member dues),13,77,13,0,13,manual_review,direct_contributor,,FALSE,NA,13,0,NA
dd_-514,Amazon,dd_org_concept,"Amazon | AMAZON | Amazon.com Services LLC (Anthony Williams) | Amazon.com Services LLC(Andrea Fava) | AMAZON.COM SERVICES LLC(ANDREA FAVA) | Amazon.com Services LLC(Andy Jassy) | Amazon.com Services LLC(Fava Andrea) | Amazon.com Services, LLC | Amazon.com Services, LLC (Andrea Fava) | Amazon.com Services, LLC(Andrea Fara) | AMAZONCOM",11,79,11,9,2,manual_review | rule+llm agreement,both,,FALSE,NA,9,2,NA
dd_-4507,DaVita Inc.,dd_org_concept,"Davita | DaVita | Davita Inc. | DaVita Inc. and Affiliated Entities | DaVita Inc. Including Aggregated Contributions | DaVita Kidney Care | Davita, Inc | DaVita, Inc. | Davita, Inc. and Affiliated Entities | DaVita, Inc. and Affiliated Entities | DaVita, Inc. Including Aggregated Contributions",11,60,11,9,2,manual_review | ml+llm agreement | os+llm agreement | pre_classified (locked),direct_contributor,,FALSE,NA,11,0,NA
nem_935b461b-d567-41e7-a9e5-d8c32f30d592,GOOGLE,names_mapping,"GOOGLE | Google Client Services LLC | Google LLC and Affiliated Entities | Google LLC and Affiliated Entities (Robert Biederman) | Google LLC and Affiliated Entities(Rob Biederman) | GOOGLE LLC AND AFFILIATED ENTITIES(ROB BIEDERMAN) | Google LLC and Affiliated Entities(William Floyd) | Google, LLC and Affiliated Entities",8,79,11,11,0,os+llm agreement | rule+llm agreement,both,,FALSE,NA,7,4,NA
dd_-6897,Kaiser Permanente,dd_org_concept,KAISER PERMANENTE | KAISER PERMANENTE FOUNDATION HEALTH PLAN,2,52,3,1,2,manual_review | pre_classified (locked),employer,60,TRUE,manual_vs_pipeline,0,11,NA
