name_string,canonical_entity_id
(W)right on Communications,v5_1
[contributor to PAC: The Home Depot Inc. Political Action Committee],v5_2
"1-800 Contacts, Inc.",dd_-29
1PointFive US LLC(Kelsey Olson),v5_4
1PointFive US LLC(Michael Avery),v5_4
"1PointFive US, LLC",v5_4
1PointFive USA LLC,v5_5
"1PointFive USA, LLC",v5_5
"1PointFive USA, LLC(Michael Avery)",v5_5
1st United Credit Union,v5_6
1upHealth Inc.,v5_7
21st Century Alliance,dd_-15174
24hr Home Care LLC(Scott Barber),v5_9
2CGPAK,v5_10
2M FOUNDATION,v5_11
450 ATTORNEYS,v5_12
450 ATTORNEYS A LAW,v5_13
4R FAMILY RESTAURANTS AND AFFILIATED ENTITIES,v5_14
"6 Degrees Health DX, LLC(Harrison Yost)",v5_15
80 000 HOURS,v5_16
801 PROPERTIES,v5_17
"888 Claims, LLC",v5_18
8VC,v5_19
9th and A Limited Partnership,v5_20
"A & A Ready Mixed Concrete, Inc.",v5_21
A AND J PROGRAMMING,v5_22
A-C Electric Company,v5_23
AAHOA,v5_24
"Abbey, Weitzenberg, Warren & Emery, PC",v5_25
Abbott Laboratories,dd_-110
Abbott Laboratories Employee Political Action Committee - C00040279,v5_27
ABC Federation of Teachers (Unitemized Member Contributions),v5_28
ABERYTHMIC,v5_29
"ABL Properties, Inc.",v5_30
ABSTRACT VENTURES,v5_31
"AC Disaster Consulting, LLC",v5_32
Acacia Capital Corporation and Affiliates,v5_33
ACADEMIAEDU,v5_34
Acadia Pharmaceuticals,v5_35
Acciona Construction USA Corporation,v5_36
ACCO ENGINEERED SYSTEMS,v5_37
Acco Management Company,v5_38
ACCO Management Company,v5_38
"ACE Development Company L c/o AES Distributed Energy, Inc.",v5_39
ACE DEVELOPMENT COMPANY LLC(ANDRES GLUSKI),v5_40
"ACH Mechanical Contractors, Inc.",v5_41
"Activehours Inc, dba Earnin",dd_-15075
ACTS LAW,v5_43
ACTUM,dd_-12972
Acuity,v5_45
ADAMSON AND AHDOOT,v5_46
ADE MANAGEMENT CORPORATION,v5_47
ADHESIVE PRODUCTS,v5_48
Adjunct Faculty United (Unitemized Member Contributions),v5_49
"Administrative Services Cooperative, Inc.",dd_-204
ADOBE,v5_51
Adobe Wells MHC,v5_52
ADU DESIGN GROUP,v5_53
ADVANCE SURGEONS MEDICAL GROUP,v5_54
"Advanced Network, Inc.",v5_55
ADVENTIST HEALTH,dd_-237
AECOM,dd_-254
AEG,dd_-257
AEG and Affiliated Entities,dd_-257
AFA-CWA 11 Assn of Flight Atte (intermediary for unitemized member dues),v5_59
Affinity Medical Group,v5_60
AFFIRM,v5_61
"Affirm, Inc.",v5_61
AFFIRMED HOUSING,dd_-276
Affirmed Housing Group,dd_-276
Affirmed Housing Group Inc.,dd_-276
"Affirmed Housing Group, Inc.",dd_-276
AFSCME 1199 UNAC Health Care W (intermediary for unitemized member dues),v5_63
AFSCME 3299 UC Employees (intermediary for unitemized member dues),v5_64
AFSCME 3930 UDW United Dom Wkr (intermediary for unitemized member dues),v5_65
AFSCME CA District 36 (Intermediary for Unitemized Union Member Contributions),v5_66
AFSCME Council 57 (Intermediary for Unitemized Union Member Contributions),dd_-21
AFSCME Local 1 (intermediary for unitemized member dues),v5_68
AFSCME Local 10 (intermediary for unitemized member dues),v5_69
AFSCME Local 101 (intermediary for unitemized member dues),dd_-21
AFSCME Local 146 (intermediary for unitemized member dues),dd_-21
AFSCME Local 1684 (intermediary for unitemized member dues),dd_-21
AFSCME Local 1902 Employees Association of MWD (Intermediary for Unitemized Union Member Contributions),v5_70
AFSCME Local 2019 (intermediary for unitemized member dues),dd_-21
AFSCME Local 2428 (intermediary for unitemized member dues),dd_-21
AFSCME Local 257 (intermediary for unitemized member dues),v5_71
AFSCME Local 258 (intermediary for unitemized member dues),v5_72
AFSCME Local 2620 (intermediary for unitemized member dues),dd_-21
AFSCME Local 2700 (intermediary for unitemized member dues),dd_-21
AFSCME Local 2703 (intermediary for unitemized member dues),dd_-21
AFSCME Local 3299 (Intermediary for Unitemized Union Member Contributions),dd_-21
AFSCME Local 444 (intermediary for unitemized member dues),dd_-21
AFSCME Local 829 (intermediary for unitemized member dues),dd_-21
AFT 1021 United Teachers of LA (intermediary for unitemized member dues),v5_73
AFT 61 United Educators of SF (intermediary for unitemized member dues),v5_74
AFT College Staff Guild - Los Angeles (Unitemized Member Contributions),dd_-634
AFT Guild-San Diego Community College (Unitemized Member Contributions),v5_76
Agathos Support Service Inc,v5_77
AGJ PROGRAMMIN,v5_78
Agua Caliente Band of Cahuilla Indians,nem_749a4490-5053-4058-b1e1-dfd344c76f28
AGUA CALIENTE BAND OF CAHUILLA INDIANS,nem_749a4490-5053-4058-b1e1-dfd344c76f28
AHMC HEALTHCARE,v5_80
AI FUTURES PROJECT,v5_81
AI LAB WATCH,v5_82
AI Nutrition Corp dba RxDiet,v5_83
AIG Property Casualty Company,v5_84
Air Flow Mechanical,v5_85
AIR FORCE,v5_86
AIRBNB,dd_-329
Airbnb Inc.,dd_-329
AirBnB Inc.,dd_-329
AIRBNB INC.,dd_-329
"Airbnb, Inc.",dd_-329
"AirBnb, Inc.",dd_-329
"AIRBNB, INC.",dd_-329
AIRCO MECHANICAL,v5_88
AIRTEC SERVICE,v5_89
AITKEN AITKEN COHN,dd_-347
"Aitken, Aitken & Cohn",dd_-347
"AJAYI HOSPITALITY GROUP, INC AND AFFILIATED ENTITIES",v5_91
Al Malaikah Auditorium Company,v5_92
ALAN SPARER,v5_93
