canonical_entity_id,canonical_entity_name,link_tier,raw_name_variants,n_name_variants,code_final,n_contributors,n_from_pipeline,n_from_manual_review,code_sources,roles,rule_code_variants,code_conflict,conflict_type,n_as_direct_contributor,n_as_employer,conflict_resolution_code
v5_2310,Spencer Enterprises,name_v5,Spencer Enterprises | SPENCER ENTERPRISES,2,40,4,2,2,manual_review | pre_classified (locked),both,60,FALSE,NA,1,3,NA
dd_-769,Amgen,dd_org_concept,"AMGEN | Amgen Inc. | Amgen, Inc.",3,31-33,3,0,3,manual_review,both,50,FALSE,NA,2,1,NA
dd_-4697,"Disney Worldwide Services, Inc.",dd_org_concept,"Disney Worldwide Services, Inc. | Disney WorldWide Services, Inc. | Disney Worldwide Services, Inc. and Affiliated Entities",3,70,3,0,3,manual_review,direct_contributor,92,FALSE,NA,3,0,NA
v5_676,"CVS Pharmacy, Inc.",name_v5,"CVS Pharmacy, Inc. | CVS PHARMACY, INC.",2,80,2,0,2,manual_review,direct_contributor,52,FALSE,NA,2,0,NA
dd_-2153,California Citrus Mutual,dd_org_concept,California Citrus Mutual | California Citrus Mutual (Restricted Use Account),2,76,2,0,2,manual_review,direct_contributor,11,FALSE,NA,2,0,NA
v5_977,GENERAL DOUGLAS MACARTHUR LODGE,name_v5,GENERAL DOUGLAS MACARTHUR LODGE,1,50,2,0,2,manual_review,employer,80,FALSE,NA,0,2,NA
dd_-5772,General Motors LLC,dd_org_concept,General Motors Company | General Motors LLC(Kia Floyd),2,31-33,2,0,2,manual_review,direct_contributor,80,FALSE,NA,2,0,NA
dd_-5824,"Gilead Sciences, Inc.",dd_org_concept,"Gilead Sciences Inc. | Gilead Sciences, Inc.",2,31-33,2,0,2,manual_review,direct_contributor,50,FALSE,NA,2,0,NA
v5_1079,HANFORD HOTELS,name_v5,HANFORD HOTELS,1,80,2,0,2,manual_review,employer,70,FALSE,NA,0,2,NA
dd_-7567,"Lyft, Inc.",dd_org_concept,"Lyft, Inc. | LYFT, INC.",2,20,2,0,2,manual_review,direct_contributor,79,FALSE,NA,2,0,NA
dd_-8043,Molina Healthcare of California,dd_org_concept,"Molina Healthcare Inc. | Molina Healthcare, Inc.",2,52,2,0,2,manual_review,direct_contributor,60,FALSE,NA,2,0,NA
dd_-15529,StubHub,dd_org_concept,"Stubhub, Inc. | StubHub, Inc.",2,70,2,0,2,manual_review,direct_contributor,80,FALSE,NA,2,0,NA
dd_-11778,The Western States Petroleum Association,dd_org_concept,Western States Petroleum Association | WESTERN STATES PETROLEUM ASSOCIATION,2,76,2,0,2,manual_review,direct_contributor,21,FALSE,NA,2,0,NA
dd_-12358,Valero,dd_org_concept,"Valero Services, Inc. | VALERO SERVICES, INC. AND AFFILIATED ENTITIES",2,21,2,0,2,manual_review,direct_contributor,31-33,FALSE,NA,2,0,NA
v5_97,ALCOVE PUBLISHING,name_v5,ALCOVE PUBLISHING,1,50,1,0,1,manual_review,employer,70,FALSE,NA,0,1,NA
v5_143,AMERICAN COLLEGE OF RADIOLOGY,name_v5,AMERICAN COLLEGE OF RADIOLOGY,1,60,1,0,1,manual_review,employer,50,FALSE,NA,0,1,NA
v5_27,Abbott Laboratories Employee Political Action Committee - C00040279,name_v5,Abbott Laboratories Employee Political Action Committee - C00040279,1,31-33,1,0,1,manual_review,direct_contributor,88,FALSE,NA,1,0,NA
v5_98,"Aldridge Electric, Inc.",name_v5,"Aldridge Electric, Inc.",1,40,1,0,1,manual_review,direct_contributor,50,FALSE,NA,1,0,NA
v5_134,Amador El Dorado Sacramento County Cattlemen's Association,name_v5,Amador El Dorado Sacramento County Cattlemen's Association,1,76,1,0,1,manual_review,direct_contributor,11,FALSE,NA,1,0,NA
v5_153,American Motors Group,name_v5,American Motors Group,1,76,1,0,1,manual_review,direct_contributor,80,FALSE,NA,1,0,NA
dd_-1079,Assn of Ca Life & Health Insurance Companies PAC,dd_org_concept,Association of California Life & Health Insurance Companies,1,76,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
v5_268,BARRETT FAMILY HOLDINGS,name_v5,BARRETT FAMILY HOLDINGS,1,100,1,0,1,manual_review,employer,50,FALSE,NA,0,1,NA
v5_272,BAUMAN LANDSCAPE AND CONSTRUCTION,name_v5,BAUMAN LANDSCAPE AND CONSTRUCTION,1,40,1,0,1,manual_review,employer,50,FALSE,NA,0,1,NA
dd_-1482,Biogen,dd_org_concept,Biogen Inc.,1,79,1,0,1,manual_review,direct_contributor,60,FALSE,NA,1,0,NA
v5_381,CAHIP - California Agents and Health Insurance Professionals,name_v5,CAHIP - California Agents and Health Insurance Professionals,1,76,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
v5_444,CALIFORNIA INSURANCE COMMISSIONER,name_v5,CALIFORNIA INSURANCE COMMISSIONER,1,50,1,0,1,manual_review,employer,52,FALSE,NA,0,1,NA
v5_515,"CDJ INVESTMENT GROUP, INC AND AFFILIATED ENTITIES",name_v5,"CDJ INVESTMENT GROUP, INC AND AFFILIATED ENTITIES",1,80,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
v5_526,CENTER FOR AMERICAN PROGRESS,name_v5,CENTER FOR AMERICAN PROGRESS,1,60,1,0,1,manual_review,employer,80,FALSE,NA,0,1,NA
v5_589,COGNEX CORPORATION,name_v5,COGNEX CORPORATION,1,31-33,1,0,1,manual_review,employer,50,FALSE,NA,0,1,NA
v5_618,CONSTELLATION BIO,name_v5,CONSTELLATION BIO,1,79,1,0,1,manual_review,employer,50,FALSE,NA,0,1,NA
v5_659,CROSBY FAMILY INVESTMENTS,name_v5,CROSBY FAMILY INVESTMENTS,1,100,1,0,1,manual_review,employer,52,FALSE,NA,0,1,NA
dd_-1821,California Ambulatory Surgery Association,dd_org_concept,California Ambulatory Surgery Association,1,76,1,0,1,manual_review,direct_contributor,60,FALSE,NA,1,0,NA
dd_-2103,California Cattleman's Association,dd_org_concept,California Cattlemen's Association,1,76,1,0,1,manual_review,direct_contributor,11,FALSE,NA,1,0,NA
dd_-2599,California Mortgage Bankers Association,dd_org_concept,California Mortgage Bankers Association,1,76,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
dd_-2638,California New Car Dealers Association,dd_org_concept,California New Car Dealers Association,1,76,1,0,1,manual_review,direct_contributor,80,FALSE,NA,1,0,NA
dd_-3091,California Water Association,dd_org_concept,California Water Association,1,76,1,0,1,manual_review,direct_contributor,20,FALSE,NA,1,0,NA
dd_-3901,Coalition For Renewable Natural Gas,dd_org_concept,Coalition for Renewable Natural Gas,1,21,1,0,1,manual_review,direct_contributor,20,FALSE,NA,1,0,NA
v5_624,Contra Costa/Alameda County Cattlemen's Association,name_v5,Contra Costa/Alameda County Cattlemen's Association,1,76,1,0,1,manual_review,direct_contributor,11,FALSE,NA,1,0,NA
v5_775,DOUGLAS EMMETT,name_v5,DOUGLAS EMMETT,1,40,1,0,1,manual_review,employer,52,FALSE,NA,0,1,NA
dd_-4708,District Hospital Leadership Forum,dd_org_concept,DISTRICT HOSPITAL LEADERSHIP FORUM,1,76,1,0,1,manual_review,employer,60,FALSE,NA,0,1,NA
dd_-5075,Entertainment Software Association,dd_org_concept,Entertainment Software Association,1,76,1,0,1,manual_review,direct_contributor,79,FALSE,NA,1,0,NA
dd_-5180,Expedia,dd_org_concept,Expedia Inc,1,79,1,0,1,manual_review,direct_contributor,20,FALSE,NA,1,0,NA
v5_1195,Inovalon Inc.,name_v5,Inovalon Inc.,1,79,1,0,1,manual_review,direct_contributor,20,FALSE,NA,1,0,NA
v5_1240,J SLAMMED,name_v5,J SLAMMED,1,80,1,0,1,manual_review,employer,11,FALSE,NA,0,1,NA
v5_1379,LA CHAMBER OF COMMERCE,name_v5,LA CHAMBER OF COMMERCE,1,76,1,0,1,manual_review,employer,76a,FALSE,NA,0,1,NA
v5_1393,LAMSON INVESTMENT CORP,name_v5,LAMSON INVESTMENT CORP,1,80,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
v5_1428,LEGACY ASSET MANAGEMENT,name_v5,LEGACY ASSET MANAGEMENT,1,40,1,0,1,manual_review,employer,52,FALSE,NA,0,1,NA
v5_1440,LIFE WEST AMBULANCE,name_v5,LIFE WEST AMBULANCE,1,92,1,0,1,manual_review,employer,60,FALSE,NA,0,1,NA
v5_1472,LOS ANGELES AREA CHAMBER,name_v5,LOS ANGELES AREA CHAMBER,1,76,1,0,1,manual_review,employer,76a,FALSE,NA,0,1,NA
dd_-7307,Liberty Bldg. Co Investment Properties,dd_org_concept,LIBERTY BUILDING COMPANY INVESTMENT PROPERTIES,1,40,1,0,1,manual_review,employer,52,FALSE,NA,0,1,NA
v5_1522,"Marathon Petroleum Corporation and its Subsidiaries/MPC Investment Fund, Inc.",name_v5,"Marathon Petroleum Corporation and its Subsidiaries/MPC Investment Fund, Inc.",1,21,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
dd_-7836,"Medpoint Management, Inc.",dd_org_concept,MedPoint Management,1,60,1,0,1,manual_review,direct_contributor,50,FALSE,NA,1,0,NA
v5_1741,NORTH RICHMOND PROPERTIES,name_v5,NORTH RICHMOND PROPERTIES,1,60,1,0,1,manual_review,employer,40,FALSE,NA,0,1,NA
dd_-8378,"National Vision, Inc.",dd_org_concept,"National Vision, Inc.",1,80,1,0,1,manual_review,direct_contributor,60,FALSE,NA,1,0,NA
v5_1775,ODG MANAGEMENT INC OCEAN DENTAL GROUP,name_v5,ODG MANAGEMENT INC OCEAN DENTAL GROUP,1,52,1,0,1,manual_review,employer,60,FALSE,NA,0,1,NA
v5_1849,PALANTIR TECHNOLOGIES,name_v5,PALANTIR TECHNOLOGIES,1,79,1,0,1,manual_review,employer,92,FALSE,NA,0,1,NA
v5_1958,PRIMARY CARE ASSOCIATES OF CALIFORNIA,name_v5,PRIMARY CARE ASSOCIATES OF CALIFORNIA,1,40,1,0,1,manual_review,employer,60,FALSE,NA,0,1,NA
v5_1877,"Pavement Recycling Systems, Inc.",name_v5,"Pavement Recycling Systems, Inc.",1,40,1,0,1,manual_review,direct_contributor,20,FALSE,NA,1,0,NA
dd_-9169,Personal Insurance Federation,dd_org_concept,PERSONAL INSURANCE FEDERATION OF CALIFORNIA,1,76,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
v5_2042,REDWING FILMS,name_v5,REDWING FILMS,1,100,1,0,1,manual_review,employer,70,FALSE,NA,0,1,NA
v5_2075,"RIDE Mobility, LLC",name_v5,"RIDE Mobility, LLC",1,20,1,0,1,manual_review,direct_contributor,80,FALSE,NA,1,0,NA
v5_2120,S N MARKETING,name_v5,S N MARKETING,1,100,1,0,1,manual_review,employer,50,FALSE,NA,0,1,NA
v5_2262,SINIGIANI INVESTMENT CORPORATION,name_v5,SINIGIANI INVESTMENT CORPORATION,1,80,1,0,1,manual_review,direct_contributor,52,FALSE,NA,1,0,NA
