race_prop,candidate,code,code_label,total_amount,n_contributions,candidate_total,pct_of_total
Insurance Commissioner,"ALLEN, BEN",indiv_medium,Individual Donors (Mid-Level),343345.48,715,1306900.2599999984,26.271743185665937
Insurance Commissioner,"ALLEN, BEN",100,Major Donors/Megadonors,211242.17443056247,36,1306900.2599999984,16.16360336714316
Insurance Commissioner,"ALLEN, BEN",50,Professional/Legal,155969.8883221145,38,1306900.2599999984,11.934337538666853
Insurance Commissioner,"ALLEN, BEN",org_medium,Organizational Donors (Mid-Level),151650,91,1306900.2599999984,11.60379293214007
Insurance Commissioner,"ALLEN, BEN",52,Finance/Insurance,92337.351692768,29,1306900.2599999984,7.065370978866293
Insurance Commissioner,"ALLEN, BEN",77,Unions,67344.44656843613,21,1306900.2599999984,5.1529905249568335
Insurance Commissioner,"ALLEN, BEN",60,Healthcare/Education,59053.07828221012,17,1306900.2599999984,4.5185604509873
Insurance Commissioner,"ALLEN, BEN",20,Utilities/Infrastructure,52175.68376118493,26,1306900.2599999984,3.992323313271435
Insurance Commissioner,"ALLEN, BEN",40,Real Estate/Construction,51854.79670046976,17,1306900.2599999984,3.9677700194557937
Insurance Commissioner,"ALLEN, BEN",99,Uncategorized,27897.065445844033,13,1306900.2599999984,2.1345978954693963
Insurance Commissioner,"ALLEN, BEN",79,Technology,18409.257672030457,11,1306900.2599999984,1.4086199410527684
Insurance Commissioner,"ALLEN, BEN",92a,Tribes,18236.62963983765,8,1306900.2599999984,1.3954109734309543
Insurance Commissioner,"ALLEN, BEN",31-33,Manufacturing,17430.20552973258,10,1306900.2599999984,1.3337058736014484
Insurance Commissioner,"ALLEN, BEN",80,Other Industries,16794.5480052314,11,1306900.2599999984,1.285067309209306
Insurance Commissioner,"ALLEN, BEN",70,"Entertainment, Media and Gambling",11154.007226519312,4,1306900.2599999984,0.8534704267729908
Insurance Commissioner,"ALLEN, BEN",101,Unitemized Contributions,4412.95,4,1306900.2599999984,0.3376654007246127
Insurance Commissioner,"ALLEN, BEN",76,Associations,2738.5006597645365,12,1306900.2599999984,0.2095416722745575
Insurance Commissioner,"ALLEN, BEN",90,Candidates/Political Parties,2686.559861249702,2,1306900.2599999984,0.20556732166000985
Insurance Commissioner,"ALLEN, BEN",11,Agriculture/Livestock,2002.712113232024,3,1306900.2599999984,0.1532413891502345
Insurance Commissioner,"ALLEN, BEN",92,Government/Public Safety,89.9575560143692,5,1306900.2599999984,0.006883276311718639
Insurance Commissioner,"ALLEN, BEN",21,Oil and Gas,74.96653279785811,1,1306900.2599999984,0.005736209188439384
Governor,"BECERRA, XAVIER",indiv_medium,Individual Donors (Mid-Level),3835297.7699999595,34233,24932484.19999998,15.382734184185153
Governor,"BECERRA, XAVIER",50,Professional/Legal,2710230.6827756055,339,24932484.19999998,10.870279355378505
Governor,"BECERRA, XAVIER",60,Healthcare/Education,2669970.1417925986,240,24932484.19999998,10.70880109809756
Governor,"BECERRA, XAVIER",77,Unions,2342304.156087278,132,24932484.19999998,9.39458794919152
Governor,"BECERRA, XAVIER",79,Technology,2070122.4734853683,114,24932484.19999998,8.30291300650005
Governor,"BECERRA, XAVIER",100,Major Donors/Megadonors,2019503.7513080726,213,24932484.19999998,8.099889826895284
Governor,"BECERRA, XAVIER",101,Unitemized Contributions,1925512.9499999997,7,24932484.19999998,7.722908533919782
Governor,"BECERRA, XAVIER",52,Finance/Insurance,1468693.8443899476,121,24932484.19999998,5.890683947129299
Governor,"BECERRA, XAVIER",40,Real Estate/Construction,1330684.2291621808,110,24932484.19999998,5.337150596338017
Governor,"BECERRA, XAVIER",20,Utilities/Infrastructure,962410.2837351894,82,24932484.19999998,3.860065752032804
Governor,"BECERRA, XAVIER",92a,Tribes,715513.2365132109,48,24932484.19999998,2.869803228485397
Governor,"BECERRA, XAVIER",80,Other Industries,634905.758110494,78,24932484.19999998,2.546500192349443
Governor,"BECERRA, XAVIER",99,Uncategorized,433544.30065247254,63,24932484.19999998,1.7388732593781122
Governor,"BECERRA, XAVIER",70,"Entertainment, Media and Gambling",425237.94206549734,57,24932484.19999998,1.7055578523759682
Governor,"BECERRA, XAVIER",31-33,Manufacturing,386644.1567346845,47,24932484.19999998,1.5507646716354273
Governor,"BECERRA, XAVIER",11,Agriculture/Livestock,342022.3162039318,51,24932484.19999998,1.371793975523434
Governor,"BECERRA, XAVIER",92,Government/Public Safety,204747.7865789488,43,24932484.19999998,0.8212089294292985
Governor,"BECERRA, XAVIER",76,Associations,101665.19074773138,52,24932484.19999998,0.4077619780371963
Governor,"BECERRA, XAVIER",90,Candidates/Political Parties,98732.2534826831,29,24932484.19999998,0.3959984600438779
Governor,"BECERRA, XAVIER",org_medium,Organizational Donors (Mid-Level),98058.84,72,24932484.19999998,0.393297511846012
Governor,"BECERRA, XAVIER",88,PACs,59200,2,24932484.19999998,0.23744124141468442
Governor,"BECERRA, XAVIER",76a,76a,49200.776317049545,13,24932484.19999998,0.19733603728524407
Governor,"BECERRA, XAVIER",21,Oil and Gas,48281.35985704811,22,24932484.19999998,0.19364841252781442
Governor,"HILTON, STEVE",indiv_medium,Individual Donors (Mid-Level),7553294.389999736,70546,18607279.819997683,40.59322191673622
Governor,"HILTON, STEVE",101,Unitemized Contributions,3375442.1799999997,6,18607279.819997683,18.140438649029893
Governor,"HILTON, STEVE",100,Major Donors/Megadonors,2271283.6077356413,1746,18607279.819997683,12.206424741861726
Governor,"HILTON, STEVE",40,Real Estate/Construction,1350868.6541445893,160,18607279.819997683,7.2598932633494275
Governor,"HILTON, STEVE",31-33,Manufacturing,1004578.5545405434,219,18607279.819997683,5.398846925819319
Governor,"HILTON, STEVE",52,Finance/Insurance,722412.5255047512,85,18607279.819997683,3.882418776377821
Governor,"HILTON, STEVE",80,Other Industries,342188.86933199456,44,18607279.819997683,1.839005338997676
Governor,"HILTON, STEVE",50,Professional/Legal,334766.4485976918,38,18607279.819997683,1.7991154636042523
Governor,"HILTON, STEVE",11,Agriculture/Livestock,286614.2939186029,47,18607279.819997683,1.5403341954935927
Governor,"HILTON, STEVE",org_medium,Organizational Donors (Mid-Level),228804.26,384,18607279.819997683,1.229649159970705
Governor,"HILTON, STEVE",70,"Entertainment, Media and Gambling",201919.9872533832,21,18607279.819997683,1.0851666079443543
Governor,"HILTON, STEVE",79,Technology,191342.48350178002,13,18607279.819997683,1.0283205570764822
Governor,"HILTON, STEVE",102,Self-Funding,190199.95,4,18607279.819997683,1.0221803070623339
Governor,"HILTON, STEVE",60,Healthcare/Education,138558.3305567941,24,18607279.819997683,0.7446458154935801
Governor,"HILTON, STEVE",99,Uncategorized,136516.65974580523,14,18607279.819997683,0.7336733851827582
Governor,"HILTON, STEVE",20,Utilities/Infrastructure,129200,13,18607279.819997683,0.6943518947952065
Governor,"HILTON, STEVE",21,Oil and Gas,92800,14,18607279.819997683,0.49872953434206785
Governor,"HILTON, STEVE",92,Government/Public Safety,44335.33,5,18607279.819997683,0.23826873368321022
Governor,"HILTON, STEVE",76,Associations,7153.295168434213,1,18607279.819997683,0.038443529831514646
Governor,"HILTON, STEVE",90,Candidates/Political Parties,5000,1,18607279.819997683,0.026871203358947618
Insurance Commissioner,"KIM, JANE",77,Unions,250767.27472944654,23,991220.5499999998,25.298837350521698
Insurance Commissioner,"KIM, JANE",indiv_medium,Individual Donors (Mid-Level),247046.08000000002,804,991220.5499999998,24.923421936722363
Insurance Commissioner,"KIM, JANE",100,Major Donors/Megadonors,150487.75403891815,22,991220.5499999998,15.182065589632717
Insurance Commissioner,"KIM, JANE",50,Professional/Legal,80917.22447260987,16,991220.5499999998,8.1633925439308
Insurance Commissioner,"KIM, JANE",80,Other Industries,42120.00891316759,12,991220.5499999998,4.249307473817769
Insurance Commissioner,"KIM, JANE",101,Unitemized Contributions,38399.47,4,991220.5499999998,3.873958222516675
Insurance Commissioner,"KIM, JANE",40,Real Estate/Construction,28435.42848447942,4,991220.5499999998,2.8687287087096234
Insurance Commissioner,"KIM, JANE",79,Technology,24719.725978283797,7,991220.5499999998,2.4938673818136436
Insurance Commissioner,"KIM, JANE",90,Candidates/Political Parties,23377.15435947651,4,991220.5499999998,2.3584210758621293
