race_prop,candidate,code,code_label,total_amount,n_contributions,candidate_total,pct_of_total
Insurance Commissioner,"ALLEN, BEN",100,Major Donors/Megadonors,505157.53443056246,95,1306900.2599999984,38.65310535867237
Insurance Commissioner,"ALLEN, BEN",indiv_medium,Individual Donors (Mid-Level),343345.48,715,1306900.2599999984,26.271743185665937
Insurance Commissioner,"ALLEN, BEN",org_medium,Organizational Donors (Mid-Level),151650,91,1306900.2599999984,11.60379293214007
Insurance Commissioner,"ALLEN, BEN",77,Unions,67344.44656843613,21,1306900.2599999984,5.1529905249568335
Insurance Commissioner,"ALLEN, BEN",20,Utilities/Infrastructure,52175.68376118493,26,1306900.2599999984,3.992323313271435
Insurance Commissioner,"ALLEN, BEN",50,Professional/Legal,49669.88832211453,17,1306900.2599999984,3.800587530842988
Insurance Commissioner,"ALLEN, BEN",99,Uncategorized,27897.065445844033,13,1306900.2599999984,2.1345978954693963
Insurance Commissioner,"ALLEN, BEN",52,Finance/Insurance,24337.351692768014,13,1306900.2599999984,1.8622195157240267
Insurance Commissioner,"ALLEN, BEN",60,Healthcare/Education,19453.07828221011,11,1306900.2599999984,1.4884898930397439
Insurance Commissioner,"ALLEN, BEN",92a,Tribes,18236.62963983765,8,1306900.2599999984,1.3954109734309543
Insurance Commissioner,"ALLEN, BEN",70,"Entertainment, Media and Gambling",11154.007226519312,4,1306900.2599999984,0.8534704267729908
Insurance Commissioner,"ALLEN, BEN",31-33,Manufacturing,9914.845529732576,7,1306900.2599999984,0.7586535738949649
Insurance Commissioner,"ALLEN, BEN",79,Technology,8609.257672030457,10,1306900.2599999984,0.6587539948940302
Insurance Commissioner,"ALLEN, BEN",40,Real Estate/Construction,4954.79670046976,9,1306900.2599999984,0.3791258485532604
Insurance Commissioner,"ALLEN, BEN",101,Unitemized Contributions,4412.95,4,1306900.2599999984,0.3376654007246127
Insurance Commissioner,"ALLEN, BEN",76,Associations,2738.5006597645365,12,1306900.2599999984,0.2095416722745575
Insurance Commissioner,"ALLEN, BEN",90,Candidates/Political Parties,2686.559861249702,2,1306900.2599999984,0.20556732166000985
Insurance Commissioner,"ALLEN, BEN",11,Agriculture/Livestock,2002.712113232024,3,1306900.2599999984,0.1532413891502345
Insurance Commissioner,"ALLEN, BEN",80,Other Industries,994.5480052314001,7,1306900.2599999984,0.07609976336154385
Insurance Commissioner,"ALLEN, BEN",92,Government/Public Safety,89.9575560143692,5,1306900.2599999984,0.006883276311718639
