pac_id,pac_name,industry,amount,total_received,pct_of_total
1018355,CALIFORNIA LABOR FEDERATION AFL-CIO,77,2182326.9799999995,2187603.109999999,0.9975881685412308
1018355,CALIFORNIA LABOR FEDERATION AFL-CIO,76,5276.129999999999,2187603.109999999,0.002411831458769503
1018378,California New Car Dealers Association PAC,80,1369570.4100000001,1414472.49,0.968255246872988
1018378,California New Car Dealers Association PAC,76,35902.08,1414472.49,0.02538195705736207
1018378,California New Car Dealers Association PAC,100,9000,1414472.49,0.006362796069649965
1018435,California Association of Health Facilities PAC,60,525266.9900000001,554875.9899999999,0.9466385272860702
1018435,California Association of Health Facilities PAC,76,10731,554875.9899999999,0.019339456371143402
1018435,California Association of Health Facilities PAC,100,9799.97,554875.9899999999,0.017661549925777113
1018435,California Association of Health Facilities PAC,50,9078.03,554875.9899999999,0.016360466417009688
1018449,California Federation of Teachers COPE,77,1851659.6099999999,1882899.49,0.9834086311213562
1018449,California Federation of Teachers COPE,60,17020,1882899.49,0.009039250416919492
1018449,California Federation of Teachers COPE,76,14219.88,1882899.49,0.007552118461724156
1018473,California Teachers Association Association for Better Citizenship,77,2500000,2500000,1
1018496,NA,77,113050.1,113050.1,1
1018624,WESTERN MANUFACTURED HOUSING COMMUNITIES ASSOCIATION PAC,40,890371.84,895807.84,0.9939317342880143
1018624,WESTERN MANUFACTURED HOUSING COMMUNITIES ASSOCIATION PAC,60,5436,895807.84,0.006068265711985731
1018640,Teamsters California PAC,77,530603,530603,1
1018676,CALPAC - California Medical Association PAC,60,1248382.11,1267390.5000000002,0.985001946913757
1018676,CALPAC - California Medical Association PAC,52,9800,1267390.5000000002,0.007732423432241285
1018676,CALPAC - California Medical Association PAC,92,9208.39,1267390.5000000002,0.007265629654001665
1018725,California Dental Association PAC (CDA PAC),60,3835818.0800000275,3878501.4500001296,0.9889948809996962
1018725,California Dental Association PAC (CDA PAC),76,42683.37,3878501.4500001296,0.011005119000277433
1018748,California Chiropractic Association PAC,60,166188.14,166188.14000000004,0.9999999999999998
1018750,IBEW Local 1245 Political Action Committee,77,419100,419100,1
1018754,Operating Engineers Local Union No. 12 Political Fund,77,886467.64,886467.64,1
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,100,276090,443479.2,0.6225545640020997
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,50,100000,443479.2,0.22548971857079203
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,99,31379.8,443479.2,0.0707582227080774
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,80,31009.4,443479.2,0.0699230087904912
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,92,5000,443479.2,0.011274485928539602
1018771,California State Association of Electrical Workers Political Account,77,2011986.5,2011986.5,1
1018785,CALIFORNIA LAND TITLE ASSOCIATION POLITICAL ACTION COMMITTEE,52,57664.82,57664.82000000001,0.9999999999999999
1018801,California Pawnbrokers Association PAC,52,66707.5300000001,66707.5300000001,1
1018814,NA,80,25125,63037.25,0.39857385910711524
1018814,NA,99,22912.25,63037.25,0.3634715981423682
1018814,NA,76,10000,63037.25,0.1586363618336777
1018814,NA,31-33,5000,63037.25,0.07931818091683886
1018843,SAN FRANCISCO BAR PILOTS' POLITICAL ACTION COMMITTEE,20,140813.89,140813.89,1
1018846,State Building and Construction Trades Council of California PAC,77,1403143.7900000005,1442036.65,0.973029215311553
1018846,State Building and Construction Trades Council of California PAC,99,38892.86,1442036.65,0.026970784688447415
1018862,Los Angeles Police Protective League PAC - Small Contributor Committee,77,894659.5,894659.5,1
1018869,Painters and Allied Trades District Council No. 36 Political Action Committee,77,69153.47,69153.47,1
1018912,UAW Region 6 Western States PAC,77,604872,604872,1
1018915,"Service Employees International Union Local 721 CTW, CLC State & Local",77,564032.87,564032.87,1
1018937,California State Pipe Trades Council,77,1645347.6800000002,1645347.6800000002,1
1018954,Steamfitters & Refrigeration U.A. Local 250 PAC Small Contributor Committee,77,741729.13,741729.13,1
1018977,California Professional Firefighters PAC Small Contributor Committee,77,3844378.73,3844378.73,1
1018998,CLING PEACH GROWERS FOR EFFECTIVE GOVERNMENT (PEACH-PAC),11,5504.37,5504.37,1
1019100,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 1230 POLITICAL ACTIVITY COMMITTEE,77,93819.6,93819.6,1
1019127,NA,77,279864.89,279864.89,1
1019216,IBEW Local 18 Water & Power Defense League,77,574905.4,574905.4,1
1019401,California Apartment Association PAC,40,2672303.6499999994,2734188.649999997,0.9773662289176727
1019401,California Apartment Association PAC,52,37510,2734188.649999997,0.01371887781042469
1019401,California Apartment Association PAC,50,12607,2734188.649999997,0.0046108742350313
1019401,California Apartment Association PAC,20,11768,2734188.649999997,0.004304019036872241
1019646,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES (AFSCME) AFL-CIO",77,1431400,1438207.5,0.995266677443971
1019646,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES (AFSCME) AFL-CIO",99,6807.5,1438207.5,0.004733322556028946
1019718,ACT Political,99,12976.5,12976.5,1
1019780,California Optometric PAC,60,294255.8199999993,304935.8200000027,0.964976236638899
1019780,California Optometric PAC,76,10680,304935.8200000027,0.03502376336108991
1019841,NA,20,106595,106595,1
1020015,California Applicants' Attorneys Association PAC,50,125248.21999999997,146164.37,0.8568998039672732
1020015,California Applicants' Attorneys Association PAC,76,20916.150000000005,146164.37,0.14310019603272675
1020403,U.A. Local 38 COPE Fund,77,412140.01999999967,412140.0199999995,1.0000000000000004
1020788,SEIU United Healthcare Workers West PAC,77,3828163.13,3828163.13,1
1021268,California Credit Union League PAC,52,1522171.92,3065577.4299999992,0.49653677154062303
1021268,California Credit Union League PAC,76,1461405.51,3065577.4299999992,0.4767145972887726
1021268,California Credit Union League PAC,99,20200,3065577.4299999992,0.006589296946905042
1021268,California Credit Union League PAC,80,19500,3065577.4299999992,0.006360954973497442
1021268,California Credit Union League PAC,79,15300,3065577.4299999992,0.004990903133051838
1021268,California Credit Union League PAC,40,13500,3065577.4299999992,0.004403738058575152
1021268,California Credit Union League PAC,50,13500,3065577.4299999992,0.004403738058575152
1021273,Consumer Attorneys of California PAC,50,2293496.55,2305264.38,0.9948952362678679
1021273,Consumer Attorneys of California PAC,76,11767.830000000002,2305264.38,0.005104763732132105
1021352,CALIFORNIA MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE,31-33,104352.5,147252.49999999997,0.708663689920375
1021352,CALIFORNIA MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE,21,34800,147252.49999999997,0.23632875502962603
1021352,CALIFORNIA MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE,92,8100,147252.49999999997,0.055007555049999164
