record_name,org_concept_name,oid
CA ALLIANCE TAXPAYER ADVOCATES,	 California Alliance Of Taxpayer Advocates,-16227
CALIF. ALLIANCE OF TAXPAYER ADVOCATES PAC,	 California Alliance Of Taxpayer Advocates,-16227
CALIFORNIA ALLIANCE OF TAXPAYER ADVOCATE,	 California Alliance Of Taxpayer Advocates,-16227
California Alliance Of Taxpayer Advocates,	 California Alliance Of Taxpayer Advocates,-16227
California Community College Student Financial Aid Administrators,	 California Community Colleges Student Financial Aid Administrators Association,-16823
California Community College Student Financial Aid Administrators Association,	 California Community Colleges Student Financial Aid Administrators Association,-16823
California Community Colleges Student Financial Aid Administrators Association,	 California Community Colleges Student Financial Aid Administrators Association,-16823
CCC Student Financial Aid Administrators Association,	 California Community Colleges Student Financial Aid Administrators Association,-16823
California Manufacturing Association,	 California Manufacturing Technology Consultants,-16855
California Manufacturing Technology Consultants,	 California Manufacturing Technology Consultants,-16855
California Manufacturing Technology Consulting,	 California Manufacturing Technology Consultants,-16855
California Rangeland Trust,	 California Rangeland Trust,-15620
California State Treasurer Fiona Ma,	 California State Treasurer Fiona Ma,-16854
California State Treasurer Fiona Ma (co- source),	 California State Treasurer Fiona Ma,-16854
California State Treasurer Fiona Ma (Co-Sponsor),	 California State Treasurer Fiona Ma,-16854
Fiona Ma,	 California State Treasurer Fiona Ma,-16854
Fiona Ma - California State Treasurer,	 California State Treasurer Fiona Ma,-16854
"Fiona Ma, California State Treasurer",	 California State Treasurer Fiona Ma,-16854
"Fiona Ma, California State Treasurer (sponsor)",	 California State Treasurer Fiona Ma,-16854
Office of Fiona Ma,	 California State Treasurer Fiona Ma,-16854
State Treasurer Fiona Ma,	 California State Treasurer Fiona Ma,-16854
CalWave,	 CalWave,-16946
CALWAVE ENTERPRISES INC,	 CalWave,-16946
"CALWAVE ENTERPRISES, INC.",	 CalWave,-16946
CalWave Power Technologies,	 CalWave,-16946
Carbon Free Silicon Valley,	 Carbon Free Silicon Valley,-16565
Center For Public Interest LawChildrenS Advocacy InstituteUniversity Of San Diego,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Center For Public Interest LawChildrenS Advocacy InstituteUsd,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Centers For Public Interest LawConsumer Protection Policy Center ChildrenS Advocacy InstituteUsd,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Centers For Public Interest LawConsumer Protection Policy CenterChildrenS Advocacy InstituteUniversity Of San Diego,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Children's Advocacy Institute  - sponsor,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Children'S Advocacy Institute At The,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Children's Advocacy Institute at University of San Diego School of Law,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Children's Advocacy Institute Center for Public Interest Law,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Children's Advocacy Institute University of San Diego,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
"Children'S Advocacy Institute, Sponsor",	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Children’s Advocacy Institute at the University of San Diego,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Children’s Advocacy Institute at the University of San Diego School of Law,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
University of San Diego Children's Advocacy Institute,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
University of San Diego School of Law Children's Advocacy Institute,	 Children's Advocacy Institute at University of San Diego School of Law,-17051
"University Of San Diego, Children'S Advocacy Institute",	 Children's Advocacy Institute at University of San Diego School of Law,-17051
"USD, Children's Advocacy Institute",	 Children's Advocacy Institute at University of San Diego School of Law,-17051
Citizens in Support of El Dorado Hills,	 Citizens in Support of El Dorado Hills,-15946
Consolidated Mosquito Abatement District,	 Consolidated Mosquito Abatement District,-16673
Contra Costa County Flood Control and Water Conservation District,	 Contra Costa County Flood Control District,-15953
Contra Costa County Flood Control District,	 Contra Costa County Flood Control District,-15953
Del Amo Motorsports,	 Del Amo Motorsports Group,-16235
Del Amo Motorsports Group,	 Del Amo Motorsports Group,-16235
Del Amo Motorsports of South Bay,	 Del Amo Motorsports Group,-16235
Empowering Marginalized Asian Communities,	 Empowering Marginalized Asian Communities,-15836
California Electric Vehicle Charging Association,	 EV Charging Association,-15376
Electrical Vehicle Charging Association,	 EV Charging Association,-15376
EV Charging Association,	 EV Charging Association,-15376
First 5 San Bernadino,	 First 5 San Bernadino,-16320
First 5 San Bernardino,	 First 5 San Bernadino,-16320
First 5 San Bernardino County,	 First 5 San Bernadino,-16320
Good River Partners,	 Good River Partners,-16923
Irving Flood Control District Section I,	 Irving Flood Control District,-15956
Irving Flood Control District Section III,	 Irving Flood Control District,-15956
"Irving Flood Control District, Sec 3",	 Irving Flood Control District,-15956
JCRC Bay Area,	 Jewish Community Relations Council of Bay Area,-16126
Jewish Community Relations Council of Bay Area,	 Jewish Community Relations Council of Bay Area,-16126
Jewish Community Relations Council of the Bay Area,	 Jewish Community Relations Council of Bay Area,-16126
"Jewish Community Relations Council, Bay Area",	 Jewish Community Relations Council of Bay Area,-16126
Jewish Democratic Club of Marin,	 Jewish Democratic Club of Marin County,-15824
Jewish Democratic Club of Marin County,	 Jewish Democratic Club of Marin County,-15824
Jewish Federation of San Diego,	 Jewish Federation of San Diego,-16252
Keep Sespe Wild,	 Keep Sespe Wild,-16833
KEEP THE SESPE WILD,	 Keep Sespe Wild,-16833
Livermore Valley Joint Unified School District,	 Livermore Valley Joint Unified School District,-15997
Mendocino Cannabis Alliance,	 Mendocino Cannabis Alliance,-16480
Rental Housing Association Of Southern Alameda County,	 Rental Housing Association Of Southern Alameda County,-15822
RENTAL HOUSING ASSOCIATION OF SOUTHERN ALAMEDA COUNTY PAC,	 Rental Housing Association Of Southern Alameda County,-15822
restaurant opportunity center of la,	 Restaurant Opportunity Centers,-16544
Restaurant Opportunity Center of the Bay,	 Restaurant Opportunity Centers,-16544
Restaurant Opportunity Center United,	 Restaurant Opportunity Centers,-16544
Restaurant Opportunity Centers,	 Restaurant Opportunity Centers,-16544
The Restaurant Opportunity Center of The Bay,	 Restaurant Opportunity Centers,-16544
Silicon Valley Young Democrats,	 Silicon Valley Young Democrats,-16787
Sonoma Ecology Center,	 Sonoma Ecology Center,-15840
Sunny Hills High School,	 Sunny Hills High School,-16462
CEntral Texas Breastfeeding Coalition,	 Texas Breastfeeding Coalition,-15950
"Central Texas Breastfeeding Coalition, texas Breastfeeding Coalition",	 Texas Breastfeeding Coalition,-15950
Texas Breastfeeding Coalition,	 Texas Breastfeeding Coalition,-15950
"Texas Breastfeeding Coalition, and Central Texas Breastfeeding Coalition",	 Texas Breastfeeding Coalition,-15950
Chrysalis Center,	 The Chrysalis Center,-16888
"Chrysalis Center, the",	 The Chrysalis Center,-16888
The Chrysalis Center,	 The Chrysalis Center,-16888
United Way California Capital Region,	 United Way California Capital Region,-15420
United Way California Capital Regional,	 United Way California Capital Region,-15420
United Way California Capitol Region,	 United Way California Capital Region,-15420
United Way Capitol Region Assets & Opportunity,	 United Way California Capital Region,-15420
vietnamese american chamber of commerce,	 vietnamese american chamber of commerce,-16495
Western Placer Waste Management Authority,	 Western Placer Waste Management Authority,-15412
Western Plaster Waste Management Authority,	 Western Placer Waste Management Authority,-15412
Westside Family Resource and Empowerment Center,	 Westside Family Resource and Empowerment Center,-16698
Yolo County Flood Control and Water Conservation District,	 Yolo County Flood Control and Water Conservation District,-15955
Yolo County Health And Human Services Agency,	 Yolo County Health And Human Services Agency,-17068
puente de la costa sur,	puente de la costa sur,-17435
Alzheimer's Services of the East Bay, Alzheimer's Services of the East Bay,-15246
CONTRA COSTA COUNTY CLERK, Contra Costa County Clerk-Recorder,-15093
Contra Costa County Clerk-Recorder, Contra Costa County Clerk-Recorder,-15093
Contra Costa County Clerk-Recorder and Registrar of Voters, Contra Costa County Clerk-Recorder,-15093
Contra Costa County Clerk-Recorder-Elections Department, Contra Costa County Clerk-Recorder,-15093
Mission College Preparatory Catholic High School, Mission College Preparatory Catholic High School,-18059
Safe Ag Safe School, Safe Ag Safe Schools,-15469
Safe Ag Safe Schools, Safe Ag Safe Schools,-15469
Safe Ag Safe Schools - Monterey Bay, Safe Ag Safe Schools,-15469
"Safe Ag, Safe Schools", Safe Ag Safe Schools,-15469
Safe Agriculture Safe Schools, Safe Ag Safe Schools,-15469
"Salinas Safe Ag, Safe Schools", Safe Ag Safe Schools,-15469
Sonoma Safe Ag Safe Schools, Safe Ag Safe Schools,-15469
"Sonoma Safe Ag, Safe Schools", Safe Ag Safe Schools,-15469
Sonoma Safe Agriculture Safe Schools, Safe Ag Safe Schools,-15469
Sonoma Safe Egg Safe Schools, Safe Ag Safe Schools,-15469
Twenty-Nine Palms Band Of Mission Indians, Twenty-Nine Palms Band of Mission Indians of California,-15089
#Cut 50,#cut50,-26
#cut50,#cut50,-26
#halfthestory,#halfthestory,-17395
HalfTheStory,#halfthestory,-17395
#TeamJustice,#TeamJustice,-16556
Team Justice,#TeamJustice,-16556
Team Justice San Diego,#TeamJustice,-16556
'Olelo Community Media,'Olelo Community Media,-18503
Empower and Resilience Project,(Em)power + Resilience Project,-16511
Empowerment Resilience Project,(Em)power + Resilience Project,-16511
power + Resilience Project,(Em)power + Resilience Project,-16511
(THE) MCCLELLAN GROUP,(THE) MCCLELLAN GROUP,-18485
The McClellan Group,(THE) MCCLELLAN GROUP,-18485
The Mcclellan Group LLC,(THE) MCCLELLAN GROUP,-18485
1 Iron Consulting LLC,1 Iron Consulting LLC,-12955
1 NORTH KING ST LLC,1 NORTH KING ST LLC,-18505
1-800 CONTACTS,"1-800 Contacts, Inc.",-29
"1-800 Contacts, Inc","1-800 Contacts, Inc.",-29
"1-800 Contacts, Inc.","1-800 Contacts, Inc.",-29
100% Kamaaina,100% Kamaaina,-18487
1000 Friends of Florida,"1000 Friends of Florida, Inc.",-31
"1000 Friends of Florida, Inc.","1000 Friends of Florida, Inc.",-31
1000 Grandmothers for Future Generations,1000 Grandmothers for Future Generations,-15144
100th Infantry Battalion Veterans,100th Infantry Battalion Veterans,-18486
100th Infantry Battalion Veterans,100th Infantry Battalion Veterans,-18486
100th Infantry Battalion Veterans,100th Infantry Battalion Veterans,-18486
Kathleen Hayashi  100th Infantry Battalion Veterans,100th Infantry Battalion Veterans,-18486
110 S Adams LLC,110 S. Adams LLC,-32
110 S. Adams LLC,110 S. Adams LLC,-32
11:11 Media Impact,11:11 Media Impact,-17491
11:11 Media Impact (source),11:11 Media Impact,-17491
1202 Salon & Spa,1202 Salon and Spa,-33
1202 Salon and Spa,1202 Salon and Spa,-33
"1250 Oceanside, LLC","1250 Oceanside, LLC",-18508
130 Holdings,130 Holdings,-18509
130 NORTH MARKET LLC,130 NORTH MARKET LLC,-18510
1377 Kapiolani LLC,"1377 Kapiolani, LLC",-18511
"1377 Kapiolani, LLC","1377 Kapiolani, LLC",-18511
"1570 Alewa, Inc.","1570 Alewa, Inc.",-18512
19 Kamaka LLC,19 Kamaka LLC The Mauian Hotel,-18506
19 Kamaka LLC The Mauian Hotel,19 Kamaka LLC The Mauian Hotel,-18506
"1935 Hau St Unit 401,","1935 Hau St Unit 401,",-18513
194 Kilauea LLC,194 Kilauea LLC,-18507
1990 Casa De Lodi Investors,1990 Casa De Lodi Investors,-18514
1G Racing Inc,"1G Racing, Inc.",-34
"1G Racing, Inc.","1G Racing, Inc.",-34
2 % Group,2 % Group,-19338
2 Kings Gaming INC.,2 Kings Gaming,-15045
2-1-1 los angeles county,2-1-1 Los Angeles County,-39
2-1-1 Alameda County,"2-1-1, Alameda County",-38
"2-1-1, Alameda County","2-1-1, Alameda County",-38
20 WEST ENTERPRISES INC,20 WEST ENTERPRISES INC,-42
20 WEST ENTERPRISES LLC,20 WEST ENTERPRISES INC,-42
2007 California Groundwater Coalition,2007 California Groundwater Coalition,-40
California Ground Water Coalition,2007 California Groundwater Coalition,-40
California Groundwater Coalition,2007 California Groundwater Coalition,-40
2020 Vet Intelligent Logistics Solutions,2020 Vet Intelligent Logistics Solutions,-41
2020vet intelligent logistics solutions,2020 Vet Intelligent Logistics Solutions,-41
211 San Bernardino County,211 San Bernardino County,-43
211 San Diego,211 San Diego,-44
21St Century Alliance,21st Century Alliance,-15174
21ST CENTURY ALLIANCE GOOD GOVERMENT,21st Century Alliance,-15174
21ST CENTURY ALLIANCE GOOD GOVERNMENT,21st Century Alliance,-15174
21ST CENTURY ALLIANCE GOOD GOVERNMENT PAC,21st Century Alliance,-15174
21ST CENTURY ALLIANCE GOOD GOVRNMENT,21st Century Alliance,-15174
21ST CENTURY ALLIANCE GOOD GOVT PAC ALL PURPOSE,21st Century Alliance,-15174
Twenty First Century Alliance,21st Century Alliance,-15174
21st Century Fox,21st Century Fox,-15103
21ST CENTURY FOX / FOX GROUP,21st Century Fox,-15103
21ST CENTURY FOX AMERICA INC & AFFILIATED ENTITIES,21st Century Fox,-15103
"21st Century Fox America, INC",21st Century Fox,-15103
"21ST CENTURY FOX AMERICA, INC. AND AFFILIATED ENTITIES",21st Century Fox,-15103
Century Fox,21st Century Fox,-15103
21st Century Hawaii Pac,21st Century Hawaii Pac,-18515
21ST CENTURY INSURANCE,21St Century Insurance Group,-45
21St Century Insurance Group,21St Century Insurance Group,-45
2200 MAIN LLC,2200 MAIN LLC,-18516
22ND District Agricultural District,22ND District Agricultural District,-46
23 and Me,23ANDME,-47
23ANDME,23ANDME,-47
24 Hour Fitness,24 Hour Fitness,-48
299 CLEANING SERVICE CO,299 CLEANING SERVICE CO,-50
299 CLEANING SERVICES CO,299 CLEANING SERVICE CO,-50
"3 Leaf Holdings, Inc.","3 Leaf Holdings, Inc.",-18517
3 Strands,3 Strands Global,-59
3 Strands Global,3 Strands Global,-59
3 Strands Global Foundation,3 Strands Global,-59
