entity_name,canonical_name,to_add_status,entity_status,entity_id,Contributor.ID,city,state,review_group_id,confirmed_link,confirmed,is_conflict,notes,link_methods,n_contributions,total_amount,zip
"DREYER BABICH BUCCOLA WOOD & CAMPORA, LLP",DREYER BABICH BUCCOLA WOOD & CAMPORA,in existing map,adding_to_existing,323fdaee-f2c5-4592-88c9-29ed3ac37007,NA,Sacramento,CA,org_rg_103,yes,TRUE,FALSE,,exact_name_v1 | exact_name_v1 | map1_bridge,2,0,95826
"DREYER BABICH BUCCOLA WOOD CAMPORA, LLP (ROGER DREYER)",DREYER BABICH BUCCOLA WOOD & CAMPORA,add to map,adding_to_existing,323fdaee-f2c5-4592-88c9-29ed3ac37007,NA,Sacramento,CA,org_rg_103,yes,FALSE,FALSE,,map1_bridge,1,39200,95826-2802
CALIFORNIA CREDIT UNION LEAGUE PAC,CALIFORNIA CREDIT UNION LEAGUE,in existing map,adding_to_existing,fe54faa9-1d46-4c96-8fc1-bfd68a665271,760225,Ontario,CA,org_rg_11,yes,TRUE,FALSE,,same_contributor_id,4,10000,91761
"CALIFORNIA'S CREDIT UNIONS LEAGUE PAC, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE",CALIFORNIA CREDIT UNION LEAGUE,add to map,adding_to_existing,fe54faa9-1d46-4c96-8fc1-bfd68a665271,760225,Sacramento,CA,org_rg_11,yes,FALSE,FALSE,,same_contributor_id,1,2500,95814
"CALIFORNIA'S CREDIT UNIONS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE",CALIFORNIA CREDIT UNION LEAGUE,add to map,adding_to_existing,fe54faa9-1d46-4c96-8fc1-bfd68a665271,760225,Sacramento,CA,org_rg_11,yes,FALSE,FALSE,,same_contributor_id,1,1500,95814-3992
"FANDUEL GROUP, INC.",FANDUEL,add to map,adding_to_existing,26572759-8d64-47f0-8067-390dfc9be4ff,NA,New York,NY,org_rg_112,yes,FALSE,FALSE,,map1_bridge,1,1500,10010
FANDUEL INC.,FANDUEL,in existing map,adding_to_existing,26572759-8d64-47f0-8067-390dfc9be4ff,NA,New York,NY,org_rg_112,yes,TRUE,FALSE,,exact_name_v1 | exact_name_v1 | map1_bridge,2,5900,10010
"HIMS, INC",HIMS,add to map,new_entity,6069841d-2c6a-4089-b599-2175117f3ec1,NA,San Francisco,CA,org_rg_125,yes,FALSE,FALSE,,exact_name_v1,1,39200,94123-2600
"HIMS, INC.",HIMS,add to map,new_entity,6069841d-2c6a-4089-b599-2175117f3ec1,NA,San Francisco,CA,org_rg_125,yes,FALSE,FALSE,,exact_name_v1,1,1500,94123
SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO. 16 POLITICAL ACTION COMMITTEE,SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16,add to map,adding_to_existing,0100889d-c16d-4250-b060-778f1533631d,760715,Los Angeles,CA,org_rg_13,yes,FALSE,FALSE,"already in name map, but wasn't indicated",map1_bridge | same_contributor_id | same_contributor_id,3,48300,90020-1748
SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO.16,SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16,add to map,adding_to_existing,0100889d-c16d-4250-b060-778f1533631d,760715,Los Angeles,CA,org_rg_13,yes,FALSE,FALSE,"already in name map, but wasn't indicated",map1_bridge | same_contributor_id | same_contributor_id,2,18200,90020
IBEW LOCAL 18 WATER & POWER DEFENSE LEAGUE,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 18,in existing map,adding_to_existing,56eca98c-74f0-4335-acb0-3110d5d1df61,744817,Los Angeles,CA,org_rg_130_a,no,TRUE,FALSE,,map1_bridge,1,15000,90004
IBEW LOCAL 6 POLITICAL ACCOUNT,IBEW LOCAL 6 POLITICAL ACCOUNT,add to map,adding_to_existing,93326e1e-44b8-4d4f-bf46-57fe85ce7d1b,921730,San Francisco,CA,org_rg_130_b,no,FALSE,FALSE,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 6 - same entity? ,map1_bridge,1,10000,94117-3515
IBEW LOCAL 684 PAC,NA,,adding_to_existing,368979cb-5b9f-46cf-9310-7d57c9c8c71f,1309647,Long Beach,CA,org_rg_130_c,yes,FALSE,FALSE,,map1_bridge,1,1000,90802-5054
IBEW PAC EDUCATIONAL FUND (FEC ID #C00027342),INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,add to map,adding_to_existing,955473d1-c58c-48b9-adc7-58720b3cf513,NA,Washington,DC,org_rg_130,no,FALSE,FALSE,,map1_bridge,1,-9100,20001
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL NO. 11,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 11,add to map,adding_to_existing,abe62467-94cf-4b01-a3ce-779164eaf832,822725,Pasadena,CA,org_rg_130_e,no,FALSE,FALSE,,exact_name_v1 | exact_name_v1 | map1_bridge,2,15000,91101
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,in existing map,adding_to_existing,955473d1-c58c-48b9-adc7-58720b3cf513,NA,Washington,DC,org_rg_130,yes,TRUE,FALSE,,map1_bridge,1,34200,20001-3886
CA INDEPENDENT TELEPHONE PAC,CA INDEPENDENT TELEPHONE,update map error,merge_conflict,438e17f9-a9d9-44f2-a966-329551dfd467,771171,Sacramento,CA,org_rg_14,yes,TRUE,TRUE,,map1_bridge | same_contributor_id,1,3000,95814
CALIFORNIA INDEPENDENT TELEPHONE PAC,CA INDEPENDENT TELEPHONE,update map error,merge_conflict,438e17f9-a9d9-44f2-a966-329551dfd467,771171,Sacramento,CA,org_rg_14,yes,TRUE,TRUE,,map1_bridge | same_contributor_id,1,2000,95814
LABOR TIME INC,LABOR TIME,add to map,new_entity,e544e4f5-9bef-4ffe-9b8a-65d6d9919563,NA,Fresno,CA,org_rg_148,yes,FALSE,FALSE,,exact_name_v1,1,1000,93728
LABOR TIME INC.,LABOR TIME,add to map,new_entity,e544e4f5-9bef-4ffe-9b8a-65d6d9919563,NA,Fresno,CA,org_rg_148,yes,FALSE,FALSE,,exact_name_v1,1,2500,93728
CALIFORNIA NURSES ASSOCIATION CNA PAC,CALIFORNIA NURSES ASSOCIATION,add to map,adding_to_existing,60141326-867a-478e-b854-7961990e66ed,780657,Sacramento,CA,org_rg_15,yes,FALSE,FALSE,,same_contributor_id,1,25000,95814
CALIFORNIA NURSES ASSOCIATION PAC (CNA-PAC) SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA NURSES ASSOCIATION,in existing map,adding_to_existing,60141326-867a-478e-b854-7961990e66ed,780657,Sacramento,CA,org_rg_15,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,2500,95814
CALIFORNIA NURSES ASSOCIATION POLITICAL ACTION COMMITTEE,CALIFORNIA NURSES ASSOCIATION,in existing map,adding_to_existing,60141326-867a-478e-b854-7961990e66ed,780657,Sacramento,CA,org_rg_15,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,19600,95814
CALIFORNIA HOSPITAL ASSOCIATION PAC SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS),CALIFORNIA HOSPITAL ASSOCIATION,in existing map,adding_to_existing,0559bd46-49a9-49c5-b01e-86edc5259159,790773,Sacramento,CA,org_rg_16,yes,TRUE,FALSE,,same_contributor_id,1,1500,95814
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSN OF HOSPITALS & HEALTH SYSTEMS (CAHHS)",CALIFORNIA HOSPITAL ASSOCIATION,add to map,adding_to_existing,0559bd46-49a9-49c5-b01e-86edc5259159,790773,Sacramento,CA,org_rg_16,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,39200,95814-3946
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS)",CALIFORNIA HOSPITAL ASSOCIATION,in existing map,adding_to_existing,0559bd46-49a9-49c5-b01e-86edc5259159,790773,Sacramento,CA,org_rg_16,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,3000,95814
PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PAC (PECG PAC) SMALL CONTRIBUTOR COMMITTEE,PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT,add to map,adding_to_existing,02b7993e-710b-467c-bd5a-6d9070b2a3f8,822501,Sacramento,CA,org_rg_17,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,2000,95814
PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC,PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT,in existing map,adding_to_existing,02b7993e-710b-467c-bd5a-6d9070b2a3f8,822501,Sacramento,CA,org_rg_17,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,40200,95814 | 95814-4581
PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC SMALL CONTRIBUTOR COMMITTEE,PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT,in existing map,adding_to_existing,02b7993e-710b-467c-bd5a-6d9070b2a3f8,822501,Sacramento,CA,org_rg_17,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,1000,95814
PARAMOUNT GLOBAL,PARAMOUNT,add to map,new_entity,4c42c86b-8b9a-440a-9fb9-521f08427cf9,NA,Los Angeles,CA,org_rg_180,yes,FALSE,FALSE,,exact_name_v1 | exact_name_v1 | map1_bridge,2,1000,90038
PARAMOUNT PICTURES,PARAMOUNT,add to map,new_entity,4c42c86b-8b9a-440a-9fb9-521f08427cf9,NA,Los Angeles,CA,org_rg_180,yes,FALSE,FALSE,,map1_bridge,1,355.15,90038-3989
SEIU CALIFORNIA STATE COUNCIL,SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL,add to map,adding_to_existing,a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74,831628,Sacramento,CA,org_rg_19,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,39200,95814
SEIU CALIFORNIA STATE COUNCIL SMALL CONTRIBUTOR COMMITTEE,SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL,in existing map,adding_to_existing,a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74,831628,Sacramento,CA,org_rg_19,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,78400,95814-3816
ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS PAC,ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS,add to map,adding_to_existing,f6d8ad00-8aa4-47d4-a371-a5b23db82998,842151,Sacramento,CA,org_rg_20,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,39200,95814-4503
ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS POLITICAL ACTION COMMITTEE,ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS,in existing map,adding_to_existing,f6d8ad00-8aa4-47d4-a371-a5b23db82998,842151,Sacramento,CA,org_rg_20,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,39200,95814-2814
