entity_name,canonical_name,entity_id,Contributor.ID,review_group_id,to_add_status,confirmed_link,flag,entity_status,confirmed,conflicting_contributor_ids,is_conflict,n_contributions,link_methods,total_amount,max_single_recipient,city,state,zip,notes
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,eb7803f1-b59c-40b3-bf19-85951dbcb441,NA,org_rg_101_b,name is already canonical,yes,,adding_to_existing,TRUE,TRUE,FALSE,28,exact_name_v1 | exact_name_v1 | map1_bridge,42823.18,45000,Oakland,CA,94621,"non-PAC / contributor.id grouped with PACs, hopefully that's okay"
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,1463224,org_rg_101_b,add to map,uncertain,,adding_to_existing,FALSE,TRUE,FALSE,6,same_contributor_id,68600,45000,Sacramento,CA,95814,
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC SMALL CONTRIBUTOR COMMITTEE,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,1463224,org_rg_101_b,add to map,uncertain,,adding_to_existing,FALSE,TRUE,FALSE,3,map1_bridge | same_contributor_id | same_contributor_id,35400,45000,Sacramento,CA,95814,
CA REAL ESTATE PAC,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,3000,2023273.02,Los Angeles,CA,90071,
CALIFORNIA ASSOCIATION OF REALTORS,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,NA,org_rg_107,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,10,exact_name_v1 | exact_name_v1 | map1_bridge,0,2023273.02,SACRAMENTO,CA,95814,
NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS SMALL CONTRIBUTOR COMMITTEE,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,972104,org_rg_101_b,add to map,uncertain,,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,39200,39200,Sacramento,CA,95814-0834,
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,972104,org_rg_101_b,add to map,uncertain,potential contributor id error,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,5900,39200,Sacramento,CA,95814,
CALIFORNIA REAL ESTATE INDEPENDENT EXPENDITURE COMMITTEE - CALIFORNIA ASSOCIATION OF REALTORS,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,963026,org_rg_107,add to map,yes,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,4,exact_name_v1 | exact_name_v1 | map1_bridge,1550005,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE PAC,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,39200,2023273.02,Los Angeles,CA,90020-1403,
CALIFORNIA REAL ESTATE PAC (CREPAC),CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,2,same_contributor_id,10000,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE PAC (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,11800,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE PAC (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,3,same_contributor_id,16400,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE PAC (CREPAC) CALIFORNIA ASSOCIATION OF REALTORS SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,3,map1_bridge | same_contributor_id | same_contributor_id,8000,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE PAC (CREPAC) SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,5500,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE PAC SMALL CONTRIBUTOR COMMITTEE (CREPAC),CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,2,same_contributor_id,6500,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,19600,2023273.02,Los Angeles,CA,90071-3314,
CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC),CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,4,same_contributor_id,15500,2023273.02,Los Angeles,CA,90071,
CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC) - CALIFORNIA  ASSOCIATION OF REALTORS,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,1,same_contributor_id,3000,2023273.02,LOS ANGELES,CA,90071,
CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS,CALIFORNIA ASSOCIATION OF REALTORS,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,org_rg_107,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,TRUE,FALSE,10,map1_bridge | same_contributor_id | same_contributor_id,2093273.02,2023273.02,Los Angeles | SACRAMENTO,CA,90020-1403 | 90071 | 95814,
CA TEAMSTERS PUBLIC AFFAIRS COUNCIL,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,29f633c8-20b6-4547-b80f-1d596c11cd7b,742500,org_rg_11_a,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,2000,39200,Sacramento,CA,95814,
CALIFORNIA TEAMSTERS PAC,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,29f633c8-20b6-4547-b80f-1d596c11cd7b,742500,org_rg_11_a,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,12,same_contributor_id,2528.6,39200,Sacramento,CA,95814,
CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,29f633c8-20b6-4547-b80f-1d596c11cd7b,742500,org_rg_11_a,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,2500,39200,Sacramento,CA,95814,
CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL PUBLIC AFFAIRS FUND,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,29f633c8-20b6-4547-b80f-1d596c11cd7b,742500,org_rg_11_a,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,1500,39200,Sacramento,CA,95814,
TEAMSTERS CALIFORNIA PAC,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,29f633c8-20b6-4547-b80f-1d596c11cd7b,742500,org_rg_11_a,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,40700,39200,Sacramento | SACRAMENTO,CA,95814 | 95814-3810,
TEAMSTERS CALIFORNIA PAC SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL,29f633c8-20b6-4547-b80f-1d596c11cd7b,742500,org_rg_11_a,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,5900,39200,Sacramento,CA,95814,
TEAMSTERS LOCAL 166,NA,d68dda48-0be6-4e26-b4d1-f9745f8b7838,NA,org_rg_11_b,don't add,no,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,1000,39200,Bloomington,CA,92316,
"D.R.I.V.E - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)",INTERNATIONAL BROTHERHOOD OF TEAMSTERS,bdebac24-46cb-4f53-bd7b-3e97b1473034,880969,org_rg_11_c,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,2,same_contributor_id,2000,39200,Washington,DC,20001,
"D.R.I.V.E. - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)",INTERNATIONAL BROTHERHOOD OF TEAMSTERS,bdebac24-46cb-4f53-bd7b-3e97b1473034,880969,org_rg_11_c,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,2500,39200,Washington,DC,20001-2130,
"D.R.I.V.E. DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDU (THE PAC OF INT'L BROTHERHOOD OF TEAMSTERS)",INTERNATIONAL BROTHERHOOD OF TEAMSTERS,bdebac24-46cb-4f53-bd7b-3e97b1473034,880969,org_rg_11_c,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,5000,39200,WASHINGTON,DC,20001,
DRIVE COMMITTEE,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,bdebac24-46cb-4f53-bd7b-3e97b1473034,880969,org_rg_11_c,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,6,map1_bridge | same_contributor_id | same_contributor_id,6500,39200,Washington,DC,20001,
CA STATE COUNCIL OF LABORERS PAC,CA STATE COUNCIL OF LABORERS,86d27077-95e3-4c17-9e18-bab160dba1f9,902770,org_rg_116_a,in existing map,yes,more than one canonical name,merge_conflict,TRUE,TRUE,TRUE,3,map1_bridge | same_contributor_id | same_contributor_id,20900,196000,Sacramento,CA,95814,
CA STATE COUNCIL OF LABORERS PAC - SCC,CA STATE COUNCIL OF LABORERS,86d27077-95e3-4c17-9e18-bab160dba1f9,902770,org_rg_116_a,add to map,yes,more than one canonical name,merge_conflict,FALSE,TRUE,TRUE,1,map1_bridge | same_contributor_id,5900,196000,Sacramento,CA,95814,
CALIFORNIA STATE COUNCIL OF LABORERS PAC,CALIFORNIA STATE COUNCIL OF LABORERS,86d27077-95e3-4c17-9e18-bab160dba1f9,902770,org_rg_116_a,in existing map,yes,more than one canonical name,merge_conflict,TRUE,TRUE,TRUE,10,map1_bridge | same_contributor_id | same_contributor_id,113900,196000,Sacramento | SACRAMENTO,CA,95814 | 95814-4503 | 95814-4602,
CALIFORNIA STATE COUNCIL OF LABORERS PAC SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA STATE COUNCIL OF LABORERS,86d27077-95e3-4c17-9e18-bab160dba1f9,902770,org_rg_116_a,in existing map,yes,more than one canonical name,merge_conflict,TRUE,TRUE,TRUE,11,map1_bridge | same_contributor_id | same_contributor_id,54100,196000,Sacramento,CA,95814,
NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,fbe92020-c26f-45c7-a407-23115251c6bb,NA,org_rg_116_b,name is already canonical,yes,,merge_conflict,TRUE,TRUE,FALSE,16,exact_name_v1 | exact_name_v1 | map1_bridge,18982.12,196000,Pleasanton,CA,94588-3322,
NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC,NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,fbe92020-c26f-45c7-a407-23115251c6bb,1243030,org_rg_116_b,add to map,yes,,merge_conflict,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,44200,196000,Pleasanton | Sacramento,CA,94588 | 95814-4503,
SOUTHERN CA DISTRICT COUNCIL OF LABORERS PAC,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,1411eff6-0fa8-40b1-9efe-429c7edf667a,1358150,org_rg_116_c,add to map,yes,,merge_conflict,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,5900,196000,Long Beach,CA,90802,
SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,1411eff6-0fa8-40b1-9efe-429c7edf667a,NA,org_rg_116_c,in existing map,yes,,merge_conflict,TRUE,TRUE,FALSE,3,exact_name_v1 | exact_name_v1 | map1_bridge,2430,196000,El Monte,CA,91731,
SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,1411eff6-0fa8-40b1-9efe-429c7edf667a,1358150,org_rg_116_c,in existing map,yes,,merge_conflict,TRUE,TRUE,FALSE,5,map1_bridge | same_contributor_id | same_contributor_id,59400,196000,Long Beach | LONG BEACH,CA,90802 | 90802-5054,
