"raw_name","entity_uuid","reviewed_date","source"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL","9e62cbc2-f7d4-4056-b452-bbb52b5369ef","2026-08-28","manual_review"
"CA REAL ESTATE PAC","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA ASSOCIATION OF REALTORS","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE INDEPENDENT EXPENDITURE COMMITTEE - CALIFORNIA ASSOCIATION OF REALTORS","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE PAC","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE PAC (CREPAC)","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE PAC (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE PAC (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS SMALL CONTRIBUTOR COMMITTEE","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE PAC (CREPAC) CALIFORNIA ASSOCIATION OF REALTORS SMALL CONTRIBUTOR COMMITTEE","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE PAC (CREPAC) SMALL CONTRIBUTOR COMMITTEE","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE PAC SMALL CONTRIBUTOR COMMITTEE (CREPAC)","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC)","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC) - CALIFORNIA  ASSOCIATION OF REALTORS","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","2026-08-28","manual_review"
"CA TEAMSTERS PUBLIC AFFAIRS COUNCIL","29f633c8-20b6-4547-b80f-1d596c11cd7b","2026-08-28","manual_review"
"CALIFORNIA TEAMSTERS PAC","29f633c8-20b6-4547-b80f-1d596c11cd7b","2026-08-28","manual_review"
"CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL","29f633c8-20b6-4547-b80f-1d596c11cd7b","2026-08-28","manual_review"
"CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL PUBLIC AFFAIRS FUND","29f633c8-20b6-4547-b80f-1d596c11cd7b","2026-08-28","manual_review"
"TEAMSTERS CALIFORNIA PAC","29f633c8-20b6-4547-b80f-1d596c11cd7b","2026-08-28","manual_review"
"TEAMSTERS CALIFORNIA PAC SMALL CONTRIBUTOR COMMITTEE","29f633c8-20b6-4547-b80f-1d596c11cd7b","2026-08-28","manual_review"
"TEAMSTERS LOCAL 166","a8550b23-f84b-4bce-a71e-3cf82b81d5dd","2026-08-28","manual_review"
"D.R.I.V.E - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)","bdebac24-46cb-4f53-bd7b-3e97b1473034","2026-08-28","manual_review"
"D.R.I.V.E. - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)","bdebac24-46cb-4f53-bd7b-3e97b1473034","2026-08-28","manual_review"
"D.R.I.V.E. DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDU (THE PAC OF INT'L BROTHERHOOD OF TEAMSTERS)","bdebac24-46cb-4f53-bd7b-3e97b1473034","2026-08-28","manual_review"
"DRIVE COMMITTEE","bdebac24-46cb-4f53-bd7b-3e97b1473034","2026-08-28","manual_review"
"NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","fbe92020-c26f-45c7-a407-23115251c6bb","2026-08-28","manual_review"
"NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC","fbe92020-c26f-45c7-a407-23115251c6bb","2026-08-28","manual_review"
"SOUTHERN CA DISTRICT COUNCIL OF LABORERS PAC","1411eff6-0fa8-40b1-9efe-429c7edf667a","2026-08-28","manual_review"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","1411eff6-0fa8-40b1-9efe-429c7edf667a","2026-08-28","manual_review"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC","1411eff6-0fa8-40b1-9efe-429c7edf667a","2026-08-28","manual_review"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC SMALL CONTRIBUTOR COMMITTEE","1411eff6-0fa8-40b1-9efe-429c7edf667a","2026-08-28","manual_review"
"LOCAL 770 UNITED FOOD AND COMMERCIAL WORKERS PAC","d3883c6e-1639-447d-83e7-f9c3af84e128","2026-08-28","manual_review"
"UFCW 8 GOLDEN STATE (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)","571ed5bc-3850-4a67-a267-d03519a6729d","2026-08-28","manual_review"
"UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE","571ed5bc-3850-4a67-a267-d03519a6729d","2026-08-28","manual_review"
"UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE PAC","571ed5bc-3850-4a67-a267-d03519a6729d","2026-08-28","manual_review"
"UNITED FOOD AND COMMERCIAL WORKERS ACTIVE BALLOT CLUB (CALIFORNIA) (FED PAC ID# C00002766)","c2587d8d-e9de-4167-8d7d-951a325525f8","2026-08-28","manual_review"
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION","c2587d8d-e9de-4167-8d7d-951a325525f8","2026-08-28","manual_review"
"UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE","760be8fd-377b-40de-b79f-aebf55ca929f","2026-08-28","manual_review"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC","760be8fd-377b-40de-b79f-aebf55ca929f","2026-08-28","manual_review"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE","760be8fd-377b-40de-b79f-aebf55ca929f","2026-08-28","manual_review"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC","760be8fd-377b-40de-b79f-aebf55ca929f","2026-08-28","manual_review"
"FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE","2b6a60ae-177d-4603-9f64-1cd14b01ba6d","2026-08-28","manual_review"
"FOREMEN'S UNION LOCAL 94 POLITICAL ACTION FUND","2b6a60ae-177d-4603-9f64-1cd14b01ba6d","2026-08-28","manual_review"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC","2b6a60ae-177d-4603-9f64-1cd14b01ba6d","2026-08-28","manual_review"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC (ILWU)","2b6a60ae-177d-4603-9f64-1cd14b01ba6d","2026-08-28","manual_review"
"I.L.W.U. LOCAL 13 POLITICAL ACTION COMMITTEE FUND","5c2e5ffa-51f7-4403-add6-53731c400a64","2026-08-28","manual_review"
"ILWU LOCAL 13","5c2e5ffa-51f7-4403-add6-53731c400a64","2026-08-28","manual_review"
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","5c2e5ffa-51f7-4403-add6-53731c400a64","2026-08-28","manual_review"
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13 PAC","5c2e5ffa-51f7-4403-add6-53731c400a64","2026-08-28","manual_review"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (I.L.W.U.) LOCAL 13 PAC","5c2e5ffa-51f7-4403-add6-53731c400a64","2026-08-28","manual_review"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL 13 PAC SMALL CONTRIBUTOR COMMITTEE","5c2e5ffa-51f7-4403-add6-53731c400a64","2026-08-28","manual_review"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC","5c2e5ffa-51f7-4403-add6-53731c400a64","2026-08-28","manual_review"
