"entity_name","review_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","city","state","zip"
"BUILDING A STRONGER CALIFORNIA SPONSORED BY SOUTHWEST REGIONAL COUNCIL OF CARPENTERS SMALL CONTRIBUTOR COMMITTEE","org_rg_101","0428d03d-492c-4428-8c34-8a72f7a25e58","BUILDING A STRONGER CALIFORNIA","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","870169",2,35000,45000,"Los Angeles","CA","90071"
"BUILDING A STRONGER CALIFORNIA SPONSORED BY WESTERN STATES REGIONAL COUNCIL OF CARPENTERS","org_rg_101","0428d03d-492c-4428-8c34-8a72f7a25e58",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","870169",2,8500,45000,"Los Angeles","CA","90071"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL","org_rg_101","9e62cbc2-f7d4-4056-b452-bbb52b5369ef","NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,28,42823.18,45000,"Oakland","CA","94621"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC","org_rg_101","eb7803f1-b59c-40b3-bf19-85951dbcb441",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","1463224",6,68600,45000,"Sacramento","CA","95814"
"NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_101","eb7803f1-b59c-40b3-bf19-85951dbcb441",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1463224",3,35400,45000,"Sacramento","CA","95814"
"CA REAL ESTATE PAC","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","890106",1,3000,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA ASSOCIATION OF REALTORS","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,10,0,2023273.02,"SACRAMENTO","CA","95814"
"CALIFORNIA REAL ESTATE INDEPENDENT EXPENDITURE COMMITTEE - CALIFORNIA ASSOCIATION OF REALTORS","org_rg_107","79842f1e-1728-41ac-9ced-596782c200c0",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","963026",4,1550005,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE PAC","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","890106",1,39200,2023273.02,"Los Angeles","CA","90020-1403"
"CALIFORNIA REAL ESTATE PAC (CREPAC)","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","890106",2,10000,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE PAC (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","890106",1,11800,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE PAC (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS SMALL CONTRIBUTOR COMMITTEE","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","890106",3,16400,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE PAC (CREPAC) CALIFORNIA ASSOCIATION OF REALTORS SMALL CONTRIBUTOR COMMITTEE","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","890106",3,8000,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE PAC (CREPAC) SMALL CONTRIBUTOR COMMITTEE","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","890106",1,5500,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE PAC SMALL CONTRIBUTOR COMMITTEE (CREPAC)","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","890106",2,6500,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","890106",1,19600,2023273.02,"Los Angeles","CA","90071-3314"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC)","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","890106",4,15500,2023273.02,"Los Angeles","CA","90071"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC) - CALIFORNIA  ASSOCIATION OF REALTORS","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","890106",1,3000,2023273.02,"LOS ANGELES","CA","90071"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE (CREPAC) - CALIFORNIA ASSOCIATION OF REALTORS","org_rg_107","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","890106",10,2093273.02,2023273.02,"Los Angeles | SACRAMENTO","CA","90020-1403 | 90071 | 95814"
"CA TEAMSTERS PUBLIC AFFAIRS COUNCIL","org_rg_11","29f633c8-20b6-4547-b80f-1d596c11cd7b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","742500",1,2000,39200,"Sacramento","CA","95814"
"CALIFORNIA TEAMSTERS PAC","org_rg_11","29f633c8-20b6-4547-b80f-1d596c11cd7b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","742500",12,2528.6,39200,"Sacramento","CA","95814"
"CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL","org_rg_11","29f633c8-20b6-4547-b80f-1d596c11cd7b","CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","742500",1,2500,39200,"Sacramento","CA","95814"
"CALIFORNIA TEAMSTERS PUBLIC AFFAIRS COUNCIL PUBLIC AFFAIRS FUND","org_rg_11","29f633c8-20b6-4547-b80f-1d596c11cd7b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","742500",1,1500,39200,"Sacramento","CA","95814"
"D.R.I.V.E - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)","org_rg_11","bdebac24-46cb-4f53-bd7b-3e97b1473034","INTERNATIONAL BROTHERHOOD OF TEAMSTERS","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","880969",2,2000,39200,"Washington","DC","20001"
"D.R.I.V.E. - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)","org_rg_11","bdebac24-46cb-4f53-bd7b-3e97b1473034","INTERNATIONAL BROTHERHOOD OF TEAMSTERS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","880969",2,2500,39200,"Washington","DC","20001-2130"
"D.R.I.V.E. DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDU (THE PAC OF INT'L BROTHERHOOD OF TEAMSTERS)","org_rg_11","bdebac24-46cb-4f53-bd7b-3e97b1473034",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","880969",2,5000,39200,"WASHINGTON","DC","20001"
"DRIVE COMMITTEE","org_rg_11","bdebac24-46cb-4f53-bd7b-3e97b1473034","INTERNATIONAL BROTHERHOOD OF TEAMSTERS","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","880969",6,6500,39200,"Washington","DC","20001"
"TEAMSTERS CALIFORNIA PAC","org_rg_11","29f633c8-20b6-4547-b80f-1d596c11cd7b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","742500",2,40700,39200,"Sacramento | SACRAMENTO","CA","95814 | 95814-3810"
"TEAMSTERS CALIFORNIA PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_11","29f633c8-20b6-4547-b80f-1d596c11cd7b",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","742500",1,5900,39200,"Sacramento","CA","95814"
"TEAMSTERS LOCAL 166","org_rg_11","d68dda48-0be6-4e26-b4d1-f9745f8b7838",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge",NA,1,1000,39200,"Bloomington","CA","92316"
"CA STATE COUNCIL OF LABORERS PAC","org_rg_116","86d27077-95e3-4c17-9e18-bab160dba1f9","CA STATE COUNCIL OF LABORERS","merge_conflict",TRUE,TRUE,TRUE,"map1_bridge | same_contributor_id | same_contributor_id","902770",3,20900,196000,"Sacramento","CA","95814"
"CA STATE COUNCIL OF LABORERS PAC - SCC","org_rg_116","86d27077-95e3-4c17-9e18-bab160dba1f9",NA,"merge_conflict",TRUE,FALSE,TRUE,"map1_bridge | same_contributor_id","902770",1,5900,196000,"Sacramento","CA","95814"
"CALIFORNIA STATE COUNCIL OF LABORERS PAC","org_rg_116","86d27077-95e3-4c17-9e18-bab160dba1f9","CALIFORNIA STATE COUNCIL OF LABORERS","merge_conflict",TRUE,TRUE,TRUE,"map1_bridge | same_contributor_id | same_contributor_id","902770",10,113900,196000,"Sacramento | SACRAMENTO","CA","95814 | 95814-4503 | 95814-4602"
"CALIFORNIA STATE COUNCIL OF LABORERS PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_116","86d27077-95e3-4c17-9e18-bab160dba1f9","CALIFORNIA STATE COUNCIL OF LABORERS","merge_conflict",TRUE,TRUE,TRUE,"map1_bridge | same_contributor_id | same_contributor_id","902770",11,54100,196000,"Sacramento","CA","95814"
