pac_id,depth,path,status,total_received,total_donated_all,data_sufficiency,unitemized_amount,small_dollar_amount,under_5k_amount,over_5k_amount,is_federal_pac,is_major_donor_ie,low_data_sufficiency,unknown_data_sufficiency,data_ok,pct_unitemized,pct_small_dollar,pct_over_5k
1018771,0,1018771,resolved,2011986.5,2495500,0.8062458425165298,2011986.5,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1058056,0,1058056,resolved,335550.0899999999,462800,0.7250434096802072,74375.63,21079.169999999995,240095.2899999999,0,FALSE,FALSE,TRUE,FALSE,FALSE,0.22165283877587405,0.06281974175599238,0
1256259,0,1256259,resolved,19904.67,266000,0.0748295864661654,0,0,0,19904.67,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1
1031555,0,1031555,resolved,269685.54000000056,210800,1.279343168880458,8173.82,5546,221850.3400000006,34115.380000000005,FALSE,FALSE,FALSE,FALSE,TRUE,0.030308706948099562,0.020564691751734216,0.12650059028007188
1040629,0,1040629,resolved,170138.37999999998,96500,1.7630920207253884,170138.37999999998,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1021564,0,1021564,resolved,528323.1,788250,0.6702481446241674,478811.54,0,0,49511.560000000005,FALSE,FALSE,TRUE,FALSE,FALSE,0.906285452973758,0,0.0937145470262421
1018378,0,1018378,resolved,1414472.49,988359.92,1.43113096896928,800,0,679956.61,733715.88,FALSE,FALSE,FALSE,FALSE,TRUE,5.655818728577747e-4,0,0.5187205019448629
1452790,0,1452790,unresolved,NA,313600,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
1254059,0,1254059,resolved,67089.64,131000,0.5121346564885496,50,500,42375,24164.64,FALSE,FALSE,TRUE,FALSE,FALSE,7.45271550123089e-4,0.0074527155012308905,0.36018437421932803
1342002,0,1342002,resolved,18620,42000,0.44333333333333336,0,200,8620,9800,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.010741138560687433,0.5263157894736842
1018725,0,1018725,resolved,3878501.4500001296,3472429.27,1.116941814627697,1262299.0000000002,464934.94000002334,2108584.1400000043,42683.37,FALSE,FALSE,FALSE,FALSE,TRUE,0.32546049454228204,0.11987489137074006,0.011005119000277433
1023815,0,1023815,resolved,6883360.399999999,3426680,2.0087549464788075,3414628.9499999997,0,0,3468731.4499999997,FALSE,FALSE,FALSE,FALSE,TRUE,0.4960700517729683,0,0.5039299482270316
1048313,0,1048313,resolved,172133.63,165302.03999999998,1.0413279231157706,0,0,0,172133.63,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
1379198,0,1379198,resolved,280000,248000,1.1290322580645162,0,0,0,280000,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
1035434,0,1035434,resolved,2913863,2571700,1.1330493447913832,0,0,0,2913863,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
1047567,0,1047567,resolved,226174.44999999984,193400,1.169464581178903,180,2400,118749.45000000006,104845,FALSE,FALSE,FALSE,FALSE,TRUE,7.958458614578266e-4,0.010611278152771022,0.46355810746969905
1445789,0,1445789,resolved,455000,151800,2.997364953886693,0,0,0,455000,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
1053896,0,1053896,resolved,570200.43,529900,1.076052896772976,570200.43,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1343340,0,1343340,resolved,67428.31,36137.88,1.865862358278903,2246,910,64272.31,0,FALSE,FALSE,FALSE,FALSE,TRUE,0.03330945117859249,0.013495815036740503,0
1018977,0,1018977,resolved,3844378.73,2874626.0100000002,1.3373491774674369,3844378.73,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1069562,0,1069562,resolved,480173.72,306800,1.5651033898305085,480173.72,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1018937,0,1018937,resolved,1645347.6800000002,1651620,0.9962023225681453,0,0,4100,1641247.6800000002,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.9975081254558915
1018954,0,1018954,resolved,741729.13,573500,1.2933376285963383,741729.13,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1344506,0,1344506,resolved,1746040.04,1637000,1.066609676237019,0,0,2040.04,1744000,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.9988316190045676
1019216,0,1019216,resolved,574905.4,60500,9.502568595041323,558495,0,0,16410.4,FALSE,FALSE,FALSE,FALSE,TRUE,0.9714554777185951,0,0.028544522281404906
1020015,0,1020015,resolved,146164.37,84700,1.7256714285714285,394.37,0,112601.59999999998,33168.40000000001,FALSE,FALSE,FALSE,FALSE,TRUE,0.002698126773303234,0,0.22692534439138629
1034810,0,1034810,resolved,1626399,379650,4.2839431054919,1626399,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1282378,0,1282378,resolved,499800,396347.62,1.2610142581403667,0,0,0,499800,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
1043345,0,1043345,resolved,6399550.32,1069000,5.986482993451824,6328690.5,0,0,70859.82,FALSE,FALSE,FALSE,FALSE,TRUE,0.9889273751346953,0,0.011072624865304598
1039598,0,1039598,resolved,60982,119200,0.5115939597315436,8327,850,36205,15600,FALSE,FALSE,TRUE,FALSE,FALSE,0.13654848971827752,0.013938539241087533,0.2558131907776065
1018862,0,1018862,resolved,894659.5,298500,2.997184254606365,894659.5,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1031089,0,1031089,resolved,3109361.52,1597700,1.9461485385241284,3109361.52,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1435181,0,1435181,unresolved,NA,73955,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
1018801,0,1018801,resolved,66707.5300000001,119000,0.5605674789915975,116.12,0,66591.4100000001,0,FALSE,FALSE,TRUE,FALSE,FALSE,0.0017407330176968001,0,0
1022714,0,1022714,resolved,76925,93500,0.8227272727272728,0,0,22925,54000,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.7019824504387391
1479934,0,1479934,resolved,184296.24,35000,5.265606857142857,184296.24,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0
1038947,0,1038947,resolved,2267007.0200000005,2250553.32,1.0073109576448518,2206548.6500000004,0,0,60458.37,FALSE,FALSE,FALSE,FALSE,TRUE,0.9733311941839509,0,0.026668805816049034
1403112,0,1403112,resolved,358675.80000000005,19500,18.39363076923077,358675.80000000005,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0
1021268,0,1021268,resolved,3065577.4299999992,891200,3.439831048025134,10880.87,7150,125874.05,2921672.51,FALSE,FALSE,FALSE,FALSE,TRUE,0.0035493704688450826,0.0023323501569490618,0.9530578094059103
1018912,0,1018912,resolved,604872,686118.02,0.8815859405645693,250,82,24609,579931,FALSE,FALSE,FALSE,FALSE,TRUE,4.133105847187504e-4,1.3556587178775012e-4,0.9587664828261185
1295768,0,1295768,resolved,2337110.16,1382500,1.6904955949367089,2302483.29,0,0,34626.87,FALSE,FALSE,FALSE,FALSE,TRUE,0.9851838947976675,0,0.01481610520233244
1377585,0,1377585,resolved,1814078.03,884200,2.051660291789188,0,0,19500,1794578.03,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.9892507380181436
1047153,0,1047153,resolved,239277.36000000002,39630,6.0377834973504925,239277.36000000002,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1039318,0,1039318,resolved,1025779.8799999998,524200,1.956848302174742,330046.62,3551.5399999999995,38507.96,653673.7599999998,FALSE,FALSE,FALSE,FALSE,TRUE,0.32175189476323135,0.0034622827657723215,0.637245643773009
1358788,0,1358788,resolved,261450,154300,1.6944264419961115,0,0,6500,254950,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.975138649837445
1064861,0,1064861,resolved,788800,358268.11,2.201703076503237,0,0,26500,762300,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.9664046653144016
1385674,0,1385674,resolved,10000,5000,2,0,0,0,10000,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
1356185,0,1356185,resolved,489103.20000000397,399950,1.2229108638579922,276607,136353.69999999925,4812.1,71330.40000000001,FALSE,FALSE,FALSE,FALSE,TRUE,0.5655391336634022,0.27878308708672966,0.1458391603244457
1018449,0,1018449,resolved,1882899.4900000002,1228400,1.5328064881146208,2155.58,241.5,107562.29999999997,1772940.1099999999,FALSE,FALSE,FALSE,FALSE,TRUE,0.001144819472015471,1.2825963429412792e-4,0.9416010357515152
1437185,0,1437185,resolved,128004.67000000001,97080.19,1.3185457300814925,2473,153.88,64072.39,61305.4,FALSE,FALSE,FALSE,FALSE,TRUE,0.019319607636190145,0.0012021436405406144,0.47893096400311014
1038907,0,1038907,resolved,1598907.4800000582,1952800,0.8187768742319019,1174886.6900000002,145606.85999999693,278413.9300000004,0,FALSE,FALSE,FALSE,FALSE,TRUE,0.7348059251057838,0.09106646996234681,0
1418060,0,1418060,resolved,47347.33,37500,1.2625954666666668,0,50,27297.33,20000,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.0010560257568906209,0.42241030275624836
1456636,0,1456636,unresolved,NA,109025,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
1416440,0,1416440,unresolved,NA,91500,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
1264590,0,1264590,resolved,11390941,11296700,1.0083423477652766,0,0,15000,11375941,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.998683164103826
1363067,0,1363067,resolved,195810.06999999983,267100,0.7330964807188313,65248.69,9595.099999999995,120966.27999999996,0,FALSE,FALSE,TRUE,FALSE,FALSE,0.3332243842208935,0.04900207634878024,0
1069124,0,1069124,resolved,462569.6799999999,242100,1.9106554316398177,7868.91,183.67,454517.0999999999,0,FALSE,FALSE,FALSE,FALSE,TRUE,0.01701129654671703,3.9706450280096187e-4,0
1018846,0,1018846,resolved,1442036.6500000001,1776800,0.8115919912201712,772.1800000000001,0,68100.86,1373163.61,FALSE,FALSE,FALSE,FALSE,TRUE,5.354787619302186e-4,0,0.9522390502349576
1358723,0,1358723,unresolved,NA,2572900,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
1432932,0,1432932,resolved,2152528,1175337.8699999999,1.8314121028024055,0,0,10500,2142028,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.9951220146729799
1442900,0,1442900,resolved,179663.37,72100,2.4918636615811374,0,0,14450,165213.37,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.9195718080986681
1052411,0,1052411,resolved,1786987.62,1520100,1.1755724097098876,1786987.62,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1247549,0,1247549,resolved,574842.75,409742.12,1.402937901526941,555860.63,0,0,18982.12,FALSE,FALSE,FALSE,FALSE,TRUE,0.966978586752638,0,0.03302141324736199
1422595,0,1422595,resolved,444020,138350,3.209396458258041,0,0,0,444020,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
1018766,0,1018766,resolved,443479.2,408100,1.0866924773339868,2442.3,287.5,23650,417099.4,FALSE,FALSE,FALSE,FALSE,TRUE,0.005507135396654455,6.482829408910271e-4,0.9405162632204622
1077374,0,1077374,resolved,17726290.03,24318079.980000004,0.7289346052228913,17185812.93,0,0,540477.1,FALSE,FALSE,TRUE,FALSE,FALSE,0.9695098580083426,0,0.030490141991657345
1373047,0,1373047,resolved,22421094.51,22568703.01,0.9934595931394642,22421094.51,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
1358150,0,1358150,resolved,2514947.35,868383.04,2.8961267483989555,2514947.35,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0
