"pac_id","depth","path","status","total_received","total_donated_all","data_sufficiency","unitemized_amount","small_dollar_amount","under_5k_amount","over_5k_amount","is_federal_pac"
"1018771",0,"1018771","resolved",1846310,2471400,0.747070486364004,1846310,0,0,0,FALSE
"1058056",0,"1058056","resolved",300625.64,461800,0.650986660892161,65468.41,20541.67,214615.56,0,FALSE
"1256259",0,"1256259","resolved",18782.67,266000,0.0706115413533834,0,0,0,18782.67,FALSE
"1031555",0,"1031555","resolved",269685.540000001,208300,1.29469774363898,8173.82,5546,221850.340000001,34115.38,FALSE
"1026634",0,"1026634","resolved",940019.44,859213.83,1.09404598387342,1438.35,1996.68,307366.96,629217.45,FALSE
"1040629",0,"1040629","resolved",170138.38,88500,1.92246757062147,170138.38,0,0,0,FALSE
"1021564",0,"1021564","resolved",438175.29,788250,0.555883653663178,396158.66,0,0,42016.63,FALSE
"1018378",0,"1018378","resolved",1410612.21,977677.54,1.4428194903608,800,0,677256.61,732555.6,FALSE
"1452790",0,"1452790","unresolved",NA,313600,NA,NA,NA,NA,NA,FALSE
"1254059",0,"1254059","resolved",67089.64,131000,0.51213465648855,50,500,42375,24164.64,FALSE
"1342002",0,"1342002","resolved",18220,41000,0.444390243902439,0,200,8220,9800,FALSE
"1018725",0,"1018725","resolved",3878501.45000013,3435229.27,1.12903714575072,1262299,464934.940000023,2108584.14,42683.37,FALSE
"1023815",0,"1023815","resolved",6473614.39,3394680,1.90698810786289,3030244.05,0,0,3443370.34,FALSE
"1048313",0,"1048313","resolved",172133.63,120602.04,1.42728622169244,0,0,0,172133.63,FALSE
"1379198",0,"1379198","resolved",280000,248000,1.12903225806452,0,0,0,280000,FALSE
"1035434",0,"1035434","resolved",2913863,2541000,1.14673868555687,0,0,0,2913863,FALSE
"1047567",0,"1047567","resolved",195929.45,172400,1.13648172853828,135,2400,95549.45,97845,FALSE
"1445789",0,"1445789","resolved",455000,149800,3.03738317757009,0,0,0,455000,FALSE
"1034589",0,"1034589","resolved",1940620,1214975,1.59725097224223,0,0,0,1940620,FALSE
"1053896",0,"1053896","resolved",570200.43,513900,1.1095552247519,570200.43,0,0,0,FALSE
"1343340",0,"1343340","resolved",56831.19,36137.88,1.57262102812893,2061,810,53960.19,0,FALSE
"1018977",0,"1018977","resolved",3426998.04,2181358.62,1.57103834673457,3426998.04,0,0,0,FALSE
"1069562",0,"1069562","resolved",428937.91,295900,1.44960429199054,428937.91,0,0,0,FALSE
"1018937",0,"1018937","resolved",1430216.3,1594020,0.897238616830404,0,0,4100,1426116.3,FALSE
"1018954",0,"1018954","resolved",636412.38,566600,1.12321281327215,636412.38,0,0,0,FALSE
"1344506",0,"1344506","resolved",1746040.04,1513000,1.15402514210178,0,0,2040.04,1744000,FALSE
"1019216",0,"1019216","resolved",508791.4,50500,10.0750772277228,495681,0,0,13110.4,FALSE
"1020015",0,"1020015","resolved",146164.37,82200,1.77815535279805,394.37,0,112601.6,33168.4,FALSE
"1034810",0,"1034810","resolved",1527308,379650,4.02293691558014,1527308,0,0,0,FALSE
"1282378",0,"1282378","resolved",499800,378547.62,1.320309450103,0,0,0,499800,FALSE
"1043345",0,"1043345","resolved",6399550.32,1069000,5.98648299345182,6328690.5,0,0,70859.82,FALSE
"1039598",0,"1039598","resolved",60982,114700,0.531665213600698,8327,850,36205,15600,FALSE
"1018862",0,"1018862","resolved",894659.5,290100,3.08396932092382,894659.5,0,0,0,FALSE
"1031089",0,"1031089","resolved",3093393.79,1325900,2.33305210800211,3093393.79,0,0,0,FALSE
"1435181",0,"1435181","unresolved",NA,73955,NA,NA,NA,NA,NA,FALSE
"1018801",0,"1018801","resolved",66707.5300000001,108500,0.614815944700462,116.12,0,66591.4100000001,0,FALSE
"1277874",0,"1277874","resolved",116830.33,209706.32,0.557114015447889,0,0,1e+05,16830.33,FALSE
"1022714",0,"1022714","resolved",76925,86000,0.894476744186047,0,0,22925,54000,FALSE
"1038947",0,"1038947","resolved",2267007.02,2140753.32,1.05897629531645,2206548.65,0,0,60458.37,FALSE
"1403112",0,"1403112","resolved",358675.8,19000,18.8776736842105,358675.8,0,0,0,TRUE
"1021268",0,"1021268","resolved",3065577.43,845800,3.62447083234807,10880.87,7150,125874.05,2921672.51,FALSE
"1018912",0,"1018912","resolved",604872,644065,0.939147446298122,250,82,24609,579931,FALSE
"1295768",0,"1295768","resolved",2337110.16,1385500,1.68683519307109,2302483.29,0,0,34626.87,FALSE
"1377585",0,"1377585","resolved",1569078.03,878300,1.78649439826938,0,0,19500,1549578.03,FALSE
"1047153",0,"1047153","resolved",239277.36,39630,6.03778349735049,239277.36,0,0,0,FALSE
"1019780",0,"1019780","resolved",304935.820000003,186700,1.63329309051956,126286.45,13701.69,154267.679999999,10680,FALSE
"1039318",0,"1039318","resolved",1025779.88,512400,2.00191233411397,330046.62,3551.54,38507.96,653673.76,FALSE
"1358788",0,"1358788","resolved",261450,136800,1.91118421052632,0,0,6500,254950,FALSE
"1464730",0,"1464730","resolved",228363.61,189555.66,1.20473115917509,225000,0,3363.61,0,FALSE
"1064861",0,"1064861","resolved",664300,333423.69,1.99235993099351,0,0,21800,642500,FALSE
