"naics_industry","description"
"1111","Oilseed and Grain Farming, including: Soybean Farming; Oilseed (except Soybean) Farming; Dry Pea and Bean Farming; Wheat Farming; Corn Farming; Rice Farming; Oilseed and Grain Combination Farming; All Other Grain Farming"
"1112","Vegetable and Melon Farming, including: Potato Farming; Other Vegetable (except Potato) and Melon Farming"
"1113","Fruit and Tree Nut Farming, including: Orange Groves; Citrus (except Orange) Groves; Apple Orchards; Grape Vineyards; Strawberry Farming; Berry (except Strawberry) Farming; Fruit and Tree Nut Combination Farming; Other Noncitrus Fruit Farming"
"1114","Greenhouse, Nursery, and Floriculture Production, including: Mushroom Production; Other Food Crops Grown Under Cover; Nursery and Floriculture Production; Nursery and Tree Production"
"1119","Other Crop Farming, including: Tobacco Farming; Cotton Farming; Sugarcane Farming; Hay Farming; Sugar Beet Farming; Peanut Farming; All Other Miscellaneous Crop Farming"
"1121","Cattle Ranching and Farming, including: Cattle Feedlots; Dairy Cattle and Milk Production"
"1122","Hog and Pig Farming"
"1123","Poultry and Egg Production, including: Chicken Egg Production; Broilers and Other Meat Type Chicken Production; Turkey Production; Poultry Hatcheries; Other Poultry Production"
"1124","Sheep and Goat Farming, including: Sheep Farming"
"1125","Aquaculture, including: Finfish Farming and Fish Hatcheries; Shellfish Farming"
"1129","Other Animal Production, including: Apiculture; Horses and Other Equine Production; Fur-Bearing Animal and Rabbit Production"
"1131","Timber Tract Operations"
"1132","Forest Nurseries and Gathering of Forest Products"
"1133","Logging"
"1141","Fishing"
"1142","Hunting and Trapping"
"1151","Support Activities for Crop Production, including: Soil Preparation, Planting, and Cultivating; Crop Harvesting, Primarily by Machine; Postharvest Crop Activities (except Cotton Ginning); Farm Labor Contractors and Crew Leaders; Farm Management Services"
"1152","Support Activities for Animal Production"
"1153","Support Activities for Forestry"
"2111","Oil and Gas Extraction, including: Crude Petroleum Extraction ; Natural Gas Extraction "
"2121","Coal Mining"
"2122","Metal Ore Mining, including: Iron Ore Mining; Gold Ore and Silver Ore Mining; Copper, Nickel, Lead, and Zinc Mining"
"2123","Nonmetallic Mineral Mining and Quarrying, including: Dimension Stone Mining and Quarrying; Crushed and Broken Limestone Mining and Quarrying; Crushed and Broken Granite Mining and Quarrying; Other Crushed and Broken Stone Mining and Quarrying; Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying; Construction Sand and Gravel Mining; Industrial Sand Mining; Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
"2131","Support Activities for Mining, including: Drilling Oil and Gas Wells; Support Activities for Oil and Gas Operations; Support Activities for Coal Mining; Support Activities for Metal Mining; Support Activities for Nonmetallic Minerals (except Fuels) Mining"
"2211","Electric Power Generation, Transmission and Distribution, including: Hydroelectric Power Generation; Fossil Fuel Electric Power Generation; Nuclear Electric Power Generation; Solar Electric Power Generation; Wind Electric Power Generation; Geothermal Electric Power Generation; Biomass Electric Power Generation; Other Electric Power Generation; Electric Power Transmission, Control, and Distribution; Electric Bulk Power Transmission and Control; Electric Power Distribution"
"2212","Natural Gas Distribution"
"2213","Water, Sewage and Other Systems, including: Water Supply and Irrigation Systems; Sewage Treatment Facilities; Steam and Air-Conditioning Supply"
"2361","Residential Building Construction, including: New Single-Family Housing Construction (except For-Sale Builders); New Multifamily Housing Construction (except For-Sale Builders); New Housing For-Sale Builders; Residential Remodelers"
"2362","Nonresidential Building Construction, including: Industrial Building Construction; Commercial and Institutional Building Construction"
"2371","Utility System Construction, including: Water and Sewer Line and Related Structures Construction; Oil and Gas Pipeline and Related Structures Construction; Power and Communication Line and Related Structures Construction"
"2372","Land Subdivision"
"2373","Highway, Street, and Bridge Construction"
"2379","Other Heavy and Civil Engineering Construction"
"2381","Foundation, Structure, and Building Exterior Contractors, including: Poured Concrete Foundation and Structure Contractors; Structural Steel and Precast Concrete Contractors; Framing Contractors; Masonry Contractors; Glass and Glazing Contractors; Roofing Contractors; Siding Contractors"
"2382","Building Equipment Contractors, including: Electrical Contractors and Other Wiring Installation Contractors; Plumbing, Heating, and Air-Conditioning Contractors"
"2383","Building Finishing Contractors, including: Drywall and Insulation Contractors; Painting and Wall Covering Contractors; Flooring Contractors; Tile and Terrazzo Contractors; Finish Carpentry Contractors"
"2389","Other Specialty Trade Contractors, including: Site Preparation Contractors"
"3111","Animal Food Manufacturing, including: Dog and Cat Food Manufacturing"
"3112","Grain and Oilseed Milling, including: Flour Milling and Malt Manufacturing; Rice Milling; Starch and Vegetable Fats and Oils Manufacturing; Wet Corn Milling and Starch Manufacturing; Soybean and Other Oilseed Processing; Fats and Oils Refining and Blending; Breakfast Cereal Manufacturing"
"3113","Sugar and Confectionery Product Manufacturing, including: Beet Sugar Manufacturing; Cane Sugar Manufacturing; Nonchocolate Confectionery Manufacturing; Chocolate and Confectionery Manufacturing from Cacao Beans; Confectionery Manufacturing from Purchased Chocolate"
"3114","Fruit and Vegetable Preserving and Specialty Food Manufacturing, including: Frozen Food Manufacturing; Frozen Fruit, Juice, and Vegetable Manufacturing; Frozen Specialty Food Manufacturing; Fruit and Vegetable Canning, Pickling, and Drying; Specialty Canning; Dried and Dehydrated Food Manufacturing"
"3115","Dairy Product Manufacturing, including: Dairy Product (except Frozen) Manufacturing; Fluid Milk Manufacturing; Creamery Butter Manufacturing; Cheese Manufacturing; Ice Cream and Frozen Dessert Manufacturing"
"3116","Animal Slaughtering and Processing, including: Animal (except Poultry) Slaughtering; Meat Processed from Carcasses; Rendering and Meat Byproduct Processing; Poultry Processing"
"3117","Seafood Product Preparation and Packaging"
"3118","Bakeries and Tortilla Manufacturing, including: Bread and Bakery Product Manufacturing; Retail Bakeries; Commercial Bakeries; Frozen Cakes, Pies, and Other Pastries Manufacturing; Cookie, Cracker, and Pasta Manufacturing; Cookie and Cracker Manufacturing; Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
"3119","Other Food Manufacturing, including: Roasted Nuts and Peanut Butter Manufacturing; Other Snack Food Manufacturing; Coffee and Tea Manufacturing; Flavoring Syrup and Concentrate Manufacturing; Seasoning and Dressing Manufacturing; Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing; Spice and Extract Manufacturing; Perishable Prepared Food Manufacturing; All Other Miscellaneous Food Manufacturing"
"3121","Beverage Manufacturing, including: Soft Drink and Ice Manufacturing; Soft Drink Manufacturing; Bottled Water Manufacturing; Breweries; Wineries; Distilleries"
"3122","Tobacco Manufacturing"
"3131","Fiber, Yarn, and Thread Mills"
"3132","Fabric Mills"
"3133","Textile and Fabric Finishing and Fabric Coating Mills, including: Textile and Fabric Finishing Mills"
"3141","Textile Furnishings Mills, including: Carpet and Rug Mills; Curtain and Linen Mills"
"3149","Other Textile Product Mills, including: Textile Bag and Canvas Mills; Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills; All Other Miscellaneous Textile Product Mills"
"3151","Apparel Knitting Mills"
"3152","Cut and Sew Apparel Manufacturing, including: Cut and Sew Apparel Contractors"
"3159","Apparel Accessories and Other Apparel Manufacturing"
"3161","Leather and Hide Tanning and Finishing"
"3162","Footwear Manufacturing"
"3169","Other Leather and Allied Product Manufacturing"
"3211","Sawmills and Wood Preservation"
