"naics_sector","description"
"11","Agriculture, Forestry, Fishing and Hunting, including: Oilseed and Grain Farming; Vegetable and Melon Farming; Fruit and Tree Nut Farming; Greenhouse, Nursery, and Floriculture Production; Other Crop Farming; Cattle Ranching and Farming; Hog and Pig Farming; Poultry and Egg Production; Sheep and Goat Farming; Aquaculture; Other Animal Production; Timber Tract Operations; Forest Nurseries and Gathering of Forest Products; Logging; Fishing; Hunting and Trapping; Support Activities for Crop Production; Support Activities for Animal Production; Support Activities for Forestry"
"21","Mining, Quarrying, and Oil and Gas Extraction, including: Oil and Gas Extraction; Coal Mining; Metal Ore Mining; Nonmetallic Mineral Mining and Quarrying; Support Activities for Mining"
"31","Manufacturing, including: Animal Food Manufacturing; Grain and Oilseed Milling; Sugar and Confectionery Product Manufacturing; Fruit and Vegetable Preserving and Specialty Food Manufacturing; Dairy Product Manufacturing; Animal Slaughtering and Processing; Seafood Product Preparation and Packaging; Bakeries and Tortilla Manufacturing; Other Food Manufacturing; Beverage Manufacturing; Tobacco Manufacturing; Fiber, Yarn, and Thread Mills; Fabric Mills; Textile and Fabric Finishing and Fabric Coating Mills; Textile Furnishings Mills; Other Textile Product Mills; Apparel Knitting Mills; Cut and Sew Apparel Manufacturing; Apparel Accessories and Other Apparel Manufacturing; Leather and Hide Tanning and Finishing; Footwear Manufacturing; Other Leather and Allied Product Manufacturing"
"52","Finance and Insurance, including: Monetary Authorities-Central Bank; Depository Credit Intermediation; Nondepository Credit Intermediation; Activities Related to Credit Intermediation; Securities and Commodity Contracts Intermediation and Brokerage; Securities and Commodity Exchanges; Other Financial Investment Activities; Insurance Carriers; Agencies, Brokerages, and Other Insurance Related Activities; Insurance and Employee Benefit Funds; Other Investment Pools and Funds"
"92","Public Administration, including: Executive, Legislative, and Other General Government Support; Justice, Public Order, and Safety Activities; Administration of Human Resource Programs; Administration of Environmental Quality Programs; Administration of Housing Programs, Urban Planning, and Community Development; Administration of Economic Programs; Space Research and Technology; National Security and International Affairs"
"32","Manufacturing, including: Sawmills and Wood Preservation; Veneer, Plywood, and Engineered Wood Product Manufacturing; Other Wood Product Manufacturing; Pulp, Paper, and Paperboard Mills; Converted Paper Product Manufacturing; Printing and Related Support Activities; Petroleum and Coal Products Manufacturing; Basic Chemical Manufacturing; Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing; Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing; Pharmaceutical and Medicine Manufacturing; Paint, Coating, and Adhesive Manufacturing; Soap, Cleaning Compound, and Toilet Preparation Manufacturing; Other Chemical Product and Preparation Manufacturing; Plastics Product Manufacturing; Rubber Product Manufacturing; Clay Product and Refractory Manufacturing; Glass and Glass Product Manufacturing; Cement and Concrete Product Manufacturing; Lime and Gypsum Product Manufacturing; Other Nonmetallic Mineral Product Manufacturing"
"33","Manufacturing, including: Iron and Steel Mills and Ferroalloy Manufacturing; Steel Product Manufacturing from Purchased Steel; Alumina and Aluminum Production and Processing; Nonferrous Metal (except Aluminum) Production and Processing; Foundries; Forging and Stamping; Cutlery and Handtool Manufacturing; Architectural and Structural Metals Manufacturing; Boiler, Tank, and Shipping Container Manufacturing; Hardware Manufacturing; Spring and Wire Product Manufacturing; Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing; Coating, Engraving, Heat Treating, and Allied Activities; Other Fabricated Metal Product Manufacturing; Agriculture, Construction, and Mining Machinery Manufacturing; Industrial Machinery Manufacturing; Commercial and Service Industry Machinery Manufacturing; Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing; Metalworking Machinery Manufacturing; Engine, Turbine, and Power Transmission Equipment Manufacturing; Other General Purpose Machinery Manufacturing; Computer and Peripheral Equipment Manufacturing; Communications Equipment Manufacturing; Audio and Video Equipment Manufacturing; Semiconductor and Other Electronic Component Manufacturing; Navigational, Measuring, Electromedical, and Control Instruments Manufacturing; Manufacturing and Reproducing Magnetic and Optical Media; Electric Lighting Equipment Manufacturing; Household Appliance Manufacturing; Electrical Equipment Manufacturing; Other Electrical Equipment and Component Manufacturing; Motor Vehicle Manufacturing; Motor Vehicle Body and Trailer Manufacturing; Motor Vehicle Parts Manufacturing; Aerospace Product and Parts Manufacturing; Railroad Rolling Stock Manufacturing; Ship and Boat Building; Other Transportation Equipment Manufacturing; Household and Institutional Furniture and Kitchen Cabinet Manufacturing; Office Furniture (including Fixtures) Manufacturing; Other Furniture Related Product Manufacturing; Medical Equipment and Supplies Manufacturing; Other Miscellaneous Manufacturing"
"99","Unknown"
"90","Candidates/Political Parties"
"88","Political Actions Committees (PACs), contributor committees and political action funds"
"76","Business, professional and trade associations"
"77","Unions"
"92a","Native American tribes"
"100","Retired/Homemaker/Student/Unemployed"
"20","Utilities, infrastructure, telecommunications, renewable energy, transportation and warehousing, including: Electric Power Generation, Transmission and Distribution; Natural Gas Distribution; Water, Sewage and Other Systems; Scheduled Air Transportation; Nonscheduled Air Transportation; Rail Transportation; Deep Sea, Coastal, and Great Lakes Water Transportation; Inland Water Transportation; General Freight Trucking; Specialized Freight Trucking; Urban Transit Systems; Interurban and Rural Bus Transportation; Taxi and Limousine Service; School and Employee Bus Transportation; Charter Bus Industry; Other Transit and Ground Passenger Transportation; Pipeline Transportation of Crude Oil; Pipeline Transportation of Natural Gas; Other Pipeline Transportation; Scenic and Sightseeing Transportation, Land; Scenic and Sightseeing Transportation, Water; Scenic and Sightseeing Transportation, Other; Support Activities for Air Transportation; Support Activities for Rail Transportation; Support Activities for Water Transportation; Support Activities for Road Transportation; Freight Transportation Arrangement; Other Support Activities for Transportation; Postal Service; Couriers and Express Delivery Services; Local Messengers and Local Delivery; Warehousing and Storage; Wired and Wireless Telecommunications (except Satellite); Satellite Telecommunications; All Other Telecommunications; Waste Collection; Waste Treatment and Disposal; Remediation and Other Waste Management Services"
"40","Construction/Real Estate, including: Residential Building Construction; Nonresidential Building Construction; Utility System Construction; Land Subdivision; Highway, Street, and Bridge Construction; Other Heavy and Civil Engineering Construction; Foundation, Structure, and Building Exterior Contractors; Building Equipment Contractors; Building Finishing Contractors; Other Specialty Trade Contractors; Lessors of Real Estate; Offices of Real Estate Agents and Brokers; Activities Related to Real Estate; Automotive Equipment Rental and Leasing; Consumer Goods Rental; General Rental Centers; Commercial and Industrial Machinery and Equipment Rental and Leasing; Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"
"50","Professional/Legal, including: Legal Services; Accounting, Tax Preparation, Bookkeeping, and Payroll Services; Architectural, Engineering, and Related Services; Specialized Design Services; Computer Systems Design and Related Services; Management, Scientific, and Technical Consulting Services; Scientific Research and Development Services; Advertising, Public Relations, and Related Services; Other Professional, Scientific, and Technical Services; Management of Companies and Enterprises; Management and Holding Companies; Office Administrative Services; Employment Services; Facilities Support Services; Business Support Services; Travel Arrangement and Reservation Services; Investigation and Security Services; Services to Buildings and Dwellings"
