unit_id,entity_id,entity_type,name,employer,occupation,code_final,code_final_source,code_final_description,category_final,category_final_source,manual_review,manual_review_reason,suspected_org,cross_source_conflict,rule_code,rule_label,rule_tier,rule_category,os_code,os_category,os_conf,llm_code,llm_conf,llm_category,llm_category_conf,llm_reasoning,ml_code,ml_conf,ml_category,ml_category_conf
8105b6bb-4598-49a2-8511-3166bde782fd,org_f9a21158,organization,Cal Pacific Supply,NA,NA,80,pre_classified (locked),Other Industries,Agricultural Services & Products,llm (high confidence),FALSE,NA,FALSE,FALSE,80,Other Industries,pre_classified,NA,NA,NA,NA,80,medium,Agricultural Services & Products,high,"Cal-Pacific Supply Inc. 'provides a wide range of bulk supplies and equipment to the agriculture industry', which indicates wholesale trade.",80,0.692,General Trade Unions,0.0527
b1f2dd26-db94-41a6-a61f-2e33690fb242,org_fd2dc57a,organization,San Joaquin River Ranch LLC,NA,NA,11,pre_classified (locked),Agriculture/Livestock,Crop Production & Basic Processing & Livestock,"llm (low confidence, single source)",FALSE,NA,FALSE,FALSE,11,Agriculture,pre_classified,NA,NA,NA,NA,11,high,Crop Production & Basic Processing & Livestock,medium,"San Joaquin River Ranch, LLC is explicitly described as being 'involved in farming operations'.",80,0.2199,Livestock,0.0829
814d94d8-5a0d-4998-8204-ab00ce771474,org_7980957c,organization,"Valov Brothers Farms, LP",NA,NA,11,pre_classified (locked),Agriculture/Livestock,Crop Production & Basic Processing,llm (high confidence),FALSE,NA,FALSE,FALSE,11,Agriculture,pre_classified,NA,NA,NA,NA,11,high,Crop Production & Basic Processing,high,"Valov Brothers Farms, L.P. is a 'farming and ranching operation primarily growing pistachios, almonds, cotton, alfalfa, and grain'.",50,0.3001,Crop Production & Basic Processing,0.1669
2e22156d-dd02-4d3d-8454-318c8b61d367,org_c8d04ccd,organization,Comcast Financial Agency Corporation,NA,NA,99,pre_classified (locked),Uncategorized,"Miscellaneous Finance, Insurance & Real Estate","llm (low confidence, single source)",FALSE,NA,FALSE,FALSE,99,Uncategorized,pre_classified,NA,NA,NA,NA,52,medium,"Miscellaneous Finance, Insurance & Real Estate",medium,"Comcast Financial Agency Corporation's name suggests a primary involvement in financial activities, aligning with the Finance and Insurance sector.",20,0.4232,Telecom Services & Equipment,0.1776
49579caf-b08d-4274-84d4-385efd70b8b1,org_a52806cd,organization,AirBnB Inc.,NA,NA,79,pre_classified (locked),Technology,Lodging & Tourism,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,79,Technology,pre_classified,NA,80,Lodging & Tourism,NA,50,high,Lodging & Tourism,high,"Airbnb, Inc. operates an 'online marketplace that connects people seeking short-term and long-term accommodations and travel experiences'.",20,0.585,Real Estate,0.4496
6a2816c1-df20-41a6-a0a2-bbbe4ff5af6b,org_c8d04ccd,organization,Comcast Financial Agency Corporation,NA,NA,99,pre_classified (locked),Uncategorized,"Miscellaneous Finance, Insurance & Real Estate","llm (low confidence, single source)",FALSE,NA,FALSE,FALSE,99,Uncategorized,pre_classified,NA,NA,NA,NA,52,medium,"Miscellaneous Finance, Insurance & Real Estate",medium,"Comcast Financial Agency Corporation's name suggests a primary involvement in financial activities, aligning with the Finance and Insurance sector.",20,0.4232,Telecom Services & Equipment,0.1776
fd2dbee5-9e8e-4c0d-8d1d-dfbcde19a25d,org_b57a6ed6,organization,Yocha Dehe Wintun Nation,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,The Yocha Dehe Wintun Nation is explicitly identified as a 'federally recognized tribe'.,80,0.2441,Tribal Governments,0.1542
ada6c923-2d05-4a9a-9e56-e245fe99cd2a,org_a52806cd,organization,AirBnB Inc.,NA,NA,79,pre_classified (locked),Technology,Lodging & Tourism,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,79,Technology,pre_classified,NA,80,Lodging & Tourism,NA,50,high,Lodging & Tourism,high,"Airbnb, Inc. operates an 'online marketplace that connects people seeking short-term and long-term accommodations and travel experiences'.",20,0.585,Real Estate,0.4496
b5372b82-a72f-47e2-85a4-fcdd4075b3db,org_c8d04ccd,organization,Comcast Financial Agency Corporation,NA,NA,99,pre_classified (locked),Uncategorized,"Miscellaneous Finance, Insurance & Real Estate","llm (low confidence, single source)",FALSE,NA,FALSE,FALSE,99,Uncategorized,pre_classified,NA,NA,NA,NA,52,medium,"Miscellaneous Finance, Insurance & Real Estate",medium,"Comcast Financial Agency Corporation's name suggests a primary involvement in financial activities, aligning with the Finance and Insurance sector.",20,0.4232,Telecom Services & Equipment,0.1776
955cc81f-4e24-4240-9545-4dc7b3ccac41,org_6fc50c4d,organization,Chevron USA Inc.,NA,NA,21,pre_classified (locked),Oil and Gas,Oil & Gas,llm (high confidence),FALSE,NA,FALSE,FALSE,21,Oil and Gas,pre_classified,NA,NA,NA,NA,21,high,Oil & Gas,high,"Chevron U.S.A. Inc. is an 'integrated energy company involved in the exploration, production, refining, and transportation of crude oil and natural gas'.",31-33,0.3875,Oil & Gas,0.3844
40731726-0cd8-4250-86be-3a34e3455c50,org_15c63bd9,organization,"DaVita, Inc.",NA,NA,60,pre_classified (locked),Healthcare/Education,Health Services,llm (high confidence),FALSE,NA,FALSE,FALSE,60,Healthcare/Education,pre_classified,NA,60,Hospitals & Nursing Homes,NA,60,high,Health Services,high,"DaVita Inc. is a 'healthcare provider specializing in kidney care, offering dialysis services'.",50,0.5259,Real Estate,0.0847
b0ff856f-e94a-43ad-bbf3-cb642ebc114f,org_6d655dca,organization,Border Health Federal PAC,NA,NA,88,pre_classified (locked),PACs,"Political Actions Committees (PACs), contributor committees and political action funds",llm (high confidence),FALSE,NA,FALSE,FALSE,88,PACs,pre_classified,NA,NA,NA,NA,88,high,"Political Actions Committees (PACs), contributor committees and political action funds",high,BORDER HEALTH FEDERAL PAC is explicitly identified as a 'political action committee'.,60,0.3172,Health Services,0.1809
d95a21e1-31ba-4209-a5bd-8953b8803d1c,org_488b4b63,organization,Agua Caliente Band of Cahuilla Indians,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,The Agua Caliente Band of Cahuilla Indians is explicitly identified as a 'federally recognized Native American Tribe'.,92a,0.7054,Tribal Governments,0.7287
241ee208-4e4c-4773-9eea-bc7474a78b63,org_af1a7fe0,organization,Pechanga Band of Luiseno Indians,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,The Pechanga Band of Luiseño Indians is explicitly identified as a 'federally recognized sovereign tribal government'.,92a,0.6967,Tribal Governments,0.699
be29f9d1-3e9c-4ac4-9b9d-d19322ce3100,org_488b4b63,organization,Agua Caliente Band of Cahuilla Indians,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,The Agua Caliente Band of Cahuilla Indians is explicitly identified as a 'federally recognized Native American Tribe'.,92a,0.7054,Tribal Governments,0.7287
7da090c1-7ba3-4a70-b097-ca288d3bb362,org_a8c62442,organization,Producers Ranch,NA,NA,11,pre_classified (locked),Agriculture/Livestock,Agricultural Services & Products,llm (high confidence),FALSE,NA,FALSE,FALSE,11,Agriculture,pre_classified,NA,NA,NA,NA,80,medium,Agricultural Services & Products,high,"PRODUCERS RANCH is described as an 'agricultural supply cooperative that provides livestock feeds, seed, fertilizer, fuel, and a wide array of farm and ranch supplies', which represents wholesale trade in agricultural products.",11,0.8561,Crop Production & Basic Processing,0.4313
1086d4a9-1f5c-490c-83b1-91cbf79e342f,org_ae47ea33,organization,Stanislaus Food Products Company,NA,NA,31-33,pre_classified (locked),Manufacturing,Food Processing & Sales,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,31-33,Manufacturing,pre_classified,NA,31-33,Food Processing & Sales,NA,31-33,high,Food Processing & Sales,high,"Stanislaus Food Products Company 'specializes in producing premium tomato products, such as sauces, purees, and whole peeled tomatoes'.",31-33,0.7754,Food Processing & Sales,0.2266
fc3903ff-e948-4da3-9af4-74274e1c181f,org_bead19af,organization,Double J Farms,NA,NA,11,pre_classified (locked),Agriculture/Livestock,Livestock,"llm (low confidence, single source)",FALSE,NA,FALSE,FALSE,11,Agriculture,pre_classified,NA,NA,NA,NA,11,medium,Livestock,medium,"DOUBLE J FARMS describes operations including 'livestock farming, cattle breeding, sheep wool farming', which directly relate to the Agriculture sector.",11,0.8098,Crop Production & Basic Processing,0.5704
7c2331e6-fd32-4b99-ba69-ea06ff7259c7,org_5eb60988,organization,Gilkey Five,NA,NA,20,pre_classified (locked),Utilities/Infrastructure,Trucking,llm (high confidence),FALSE,NA,FALSE,FALSE,20,Utilities/Infrastructure,pre_classified,NA,NA,NA,NA,20,high,Trucking,high,Gilkey Five is explicitly described as a 'freight shipping and trucking company'.,50,0.5549,Lawyers & Lobbyists,0.4605
f7adb79b-8177-49d6-9c21-ba0f137a33bb,org_95586a9a,organization,"Hansen Ranches, LLC",NA,NA,11,pre_classified (locked),Agriculture/Livestock,Crop Production & Basic Processing,llm (high confidence),FALSE,NA,FALSE,FALSE,11,Agriculture,pre_classified,NA,11,Livestock,NA,11,high,Crop Production & Basic Processing,high,"HANSEN RANCHES, LLC 'cultivates over 20,000 acres of crops including Pima Cotton, Pistachios, Almonds, and Pomegranates'.",31-33,0.2953,Livestock,0.087
095489bb-3689-46f0-bc7a-0d74b68400e0,org_b57a6ed6,organization,Yocha Dehe Wintun Nation,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,The Yocha Dehe Wintun Nation is explicitly identified as a 'federally recognized tribe'.,80,0.2441,Tribal Governments,0.1542
f6b7f41c-13b8-4e55-8e26-7ace52cf02bd,org_b1cdfd61,organization,John Duarte For Congress,NA,NA,90,pre_classified (locked),Candidates/Political Parties,Candidate Committees,llm (high confidence),FALSE,NA,FALSE,FALSE,90,Candidates,pre_classified,NA,NA,NA,NA,90,high,Candidate Committees,high,JOHN DUARTE FOR CONGRESS is a 'political campaign committee'.,50,0.4552,Lawyers & Lobbyists,0.3561
6d21bfd7-dd08-44ed-a6ac-3e9c5f082703,org_1b992825,organization,LCS Electrical & Industrial Services Inc. dba Quantum Industries,NA,NA,40,pre_classified (locked),Real Estate/Construction,Construction Services,llm (high confidence),FALSE,NA,FALSE,FALSE,40,Real Estate/Construction,pre_classified,NA,NA,NA,NA,40,high,Construction Services,high,"LCS ELECTRICAL AND INDUSTRIAL SERVICES INC is an 'electrical construction company providing electrical construction, powerline services, instrumentation, and infrastructure inspections'.",31-33,0.4438,Miscellaneous Manufacturing & Distributing,0.0949
06699c5d-e855-40b4-8b61-a61a0c7e718a,org_95c8d164,organization,Pacific Coast Companies Inc.,NA,NA,50,pre_classified (locked),Professional/Legal,Business Services,llm (high confidence),FALSE,NA,FALSE,FALSE,50,Professional/Legal,pre_classified,NA,40,Building Materials & Equipment,NA,50,high,Business Services,high,"PACIFIC COAST COMPANIES INC 'provides a comprehensive range of business services and support, including marketing, accounting, environmental consulting, human resources, information technology, risk management, and legal services'.",20,0.2621,Real Estate,0.1281
cc5c1850-1ac7-4af3-87c2-b1e1e78ae3fc,org_2048c7df,organization,Altamed Health Network Inc.,NA,NA,60,pre_classified (locked),Healthcare/Education,Health Services,llm (high confidence),FALSE,NA,FALSE,FALSE,60,Healthcare/Education,pre_classified,NA,NA,NA,NA,60,high,Health Services,high,The entity supports managed healthcare and is affiliated with a health center providing comprehensive healthcare and social services.,50,0.6114,Health Services,0.3296
41d6eea3-6dd9-4d30-8fc2-66034ddd7d8d,org_293870b9,organization,"Henry Salcido, A Professional Corporation (Henry Salcido)",NA,NA,50,pre_classified (locked),Professional/Legal,Lawyers & Lobbyists,llm (high confidence),FALSE,NA,FALSE,FALSE,50,Professional/Legal,pre_classified,NA,NA,NA,NA,50,high,Lawyers & Lobbyists,high,The entity operates as a criminal defense law firm providing legal representation.,50,0.4109,Business Services,0.1029
c7230492-a154-418b-91a5-f209ca6b3c79,org_5ad50342,organization,Santa Ynez Band Of Mission Indians,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,The contributor is explicitly identified as a federally recognized Native American tribe.,92a,0.4773,Tribal Governments,0.5751
d0cc453e-b8e7-47f3-81ae-dedada172f00,org_bf292362,organization,J & B Refining dba  J & B Enterprises,NONE,NONE,20,pre_classified (locked),Utilities/Infrastructure,Miscellaneous Manufacturing & Distributing,"llm (low confidence, single source)",FALSE,NA,FALSE,FALSE,20,Utilities/Infrastructure,pre_classified,NA,NA,NA,NA,31-33,medium,Miscellaneous Manufacturing & Distributing,medium,"The company specializes in the refining of non-ferrous and precious metals from electronics and jewelry, which is a manufacturing process.",80,0.4883,Real Estate,0.1957
451fe563-e86c-4ffe-b57f-182fe6e7a8dd,org_c8d04ccd,organization,Comcast Financial Agency Corporation,NA,NA,99,pre_classified (locked),Uncategorized,"Miscellaneous Finance, Insurance & Real Estate","llm (low confidence, single source)",FALSE,NA,FALSE,FALSE,99,Uncategorized,pre_classified,NA,NA,NA,NA,52,medium,"Miscellaneous Finance, Insurance & Real Estate",medium,"Comcast Financial Agency Corporation's name suggests a primary involvement in financial activities, aligning with the Finance and Insurance sector.",20,0.4232,Telecom Services & Equipment,0.1776
ce408c0e-3e53-4ec8-a577-303c2ac11313,org_a5e6ff0f,organization,Oaktree Ag Management Inc. (Miguel Reyes),NA,NA,11,pre_classified (locked),Agriculture/Livestock,Agricultural Services & Products,llm (high confidence),FALSE,NA,FALSE,FALSE,11,Agriculture,pre_classified,NA,NA,NA,NA,11,high,Agricultural Services & Products,high,"The company specializes in high-end agricultural management services, including farm labor contracting and crop support activities.",50,0.1861,Crop Production & Basic Processing,0.1289
ca5a4adb-701e-4919-88d9-d4716208783c,org_99bd557b,organization,Shingle Springs Band of Miwok Indians,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,"The contributor is explicitly identified as a federally recognized, sovereign tribal government.",92a,0.5869,Tribal Governments,0.6205
b46d2850-1d2a-432d-8ff0-559c8331f2f6,org_bc62a217,organization,"Prime Healthcare Services, Inc.",NA,NA,60,pre_classified (locked),Healthcare/Education,Hospitals & Nursing Homes,llm (high confidence),FALSE,NA,FALSE,FALSE,60,Healthcare/Education,pre_classified,NA,NA,NA,NA,60,high,Hospitals & Nursing Homes,high,The company is a for-profit healthcare company that owns and operates acute care hospitals and outpatient locations.,60,0.3633,Health Services,0.364
3fbd9a6e-39a2-4d19-9eb6-0f7ec27bbc7c,org_404728b3,organization,Yuhaaviatam of San Manuel Nation,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,llm (high confidence),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,NA,NA,NA,92a,high,Tribal Governments,high,The contributor is explicitly identified as a federally recognized American Indian tribe and sovereign nation.,60,0.181,Tribal Governments,0.1632
aaeb0643-0996-4641-b855-75ee27827956,org_99bd557b,organization,Shingle Springs Band of Miwok Indians,NA,NA,92a,pre_classified (locked),Tribes,Tribal Governments,agreement (opensecrets+llm),FALSE,NA,FALSE,FALSE,92a,Tribes,pre_classified,NA,92a,Tribal Governments,NA,92a,high,Tribal Governments,high,"The contributor is explicitly identified as a federally recognized, sovereign tribal government.",92a,0.5869,Tribal Governments,0.6205
954e147a-5ffe-4fe5-9bab-4dd8915fe9cd,org_68c66c2a,organization,Specialty Equipment Market Association,NA,NA,76a,pre_classified (locked),NA,Business Associations,llm (high confidence),FALSE,NA,FALSE,FALSE,76a,Business Associations,pre_classified,NA,80,Automotive,NA,76,high,Business Associations,high,The entity is explicitly identified as a trade association for the automotive aftermarket industry.,80,0.4864,Miscellaneous Manufacturing & Distributing,0.0764
ad0b39ef-1ea1-4907-9c0c-bb0517169962,org_970eb93c,organization,Panish Shea Ravipudi LLP (Jessie Kohler),NA,NA,50,pre_classified (locked),Professional/Legal,Lawyers & Lobbyists,llm (high confidence),FALSE,NA,FALSE,FALSE,50,Professional/Legal,pre_classified,NA,NA,NA,NA,50,high,Lawyers & Lobbyists,high,The entity is a plaintiff's law firm specializing in various litigation cases.,50,0.3505,Lawyers & Lobbyists,0.397
