race_prop,candidate,code,code_label,total_amount,n_contributions,candidate_total,pct_of_total
Insurance Commissioner,"ALLEN, BEN",99,99,555541.0908672572,829,1306900.2599999993,42.5083005850238
Insurance Commissioner,"ALLEN, BEN",100,Retired/Homemaker/Student/Unemployed,161396.03817734402,34,1306900.2599999993,12.349529885114881
Insurance Commissioner,"ALLEN, BEN",50,Professional/Legal,160235.1683791257,39,1306900.2599999993,12.2607036882161
Insurance Commissioner,"ALLEN, BEN",52,Finance/Insurance,68570.02115811434,21,1306900.2599999993,5.246767734066743
Insurance Commissioner,"ALLEN, BEN",77,Unions,66968.5366897159,21,1306900.2599999993,5.124227053846935
Insurance Commissioner,"ALLEN, BEN",60,Healthcare/Education,59187.33031866598,19,1306900.2599999993,4.528833005103696
Insurance Commissioner,"ALLEN, BEN",20,Utilities/Infrastructure,52631.75014326466,26,1306900.2599999993,4.027220114200963
Insurance Commissioner,"ALLEN, BEN",100a,Megadonors,38177.01492428071,8,1306900.2599999993,2.921188103848164
Insurance Commissioner,"ALLEN, BEN",40,Real Estate/Construction,37021.950433563,15,1306900.2599999993,2.832806111276083
Insurance Commissioner,"ALLEN, BEN",70,"Entertainment, Media and Gambling",25988.290657530215,7,1306900.2599999993,1.9885443023425697
Insurance Commissioner,"ALLEN, BEN",31-33,Manufacturing,23893.129035114933,13,1306900.2599999993,1.828228960266252
Insurance Commissioner,"ALLEN, BEN",92a,Tribes,18236.62963983765,8,1306900.2599999993,1.3954109734309534
Insurance Commissioner,"ALLEN, BEN",92,Government/Public Safety,11008.572634407628,3,1306900.2599999993,0.8423422177915578
Insurance Commissioner,"ALLEN, BEN",80,Other Industries,10658.854082731961,8,1306900.2599999993,0.8155828267056865
Insurance Commissioner,"ALLEN, BEN",79,Technology,8016.248071309077,8,1306900.2599999993,0.6133787188403407
Insurance Commissioner,"ALLEN, BEN",101,Unitemized Contributions,4412.95,4,1306900.2599999993,0.33766540072461243
Insurance Commissioner,"ALLEN, BEN",90,Candidates/Political Parties,2686.559861249702,2,1306900.2599999993,0.20556732166000974
Insurance Commissioner,"ALLEN, BEN",11,Agriculture/Livestock,2006.853570716563,6,1306900.2599999993,0.15355828077626704
Insurance Commissioner,"ALLEN, BEN",88,PACs,94.05001153415428,5,1306900.2599999993,0.007196418457683552
Insurance Commissioner,"ALLEN, BEN",76,Associations,93.0061441591105,4,1306900.2599999993,0.007116544927392589
Insurance Commissioner,"ALLEN, BEN",21,Oil and Gas,74.96653279785811,1,1306900.2599999993,0.00573620918843938
Insurance Commissioner,"ALLEN, BEN",100b,Major Donors,1.2486672795209424,1,1306900.2599999993,9.554419091790088e-5
Governor,"BECERRA, XAVIER",99,99,4876828.520811628,34432,24932484.199999988,19.56013882006844
Governor,"BECERRA, XAVIER",50,Professional/Legal,2875778.087825205,359,24932484.199999988,11.534262148756145
Governor,"BECERRA, XAVIER",60,Healthcare/Education,2715671.881316894,248,24932484.199999988,10.892103087412748
Governor,"BECERRA, XAVIER",101,Unitemized Contributions,1925512.9499999997,7,24932484.199999988,7.72290853391978
Governor,"BECERRA, XAVIER",77,Unions,1903578.9902171534,113,24932484.199999988,7.634935110947165
Governor,"BECERRA, XAVIER",79,Technology,1775941.308531206,102,24932484.199999988,7.123001840832238
Governor,"BECERRA, XAVIER",52,Finance/Insurance,1485977.594248118,120,24932484.199999988,5.9600061603493115
Governor,"BECERRA, XAVIER",40,Real Estate/Construction,1334078.500391919,108,24932484.199999988,5.350764447258407
Governor,"BECERRA, XAVIER",20,Utilities/Infrastructure,946124.8132132333,81,24932484.199999988,3.7947474693004466
Governor,"BECERRA, XAVIER",92a,Tribes,715129.8849250401,48,24932484.199999988,2.8682656697523963
Governor,"BECERRA, XAVIER",80,Other Industries,712697.334342793,80,24932484.199999988,2.8585091185690725
Governor,"BECERRA, XAVIER",100b,Major Donors,684665.0042592323,51,24932484.199999988,2.74607615818416
Governor,"BECERRA, XAVIER",100a,Megadonors,620568.7910359013,43,24932484.199999988,2.4889970291684835
Governor,"BECERRA, XAVIER",100,Retired/Homemaker/Student/Unemployed,520556.1011201339,116,24932484.199999988,2.087862953985685
Governor,"BECERRA, XAVIER",70,"Entertainment, Media and Gambling",487471.1845324018,69,24932484.199999988,1.9551649190753404
Governor,"BECERRA, XAVIER",31-33,Manufacturing,459044.4790269834,52,24932484.199999988,1.8411501852149317
Governor,"BECERRA, XAVIER",11,Agriculture/Livestock,338045.26576956233,52,24932484.199999988,1.3558426952480032
Governor,"BECERRA, XAVIER",92,Government/Public Safety,195030.44891228594,41,24932484.199999988,0.7822343226925057
Governor,"BECERRA, XAVIER",88,PACs,152123.6838659322,31,24932484.199999988,0.6101425058395595
Governor,"BECERRA, XAVIER",76a,76a,64200.776317049545,15,24932484.199999988,0.25749851399504575
Governor,"BECERRA, XAVIER",76,Associations,53170.80432789531,28,24932484.199999988,0.2132591518012286
Governor,"BECERRA, XAVIER",90,Candidates/Political Parties,46932.2534826831,20,24932484.199999988,0.18823737380602903
Governor,"BECERRA, XAVIER",21,Oil and Gas,43355.54152670469,21,24932484.199999988,0.17389178382274767
Insurance Commissioner,"BRADFORD, STEVEN",99,99,73004.09708088868,121,196893.05,37.078046726834025
Insurance Commissioner,"BRADFORD, STEVEN",77,Unions,69124.03686049177,10,196893.05,35.10740316150914
Insurance Commissioner,"BRADFORD, STEVEN",40,Real Estate/Construction,14001.618643994407,3,196893.05,7.1112812991593195
Insurance Commissioner,"BRADFORD, STEVEN",50,Professional/Legal,10005.94961035782,3,196893.05,5.081921180233544
Insurance Commissioner,"BRADFORD, STEVEN",92a,Tribes,9800,1,196893.05,4.977321444306948
Insurance Commissioner,"BRADFORD, STEVEN",60,Healthcare/Education,7556.305721074954,3,196893.05,3.837771684208739
Insurance Commissioner,"BRADFORD, STEVEN",100,Retired/Homemaker/Student/Unemployed,7500,3,196893.05,3.8091745747247043
Insurance Commissioner,"BRADFORD, STEVEN",52,Finance/Insurance,2505.359024035537,2,196893.05,1.2724466526551024
Insurance Commissioner,"BRADFORD, STEVEN",20,Utilities/Infrastructure,1219.6404666284184,1,196893.05,0.6194431274381794
Insurance Commissioner,"BRADFORD, STEVEN",101,Unitemized Contributions,1003.05,5,196893.05,0.509439007623682
Insurance Commissioner,"BRADFORD, STEVEN",31-33,Manufacturing,807.037674507554,1,196893.05,0.40988631874388354
Insurance Commissioner,"BRADFORD, STEVEN",76,Associations,113.37912069428002,1,196893.05,0.057584115180439335
Insurance Commissioner,"BRADFORD, STEVEN",21,Oil and Gas,93.70816599732262,1,196893.05,0.04759343511481112
Insurance Commissioner,"BRADFORD, STEVEN",80,Other Industries,62.153375406387454,1,196893.05,0.031567074310844115
Insurance Commissioner,"BRADFORD, STEVEN",79,Technology,47.810288774144205,1,196893.05,0.02428236485449548
Insurance Commissioner,"BRADFORD, STEVEN",88,PACs,47.810288774144205,1,196893.05,0.02428236485449548
Insurance Commissioner,"BRADFORD, STEVEN",11,Agriculture/Livestock,0.546839187299707,1,196893.05,2.77734123830022e-4
Insurance Commissioner,"BRADFORD, STEVEN",70,"Entertainment, Media and Gambling",0.546839187299707,1,196893.05,2.77734123830022e-4
Insurance Commissioner,"BURKE, AUTUMN",100,Retired/Homemaker/Student/Unemployed,4900,1,10570,46.35761589403973
Insurance Commissioner,"BURKE, AUTUMN",99,99,3670,3,10570,34.72090823084201
Insurance Commissioner,"BURKE, AUTUMN",50,Professional/Legal,2000,1,10570,18.92147587511826
Insurance Commissioner,"FARREN, MERRITT",52,Finance/Insurance,205260.01,11,234125.01,87.6711163835081
Insurance Commissioner,"FARREN, MERRITT",99,99,28600,48,234125.01,12.215696221433156
Insurance Commissioner,"FARREN, MERRITT",101,Unitemized Contributions,265,3,234125.01,0.11318739505873378
Governor,"HILTON, STEVE",99,99,7928759.272001905,70948,18607279.81999769,42.611060556420924
Governor,"HILTON, STEVE",101,Unitemized Contributions,3375442.1799999997,6,18607279.81999769,18.140438649029885
Governor,"HILTON, STEVE",40,Real Estate/Construction,1296539.4009612552,157,18607279.81999769,6.9679147812236
Governor,"HILTON, STEVE",100,Retired/Homemaker/Student/Unemployed,1024806.8377356335,1582,18607279.81999769,5.507558588086846
Governor,"HILTON, STEVE",31-33,Manufacturing,1000694.5339296552,219,18607279.81999769,5.377973264282213
Governor,"HILTON, STEVE",100b,Major Donors,773740.2,79,18607279.81999769,4.158266052238559
Governor,"HILTON, STEVE",52,Finance/Insurance,728977.5255047512,78,18607279.81999769,3.917700666388117
Governor,"HILTON, STEVE",70,"Entertainment, Media and Gambling",401919.93725338334,25,18607279.81999769,2.1600144735902256
Governor,"HILTON, STEVE",100a,Megadonors,398400,18,18607279.81999769,2.1410974836409453
Governor,"HILTON, STEVE",80,Other Industries,352849.42112729413,57,18607279.81999769,1.896297710039693
Governor,"HILTON, STEVE",50,Professional/Legal,346159.04859769176,41,18607279.81999769,1.8603420378816806
Governor,"HILTON, STEVE",11,Agriculture/Livestock,286612.20047782344,47,18607279.81999769,1.540322944839011
Governor,"HILTON, STEVE",60,Healthcare/Education,199758.3305567941,26,18607279.81999769,1.0735493446070985
