candidate,industry,total,n
STEYER,Other Services / Civic,143825194.87,34
STEYER,Professional Services,64200.0,2
MAHAN,Unclassified,16616514.46,197
MAHAN,Finance & Insurance,6595362.5,71
MAHAN,Information / Media / Tech,3973799.0,28
MAHAN,Retail,3328979.63,14
MAHAN,Arts & Entertainment,3217175.0,8
MAHAN,Construction,1661600.0,7
MAHAN,Other Services / Civic,997200.0,19
MAHAN,Real Estate,971400.0,26
MAHAN,Professional Services,814700.0,23
MAHAN,Education,617600.0,4
MAHAN,Manufacturing,392000.0,10
MAHAN,Transportation,328400.0,3
MAHAN,Admin / Support Services,204000.0,6
MAHAN,Hospitality / Food,196000.0,5
MAHAN,Agriculture,117600.0,3
MAHAN,Health Care,117600.0,3
MAHAN,General Business,64200.0,2
MAHAN,Wholesale Trade,39200.0,1
SWALWELL,Unclassified,18126700.59,104
SWALWELL,Professional Services,594800.0,21
SWALWELL,Finance & Insurance,260000.0,7
SWALWELL,Manufacturing,235000.0,6
SWALWELL,Information / Media / Tech,197600.0,9
SWALWELL,Real Estate,113200.0,4
SWALWELL,Other Services / Civic,91600.0,4
SWALWELL,Transportation,83333.0,3
SWALWELL,Arts & Entertainment,79200.0,3
SWALWELL,Education,59200.0,2
SWALWELL,Admin / Support Services,54200.0,2
SWALWELL,Hospitality / Food,38000.0,2
SWALWELL,Construction,35000.0,2
SWALWELL,Retail,25000.0,1
SWALWELL,Health Care,15000.0,1
CLOOBECK,Unclassified,10449919.89,10
CLOOBECK,Health Care,24851.0,2
PORTER,Unclassified,4463282.47,39
PORTER,Professional Services,201100.0,6
PORTER,Education,39200.0,1
PORTER,Real Estate,39200.0,1
PORTER,Retail,39200.0,1
PORTER,Health Care,38400.0,1
PORTER,Finance & Insurance,35000.0,1
PORTER,Other Services / Civic,30000.0,2
PORTER,Arts & Entertainment,25000.0,1
PORTER,Admin / Support Services,20000.0,1
HILTON,Unclassified,3038209.3200000003,36
HILTON,Manufacturing,300400.0,10
HILTON,Information / Media / Tech,268499.95,5
HILTON,Real Estate,186000.0,5
HILTON,Retail,102600.0,3
HILTON,Finance & Insurance,98400.0,3
HILTON,Mgmt of Companies,74200.0,3
HILTON,Admin / Support Services,63000.0,3
HILTON,Health Care,46000.0,2
HILTON,Arts & Entertainment,39200.0,1
HILTON,Construction,39200.0,1
HILTON,Hospitality / Food,39200.0,1
HILTON,Professional Services,20000.0,1
VILLARAIGOSA,Unclassified,2920981.57,75
VILLARAIGOSA,Finance & Insurance,90700.0,4
VILLARAIGOSA,Education,78400.0,2
VILLARAIGOSA,Information / Media / Tech,69057.0,4
VILLARAIGOSA,Professional Services,60375.0,3
VILLARAIGOSA,Health Care,54200.0,2
VILLARAIGOSA,Real Estate,39200.0,1
VILLARAIGOSA,Retail,39200.0,1
VILLARAIGOSA,Hospitality / Food,15000.0,1
VILLARAIGOSA,Wholesale Trade,14200.0,1
BECERRA,Unclassified,1549708.01,35
BECERRA,Professional Services,158100.0,6
BECERRA,Information / Media / Tech,79200.0,3
BECERRA,Health Care,69055.04000000001,4
BECERRA,Construction,39200.0,1
BECERRA,Hospitality / Food,34200.0,2
BECERRA,Other Services / Civic,15000.0,1
BECERRA,Real Estate,15000.0,1
BIANCO,Unclassified,1737294.64,37
BIANCO,Construction,62064.72,3
BIANCO,Real Estate,53700.0,2
BIANCO,Health Care,39200.0,2
PENNER,Unclassified,320066.0,6
PENNER,Finance & Insurance,217244.68,7
PENNER,Real Estate,125000.0,5
PENNER,Manufacturing,78400.0,2
PENNER,Professional Services,39200.0,1
