keywords,level1_category,level2_category,level3_category,source_sheet
ranches,Agriculture,,,employer_keywords
poultry,Agriculture,Poultry & Eggs,Poultry & eggs,employer_keywords
livestock,Agriculture,Livestock,Livestock,employer_keywords
dairy,Agriculture,Dairy,"Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",employer_keywords
arborist,Agriculture,Agricultural Services & Products,Florists & nursery services,employer_keywords
farming,Agriculture,,,employer_keywords
foods,Agriculture,,,employer_keywords
safeway,Agriculture,Food Processing & Sales,Food stores,employer_keywords
farm bureau,Agriculture,Farm Bureau,Farm Bureau/affiliated organizations & PACs,employer_keywords
albertsons,Agriculture,Food Processing & Sales,Food stores,employer_keywords
trader joes,Agriculture,Food Processing & Sales,Food stores,employer_keywords
land o lakes,Agriculture,Dairy,"Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",employer_keywords
growers,Agriculture,Crop Production & Basic Processing,,employer_keywords
dole packaged foods,Agriculture,Food Processing & Sales,Food & kindred products manufacturing,employer_keywords
paramount,Communications & Electronics,TV & Movie Production/Distribution,Motion picture production & distribution,employer_keywords
ibm,Communications & Electronics,Electronics Manufacturing & Services,Electronics manufacturing & services,employer_keywords
apple,Communications & Electronics,Computer Equipment & Services,Computer manufacture & services,employer_keywords
google,Communications & Electronics,Computer Equipment & Services,Search Engine/Email Services,employer_keywords
intel corporation,Communications & Electronics,Computer Equipment & Services,Computer manufacture & services,employer_keywords
oracle,Communications & Electronics,Computer Equipment & Services,Computer software,employer_keywords
samsung,Communications & Electronics,Electronics Manufacturing & Services,Electronics manufacturing & services,employer_keywords
intuit,Communications & Electronics,Computer Equipment & Services,Computer software,employer_keywords
netflix,Communications & Electronics,TV & Movie Production/Distribution,Motion picture production & distribution,employer_keywords
comcast,Communications & Electronics,Telecom Services & Equipment,Telecommunications,employer_keywords
linkedin,Communications & Electronics,Computer Equipment & Services,Internet & Online Services,employer_keywords
facebook,Communications & Electronics,Computer Equipment & Services,Social Media,employer_keywords
at&t,Communications & Electronics,Telecom Services & Equipment,Telecommunications,employer_keywords
fox corporation,Communications & Electronics,TV & Movie Production/Distribution,Broadcasting & motion pictures,employer_keywords
tiktok,Communications & Electronics,Computer Equipment & Services,Social Media,employer_keywords
microsoft,Communications & Electronics,Computer Equipment & Services,Computer software,employer_keywords
adobe,Communications & Electronics,Computer Equipment & Services,Computer software,employer_keywords
lexisnexis,Communications & Electronics,Printing & Publishing,"Book, newspaper & periodical publishing",employer_keywords
salesforce,Communications & Electronics,Computer Equipment & Services,Computer software,employer_keywords
tmobile,Communications & Electronics,Telecom Services & Equipment,Paging & cellular phones and services,employer_keywords
hewlett packard,Communications & Electronics,Electronics Manufacturing & Services,Electronics manufacturing & services,employer_keywords
sony pictures,Communications & Electronics,TV & Movie Production/Distribution,Commercial television & radio stations,employer_keywords
yelp,Communications & Electronics,Computer Equipment & Services,Social Media,employer_keywords
landscape,Construction,Special Trade Contractors,Landscaping & excavation services,employer_keywords
northrop grumman,Defense,Defense Aerospace,Defense aerospace contractors,employer_keywords
northrup grumman,Defense,Defense Aerospace,Defense aerospace contractors,employer_keywords
general atomics,Defense,Defense Electronics,Defense electronic contractors,employer_keywords
lockheed martin,Defense,Defense Aerospace,Defense aerospace contractors,employer_keywords
ratheon,Defense,Defense Aerospace,Defense aerospace contractors,employer_keywords
raytheon,Defense,Defense Aerospace,Defense aerospace contractors,employer_keywords
southern california edison,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,employer_keywords
san diego gas & electric,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,employer_keywords
petroleum,Energy & Natural Resources,Oil & Gas,,employer_keywords
phillips 66,Energy & Natural Resources,Oil & Gas,Major (multinational) oil & gas producers,employer_keywords
bnsf,Energy & Natural Resources,Railroads,Railroads,employer_keywords
